,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,3.03614,0.180464,2.27604,0.180464,5,3,1,2,2.9621,0,0,1,0,2.095576,12.413793103448276,7.266666666666667
1,4.75361,0.524662,3.99351,0.524662,10,7,2,2,5.5249,1,0,1,3,3.468848,13.892610837438424,6.070833333333333
2,6.741070000000001,1.444405,5.22088,0.68431,18,10,5,4,7.7896,2,0,1,6,4.53657,11.644456607674998,6.350252525252525
3,9.764380000000001,1.8035869999999998,7.48409,1.043492,24,12,7,5,10.663599999999999,3,0,1,9,6.440598,11.23334245575625,7.702344566353187
4,11.136330000000001,2.1742109999999997,8.85604,1.4141160000000002,30,17,8,6,12.8872,3,1,1,10,7.441923999999999,11.104855782786817,8.66187565308255
5,13.2702,2.2675042999999997,10.22988,1.5074093000000002,38,17,10,6,15.7445,4,1,1,13,8.722470699999999,9.770386354936727,10.884896377568792
6,13.525165000000001,5.1701242999999995,10.484845,4.410029300000001,39,21,10,10,15.818900000000001,4,1,2,13,6.0748156999999985,10.03070153174471,10.894537031113385
7,15.566415000000001,6.200114299999999,12.526095,5.4400193,44,21,14,14,17.976000000000003,4,2,2,14,7.0860756999999985,9.608760392000757,12.1356610786948
8,16.846535,6.872197299999999,13.806215,6.1121023,48,24,15,14,19.969500000000004,5,2,2,17,7.694112699999998,11.327445134769905,11.85021725513612
9,17.722306,9.0391473,14.681986,7.5190223,54,30,16,15,20.370100000000004,5,3,2,18,7.162963699999998,11.148272049864342,11.509639974066951
10,19.098406,11.666517299999999,16.058086,10.146392299999999,62,36,17,18,20.899500000000003,5,3,3,18,5.911693699999998,11.048015913099816,11.883763612788137
11,20.026284,12.170339299999998,16.985964,10.650214299999998,65,43,19,18,22.697600000000005,6,3,3,21,6.335749699999998,11.509700861517969,11.38110429937678
12,21.414904,13.7875293,17.614486,12.267404299999999,74,44,21,21,23.838500000000003,6,3,4,21,5.347081699999999,11.323335912304211,11.971980891732413
13,22.378029,14.716020299999998,18.577611,13.195895299999998,75,46,24,21,25.206800000000005,7,3,4,24,5.381715699999999,10.919988389156432,12.571125113751524
14,23.523349000000003,15.876400299999998,19.722931000000003,14.356275299999998,84,49,24,23,26.549000000000007,7,3,5,24,5.366655699999999,10.816550566721443,12.488605661723646
15,25.549419000000004,17.052880299999998,20.988901000000002,14.772662299999999,92,52,26,24,28.592700000000008,8,3,5,27,6.216238699999999,10.964379792664989,12.284680711091724
16,26.496653000000006,18.876020299999997,21.936135000000004,15.835712299999999,98,61,28,27,29.26900000000001,8,3,6,27,6.100422699999999,10.95624491995068,12.846366159458878
17,27.071983000000007,20.453710299999997,22.511465000000005,17.413402299999998,103,65,28,28,29.80980000000001,8,3,7,27,5.0980627,10.663803962859403,13.110456928377829
18,28.428403000000007,21.613470299999996,23.107787000000005,17.813071299999997,109,67,29,29,31.32700000000001,8,4,7,28,5.2947157,10.435884456042242,12.933166326035362
19,29.978443000000006,21.732194299999996,24.657827000000005,17.931795299999997,110,68,30,29,33.98600000000001,9,4,7,31,6.7260317,10.300854939122484,12.879100602326186
20,31.167403000000007,22.279460299999997,25.846787000000006,18.479061299999998,113,72,30,30,35.95110000000001,9,4,8,31,7.3677257,10.286528513449984,12.80427163591505
21,32.23789300000001,23.317570299999996,26.917277000000006,19.517171299999998,116,76,32,31,37.35260000000001,10,4,8,34,7.4001057,10.388477752143434,12.532324223892937
22,33.76977300000001,24.637670299999996,28.449157000000007,20.837271299999998,123,83,34,33,38.83070000000001,10,5,8,35,7.6118857,10.163191612994769,12.53753507994296
23,34.85985300000001,25.187113299999996,29.539237000000007,21.386714299999998,126,87,34,33,40.77980000000001,10,6,8,36,8.1525227,10.299249105310462,12.5351995133404
24,38.01664300000001,25.866254299999998,31.935997000000008,22.0658553,134,88,35,34,43.587300000000006,10,7,8,37,9.870141700000001,10.15343298725189,12.639791532806782
25,39.31416300000001,26.752714299999997,33.233517000000006,22.9523153,138,90,37,35,45.31660000000001,11,7,8,40,10.2812017,10.096249667229383,12.664634715610918
