,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.626118,0.189291,0.626118,0.189291,4,2,0,1,1.7566,l,2020-08-30 13:00:00,0,0,1,0,0.43682699999999997,8.74074074074074,10.37037037037037
1,a,0.736721,0.814528,0.736721,0.814528,2,9,0,1,1.2886,l,2020-09-13 11:00:00,0,0,1,0,-0.07780700000000007,13.08695652173913,6.029411764705882
2,a,0.980849,2.42357,0.980849,2.42357,4,11,0,1,0.4759,l,2020-09-16 19:00:00,0,0,1,0,-1.4427209999999997,36.3,6.9411764705882355
3,h,1.71276,1.18244,1.71276,0.422348,3,6,2,1,1.8356000000000001,w,2020-09-20 13:00:00,1,0,0,3,1.2904120000000001,4.764705882352941,14.25
4,a,1.10713,0.864412,1.10713,0.864412,0,7,1,1,1.5553,d,2020-09-26 19:00:00,0,1,0,1,0.242718,18.94736842105263,5.315789473684211
5,h,1.60054,0.853711,0.840447,0.853711,6,1,3,1,2.0090000000000003,w,2020-10-04 13:00:00,1,0,0,3,-0.013263999999999943,9.24,12.625
6,a,1.16356,1.09118,1.16356,0.331149,5,4,1,1,1.3549,d,2020-10-18 13:00:00,0,1,0,1,0.8324109999999999,10.173913043478262,10.5
7,h,0.330896,0.631401,0.330896,0.631401,1,4,2,0,0.9085,w,2020-10-25 14:00:00,1,0,0,3,-0.30050499999999997,7.184210526315789,4.935483870967742
8,a,0.859238,0.78372,0.859238,0.78372,1,6,1,0,1.4284,w,2020-11-01 14:00:00,1,0,0,3,0.07551799999999997,15.9,6.565217391304348
9,h,2.52379,2.43299,1.76369,1.6729,4,4,1,1,1.4398,d,2020-11-08 14:00:00,0,1,0,1,0.09078999999999993,11.958333333333334,20.7
10,a,1.30332,1.48835,0.543229,1.48835,3,11,1,1,1.2239,d,2020-11-22 12:00:00,0,1,0,1,-0.9451210000000001,13.91304347826087,4.793103448275862
11,h,0.704986,1.32303,0.704986,1.32303,4,5,0,2,0.77,l,2020-11-29 14:00:00,0,0,1,0,-0.6180439999999999,21.235294117647058,15.176470588235293
12,h,1.2421,1.81122,0.482,1.81122,6,11,1,3,0.9473,l,2020-12-06 20:00:00,0,0,1,0,-1.32922,16.772727272727273,11.041666666666666
13,a,1.71894,0.788845,0.198811,0.788845,0,7,2,2,2.2322,d,2020-12-13 14:00:00,0,1,0,1,-0.5900340000000001,12.863636363636363,8.185185185185185
14,a,1.63826,0.892487,0.878163,0.892487,3,6,2,0,2.0355,w,2020-12-16 18:00:00,1,0,0,3,-0.014324000000000003,39.125,11.619047619047619
15,h,1.16038,1.14532,1.16038,1.14532,3,9,2,0,1.3398,w,2020-12-19 16:00:00,1,0,0,3,0.015060000000000073,11.333333333333334,9.368421052631579
16,a,0.83489,0.66303,0.83489,0.66303,7,9,0,1,1.4835,l,2020-12-23 18:00:00,0,0,1,0,0.17186,19.941176470588236,6.645161290322581
17,h,0.71749,0.667484,0.71749,0.667484,3,4,0,0,1.3843,d,2021-01-06 18:00:00,0,1,0,1,0.050005999999999995,18.681818181818183,8.5625
18,h,1.25558,1.48081,1.25558,0.720714,1,6,1,1,1.1189,d,2021-01-09 20:00:00,0,1,0,1,0.534866,11.703703703703704,8.791666666666666
19,a,1.4255,1.6386,1.4255,1.6386,2,9,1,0,1.217,w,2021-01-17 20:00:00,1,0,0,3,-0.21310000000000007,15.818181818181818,6.833333333333333
20,h,0.833905,0.239963,0.833905,0.239963,1,3,2,0,1.9168,w,2021-01-24 14:00:00,1,0,0,3,0.593942,10.5,9.904761904761905
21,a,1.50555,1.8688,0.745454,1.8688,4,9,4,2,1.0951,w,2021-01-31 14:00:00,1,0,0,3,-1.1233460000000002,14.407407407407407,7.653846153846154
22,h,0.902049,1.02749,0.902049,1.02749,3,2,1,1,1.2433,d,2021-02-03 18:00:00,0,1,0,1,-0.12544100000000002,11.782608695652174,7.709677419354839
23,a,0.327429,0.560201,0.327429,0.560201,2,2,0,1,1.0074,l,2021-02-07 14:00:00,0,0,1,0,-0.23277199999999992,9.285714285714286,10.185185185185185
24,h,1.46606,1.39672,1.46606,1.39672,5,11,1,2,1.4064,l,2021-02-14 14:00:00,0,0,1,0,0.06933999999999996,14.105263157894736,6.527777777777778
25,a,1.43338,1.04755,1.43338,0.287451,2,0,2,1,1.6962,w,2021-02-21 14:00:00,1,0,0,3,1.1459290000000002,13.615384615384615,4.116279069767442
26,a,1.84068,0.978537,1.84068,0.978537,3,3,2,1,2.1056,w,2021-02-27 12:00:00,1,0,0,3,0.8621430000000001,11.045454545454545,6.433333333333334
27,h,0.688591,1.0704,0.688591,0.310308,3,5,0,1,0.8721999999999999,l,2021-03-03 18:00:00,0,0,1,0,0.378283,4.5675675675675675,24.875
28,a,1.46077,2.37531,0.700678,2.37531,1,6,2,2,0.6713,d,2021-03-14 14:00:00,0,1,0,1,-1.674632,12.25,9.2
29,h,0.685567,2.26743,0.685567,1.50734,5,1,1,3,0.3075,l,2021-03-20 12:00:00,0,0,1,0,-0.8217729999999999,10.178571428571429,11.625
30,a,0.356458,2.50003,0.356458,0.979842,4,14,0,4,0.1109,l,2021-04-03 11:00:00,0,0,1,0,-0.6233839999999999,18.705882352941178,7.7407407407407405
31,h,1.96214,0.555794,1.20211,0.555794,2,1,0,2,2.5273,l,2021-04-09 19:00:00,0,0,1,0,0.646316,7.923076923076923,10.727272727272727
32,a,0.838419,0.731927,0.838419,0.731927,2,6,0,0,1.4287,d,2021-04-18 13:00:00,0,1,0,1,0.10649200000000003,11.217391304347826,12.0
33,h,0.649808,2.70678,0.649808,1.94682,0,10,1,3,0.20099999999999998,l,2021-04-24 15:00:00,0,0,1,0,-1.297012,30.866666666666667,5.2105263157894735
34,a,1.83354,1.2483,1.83354,1.2483,8,2,5,1,1.8294000000000001,w,2021-05-02 13:00:00,1,0,0,3,0.58524,7.4,14.173913043478262
35,h,0.680563,2.07976,0.680563,1.31967,4,6,0,3,0.346,l,2021-05-09 13:00:00,0,0,1,0,-0.6391069999999999,10.578947368421053,14.04
36,a,0.0661912,1.42765,0.0661912,0.667558,2,4,1,2,0.15839999999999999,l,2021-05-16 19:00:00,0,0,1,0,-0.6013668,7.103448275862069,15.0
37,h,1.08944,1.15022,0.329341,0.39012,3,3,1,1,1.2308,d,2021-05-23 19:00:00,0,1,0,1,-0.06077900000000003,20.095238095238095,9.047619047619047
