,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.180464,3.03614,0.180464,2.27604,3,5,2,1,0.020300000000000002,w,2020-08-23 15:00:00,1,0,0,3,-2.095576,7.266666666666667,12.413793103448276
1,a,1.20894,0.227899,0.448847,0.227899,1,4,2,0,2.4486000000000003,w,2020-08-29 19:00:00,1,0,0,3,0.220948,12.761904761904763,16.28
2,a,0.376694,1.69934,0.376694,1.69934,0,8,1,3,0.3861,l,2020-09-12 15:00:00,0,0,1,0,-1.3226460000000002,7.2631578947368425,11.68
3,h,0.930504,3.32755,0.930504,2.56746,6,11,0,3,0.132,l,2020-09-20 11:00:00,0,0,1,0,-1.636956,25.153846153846153,15.125
4,a,0.645309,1.17944,0.645309,1.17944,9,5,0,0,0.8726,d,2020-09-27 11:00:00,0,1,0,1,-0.534131,10.258064516129032,17.714285714285715
5,h,1.9654,1.13528,1.9654,0.37518,11,3,2,1,1.9977000000000003,w,2020-10-03 19:00:00,1,0,0,3,1.59022,3.5952380952380953,32.714285714285715
6,a,2.52438,0.714171,2.52438,0.714171,5,2,3,1,2.694,w,2020-10-18 15:00:00,1,0,0,3,1.810209,13.095238095238095,8.75
7,h,0.866315,0.890546,0.866315,0.890546,3,5,1,1,1.3105,d,2020-10-25 16:00:00,0,1,0,1,-0.024231000000000003,13.173913043478262,13.551724137931034
8,a,2.78036,0.395203,2.02027,0.395203,6,7,3,0,2.8888999999999996,w,2020-11-01 14:00:00,1,0,0,3,1.625067,13.95,7.846153846153846
9,h,0.782745,1.87829,0.782745,1.87829,1,8,1,2,0.5564,l,2020-11-08 16:00:00,0,0,1,0,-1.095545,10.19047619047619,13.266666666666667
10,h,2.40463,0.980084,1.64454,0.980084,13,4,1,3,2.3876,l,2020-11-29 16:00:00,0,0,1,0,0.6644559999999999,7.033333333333333,15.6
11,a,0.570809,0.511453,0.570809,0.511453,2,3,0,0,1.3353,d,2020-12-06 16:00:00,0,1,0,1,0.059355999999999964,6.653846153846154,12.8125
12,h,0.791546,1.2598,0.791546,1.2598,7,3,0,1,0.9556,l,2020-12-13 12:00:00,0,0,1,0,-0.46825400000000006,8.424242424242424,16.35
13,a,1.97897,0.994031,1.97897,0.994031,9,9,2,0,2.1359999999999997,w,2020-12-16 18:00:00,1,0,0,3,0.9849389999999999,11.0,10.470588235294118
