,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.326826,3.07214,0.326826,2.31211,4,2,1,3,0.04870000000000001,l,2020-08-23 13:00:00,0,0,1,0,-1.985284,17.4,7.171428571428572
1,h,0.227899,1.20894,0.227899,0.448847,4,1,0,2,0.3312,l,2020-08-29 19:00:00,0,0,1,0,-0.220948,16.28,12.761904761904763
2,a,1.30205,1.76107,1.30205,1.00098,4,2,0,2,0.8869,l,2020-09-12 19:00:00,0,0,1,0,0.30106999999999995,9.08695652173913,9.8
3,h,2.38097,0.487834,2.38097,0.487834,10,5,1,0,2.6767,w,2020-09-20 13:00:00,1,0,0,3,1.8931360000000002,13.45,20.176470588235293
4,a,1.40652,1.56306,0.64642,1.56306,3,6,2,3,1.2474,l,2020-09-27 13:00:00,0,0,1,0,-0.9166399999999999,16.1,9.08695652173913
5,h,0.844783,1.95685,0.844783,1.95685,10,8,0,3,0.5178,l,2020-10-04 13:00:00,0,0,1,0,-1.1120670000000001,11.862068965517242,10.217391304347826
6,h,1.92587,4.16498,1.92587,4.16498,6,8,2,3,0.251,l,2020-10-18 11:00:00,0,0,1,0,-2.23911,7.285714285714286,12.25
7,a,1.29304,0.732823,0.532947,0.732823,3,10,3,0,1.9262000000000001,w,2020-10-25 14:00:00,1,0,0,3,-0.19987600000000005,25.928571428571427,10.61111111111111
8,a,1.42258,0.911301,0.66249,0.911301,4,6,1,2,1.8578000000000001,l,2020-11-01 14:00:00,0,0,1,0,-0.248811,17.0625,9.0
9,h,0.324201,0.0420124,0.324201,0.0420124,4,2,0,1,1.5038,l,2020-11-06 20:00:00,0,0,1,0,0.2821886,10.066666666666666,7.333333333333333
10,a,3.39205,2.65546,1.87186,2.65546,11,7,3,4,1.8493000000000002,l,2020-11-22 14:00:00,0,0,1,0,-0.7836000000000001,16.894736842105264,13.0625
11,h,0.802873,1.99479,0.802873,1.99479,4,10,1,1,0.4951,d,2020-11-27 20:00:00,0,1,0,1,-1.1919170000000001,24.0,5.56
12,a,3.19753,0.633507,1.67734,0.633507,6,3,4,0,2.8743,w,2020-12-06 14:00:00,1,0,0,3,1.043833,16.714285714285715,9.136363636363637
13,h,0.788845,1.71894,0.788845,0.198811,7,0,2,2,0.5456000000000001,d,2020-12-13 14:00:00,0,1,0,1,0.5900340000000001,8.185185185185185,12.863636363636363
14,a,0.510882,0.215122,0.510882,0.215122,2,5,2,0,1.5974999999999997,w,2020-12-16 18:00:00,1,0,0,3,0.2957599999999999,14.26086956521739,11.142857142857142
15,h,1.0111,1.30968,1.0111,1.30968,1,8,0,2,1.0985,l,2020-12-20 14:00:00,0,0,1,0,-0.29857999999999985,10.956521739130435,14.263157894736842
16,a,0.417249,3.11615,0.417249,3.11615,1,7,0,4,0.06559999999999999,l,2020-12-23 20:00:00,0,0,1,0,-2.698901,26.3125,9.75
17,h,4.64764,0.826798,2.26282,0.826798,6,2,5,0,2.9628,w,2021-01-06 18:00:00,1,0,0,3,1.436022,8.272727272727273,24.071428571428573
18,a,1.57769,0.57533,1.57769,0.57533,4,5,1,0,2.2237999999999998,w,2021-01-09 20:00:00,1,0,0,3,1.00236,17.6,5.6923076923076925
19,h,2.60986,1.25152,2.60986,0.491429,6,3,1,0,2.3485000000000005,w,2021-01-17 14:00:00,1,0,0,3,2.1184309999999997,7.973684210526316,6.846153846153846
20,a,2.7928,0.802784,2.7928,0.802784,9,2,1,1,2.6827,d,2021-01-24 14:00:00,0,1,0,1,1.9900160000000002,13.619047619047619,10.068965517241379
21,h,0.995057,1.31697,0.995057,1.31697,11,4,0,1,1.0594000000000001,l,2021-01-31 14:00:00,0,0,1,0,-0.321913,14.714285714285714,18.066666666666666
22,h,0.610074,0.710748,0.610074,0.710748,1,9,2,2,1.155,d,2021-02-03 18:00:00,0,1,0,1,-0.10067400000000004,11.448275862068966,7.538461538461538
23,a,0.242033,1.59649,0.242033,1.59649,1,9,0,3,0.32330000000000003,l,2021-02-06 18:00:00,0,0,1,0,-1.354457,19.944444444444443,8.444444444444445
24,a,1.39672,1.46606,1.39672,1.46606,11,5,2,1,1.3122000000000003,w,2021-02-14 14:00:00,1,0,0,3,-0.06933999999999996,6.527777777777778,14.105263157894736
25,h,1.41894,0.325105,1.41894,0.325105,5,3,0,0,2.2999,d,2021-02-21 14:00:00,0,1,0,1,1.0938350000000001,4.857142857142857,15.894736842105264
26,a,0.965368,0.866257,0.965368,0.866257,4,9,1,1,1.4461,d,2021-02-28 16:00:00,0,1,0,1,0.09911099999999995,15.380952380952381,5.695652173913044
27,h,0.75132,0.729752,0.75132,0.729752,6,4,1,0,1.2943,w,2021-03-03 20:00:00,1,0,0,3,0.02156800000000003,12.692307692307692,7.157894736842105
28,a,0.58962,1.03121,0.58962,1.03121,4,7,0,1,0.9158000000000001,l,2021-03-14 14:00:00,0,0,1,0,-0.4415899999999999,12.090909090909092,9.5
29,h,2.11369,1.55355,2.11369,1.55355,7,9,1,2,1.7958,l,2021-03-21 12:00:00,0,0,1,0,0.5601400000000001,14.833333333333334,15.705882352941176
30,a,2.28415,1.59289,1.52405,0.832792,9,7,3,2,1.8695,w,2021-04-04 13:00:00,1,0,0,3,0.6912579999999999,21.055555555555557,10.1
31,h,0.945852,2.1849,0.945852,2.1849,7,10,1,4,0.5675,l,2021-04-10 15:00:00,0,0,1,0,-1.239048,14.068965517241379,7.148148148148148
32,a,1.0454,1.63156,0.141395,0.87147,3,2,1,1,0.7321,d,2021-04-18 13:00:00,0,1,0,1,-0.730075,11.428571428571429,12.409090909090908
33,h,1.39872,1.09277,1.39872,1.09277,9,4,1,2,1.5681,l,2021-04-25 13:00:00,0,0,1,0,0.30594999999999994,4.565217391304348,11.26086956521739
34,a,0.256318,1.13215,0.256318,1.13215,2,5,1,1,0.4915,d,2021-04-30 19:00:00,0,1,0,1,-0.8758319999999999,28.615384615384617,7.619047619047619
35,h,1.9728,0.716886,1.9728,0.716886,9,1,2,3,2.436,l,2021-05-09 13:00:00,0,0,1,0,1.2559140000000002,9.736842105263158,14.588235294117647
36,a,2.26561,0.74817,2.26561,0.74817,1,0,2,0,2.5769,w,2021-05-16 19:00:00,1,0,0,3,1.5174400000000001,33.42857142857143,6.521739130434782
37,h,0.32396,0.521913,0.32396,0.521913,1,0,1,1,1.0107,d,2021-05-23 19:00:00,0,1,0,1,-0.19795299999999993,15.1,15.952380952380953
