,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.95652,0.510543,2.95652,0.510543,6,1,2,0,2.799,1,0,0,3,2.445977,14.0,10.727272727272727
1,4.39961,1.206548,4.39961,1.206548,13,2,4,0,4.7432,2,0,0,6,3.1930620000000003,13.6,21.594405594405593
2,6.22054,4.525188,6.22054,3.765098,16,12,7,3,5.3039,2,1,0,7,2.4554420000000006,14.006060606060606,17.278623337446867
3,7.86575,6.4278379999999995,7.86575,4.907658,29,14,9,5,6.453099999999999,2,2,0,8,2.9580920000000006,13.457670454545454,15.48240500308515
4,8.90105,8.933588,8.90105,7.4134079999999996,33,20,9,9,6.876599999999999,2,2,1,8,1.4876420000000008,13.166136363636364,14.473424002468118
5,9.693363999999999,9.590753,9.693363999999999,8.070573,35,28,10,10,8.2884,2,3,1,9,1.6227910000000008,14.13844696969697,13.947151581004134
6,10.073265999999998,12.740993,10.073265999999998,11.220813,36,37,10,16,8.333699999999999,2,3,2,9,-1.1475469999999994,16.011525974025975,13.080242480687525
7,11.382615999999999,14.532843,11.382615999999999,13.012663,37,44,11,19,9.270799999999998,2,3,3,9,-1.6300469999999994,15.792979964114831,13.603106907443689
8,12.157329999999998,15.118037,12.157329999999998,13.597857,43,47,12,20,10.756499999999997,2,4,3,10,-1.4405269999999994,15.116908116250222,13.338178362172167
9,12.560574999999998,15.725088,12.560574999999998,14.204908,47,58,13,20,11.817699999999997,3,4,3,13,-1.6443329999999994,15.2102173046252,13.058905980500404
10,13.296466999999998,16.796328,13.296466999999998,15.276148,49,66,14,22,12.848199999999997,3,4,4,13,-1.9796809999999994,15.541755991217714,12.917187255000368
11,14.040349999999998,18.042118,14.040349999999998,16.521938,51,74,14,23,13.739599999999998,3,4,5,13,-2.4815879999999995,15.583415214171794,13.17408831708367
12,15.343729999999999,20.098318,15.343729999999999,18.578138,53,77,16,26,14.566299999999998,3,4,6,13,-3.2344079999999993,15.145045996513609,13.222967970348297
13,16.123438999999998,20.715892,16.123438999999998,19.195712,58,80,17,28,16.020799999999998,3,4,7,13,-3.072272999999999,15.115888575710004,12.905883385593688
14,16.393441,21.423526,16.393441,19.903346,61,83,17,29,16.845,3,4,8,13,-3.509904999999999,14.769496003996004,12.9650313897725
15,18.198791,21.991934999999998,18.198791,20.471754999999998,69,88,19,31,19.1882,3,5,8,14,-2.272963999999999,15.081979426823176,12.739944200638993
16,18.592963,22.847789999999996,18.592963,21.32761,71,93,19,32,19.9532,3,5,9,14,-2.734646999999999,14.848165510959628,12.417383380390243
17,20.299663000000002,24.374539999999996,19.539569,22.85436,73,96,20,32,21.4382,4,5,9,17,-3.314790999999999,15.278822982572983,12.341726279010537
18,21.062564000000002,25.183077999999995,20.30247,23.662898,74,105,20,32,22.6986,4,6,9,18,-3.360427999999999,14.955535648561964,12.051810860817001
