,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.62245,1.02062,1.62245,1.02062,8,3,3,3,1.8279,d,2021-08-08 15:00:00,0,1,0,1,0.6018299999999999,7.636363636363637,12.875
1,h,0.768573,2.33694,0.768573,1.57685,6,1,0,4,0.30979999999999996,l,2021-08-14 15:00:00,0,0,1,0,-0.8082770000000001,10.0,19.31578947368421
2,a,1.1966,0.476794,1.1966,0.476794,8,2,1,1,2.0327,d,2021-08-21 19:00:00,0,1,0,1,0.7198060000000002,11.454545454545455,8.233333333333333
3,h,2.46405,0.719288,2.46405,0.719288,6,3,2,1,2.5749,w,2021-08-29 15:00:00,1,0,0,3,1.7447619999999997,9.52,8.5
4,a,1.51807,1.08464,0.757971,1.08464,3,5,1,2,1.8094999999999999,l,2021-09-10 19:00:00,0,0,1,0,-0.3266690000000001,15.0,19.142857142857142
5,a,1.20992,0.486611,1.20992,0.486611,1,2,0,1,2.0770999999999997,l,2021-09-18 15:00:00,0,0,1,0,0.7233090000000001,20.181818181818183,12.5
6,h,1.18526,1.1754,1.18526,0.415308,2,3,2,1,1.3227,w,2021-09-22 17:00:00,1,0,0,3,0.769952,7.0,12.882352941176471
7,a,2.58598,0.495724,1.82589,0.495724,8,4,2,1,2.7318,w,2021-09-25 17:00:00,1,0,0,3,1.330166,14.210526315789474,8.217391304347826
8,h,3.52308,0.563626,3.52308,0.563626,14,4,2,0,2.8974,w,2021-10-03 15:00:00,1,0,0,3,2.959454,14.208333333333334,9.777777777777779
9,a,0.607051,0.403245,0.607051,0.403245,11,4,0,1,1.4935,l,2021-10-16 15:00:00,0,0,1,0,0.203806,10.545454545454545,16.05
10,h,1.6786,1.14162,1.6786,1.14162,9,4,1,1,1.7881,d,2021-10-23 19:00:00,0,1,0,1,0.53698,7.619047619047619,17.57894736842105
11,a,1.83335,2.30974,1.83335,2.30974,12,13,1,2,1.079,l,2021-10-29 19:00:00,0,0,1,0,-0.4763900000000001,14.916666666666666,12.882352941176471
12,h,1.74491,1.15058,1.74491,1.15058,5,5,1,1,1.8258999999999999,d,2021-11-06 16:00:00,0,1,0,1,0.59433,15.818181818181818,12.333333333333334
13,a,2.16486,0.938265,1.40477,0.938265,3,15,2,2,2.2829,d,2021-11-19 20:00:00,0,1,0,1,0.46650500000000006,11.095238095238095,6.709677419354839
14,h,1.46803,0.358991,0.707933,0.358991,10,5,1,1,2.4226,d,2021-11-27 16:00:00,0,1,0,1,0.34894200000000003,7.44,11.333333333333334
15,a,0.708091,0.799539,0.708091,0.799539,3,5,2,1,1.2484000000000002,w,2021-12-01 20:00:00,1,0,0,3,-0.09144799999999997,16.0,6.310344827586207
16,h,1.79406,0.28995,1.79406,0.28995,7,5,2,1,2.602,w,2021-12-04 18:00:00,1,0,0,3,1.50411,10.074074074074074,7.1923076923076925
17,h,2.15596,0.422128,2.15596,0.422128,3,2,0,0,2.6405000000000003,d,2021-12-12 12:00:00,0,1,0,1,1.7338319999999998,13.875,9.962962962962964
18,a,1.23123,1.00922,0.471134,1.00922,6,1,3,2,1.5332000000000001,w,2021-12-22 19:45:00,1,0,0,3,-0.5380860000000001,7.037037037037037,12.84
