,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,2.15797,0.764726,2.15797,0.764726,13,2,3,2,2.3468999999999998,w,2021-08-08 18:45:00,1,0,0,3,1.3932440000000001,10.68421052631579,13.0
1,h,1.05273,0.318288,1.05273,0.318288,9,2,2,2,2.0806,d,2021-08-15 18:45:00,0,1,0,1,0.7344419999999999,16.692307692307693,17.192307692307693
2,h,2.73701,1.22779,2.73701,1.22779,6,8,3,1,2.3556,w,2021-08-28 19:00:00,1,0,0,3,1.5092200000000002,9.19047619047619,12.411764705882353
3,a,1.36062,0.890728,1.36062,0.890728,2,7,2,0,1.7186,w,2021-09-11 19:00:00,1,0,0,3,0.469892,17.75,8.878787878787879
4,h,2.21352,1.06105,2.21352,1.06105,2,2,2,0,2.2177,w,2021-09-19 15:00:00,1,0,0,3,1.1524699999999999,13.0,11.62962962962963
5,a,0.494217,0.470168,0.494217,0.470168,1,3,0,0,1.3009,d,2021-09-22 19:00:00,0,1,0,1,0.024049000000000043,11.653846153846153,15.777777777777779
6,h,2.01958,2.4899,1.25949,1.7298,3,2,2,3,1.0102,l,2021-09-26 18:45:00,0,0,1,0,-0.47031,13.823529411764707,18.095238095238095
7,a,0.563626,3.52308,0.563626,3.52308,4,14,0,2,0.06720000000000001,l,2021-10-03 15:00:00,0,0,1,0,-2.959454,9.777777777777779,14.208333333333334
8,h,1.70821,2.09245,1.70821,1.33236,7,4,4,1,1.064,w,2021-10-17 18:45:00,1,0,0,3,0.37585,8.652173913043478,20.88888888888889
9,h,1.29195,2.0521,1.29195,2.0521,2,11,0,0,0.7947,d,2021-10-24 18:45:00,0,1,0,1,-0.7601499999999999,19.0,15.789473684210526
10,a,0.341475,1.50504,0.341475,1.50504,4,3,1,1,0.4099,d,2021-10-27 21:00:00,0,1,0,1,-1.163565,12.454545454545455,12.862068965517242
11,a,1.24579,0.743883,1.24579,0.743883,8,2,1,0,1.7992,w,2021-10-31 19:45:00,1,0,0,3,0.501907,16.0,16.041666666666668
12,h,1.66928,1.36054,1.66928,1.36054,12,2,0,0,1.5923,d,2021-11-07 12:00:00,0,1,0,1,0.30874,6.0,35.09090909090909
13,h,1.15323,0.145868,1.15323,0.145868,4,1,1,0,2.2887000000000004,w,2021-11-28 19:45:00,1,0,0,3,1.007362,10.458333333333334,10.76
14,a,1.63717,0.174142,1.63717,0.174142,16,2,1,0,2.5542,w,2021-12-01 20:00:00,1,0,0,3,1.463028,14.928571428571429,46.72727272727273
15,h,1.92281,1.55388,1.92281,0.793783,7,5,1,2,1.6395,l,2021-12-04 16:00:00,0,0,1,0,1.1290269999999998,7.809523809523809,41.30769230769231
16,a,0.708922,1.7897,0.708922,1.7897,1,11,2,0,0.5533,w,2021-12-12 16:00:00,1,0,0,3,-1.080778,20.0,15.521739130434783
17,h,1.70528,1.05686,0.945185,1.05686,8,1,1,1,1.9032999999999998,d,2021-12-22 19:45:00,0,1,0,1,-0.11167499999999986,8.421052631578947,31.363636363636363
18,a,2.1562,0.413069,2.1562,0.413069,8,2,1,0,2.6103,w,2022-01-07 20:00:00,1,0,0,3,1.743131,7.862068965517241,17.863636363636363
