,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.48651,0.618173,1.48651,0.618173,12,6,2,1,2.1052,1,0,0,3,0.868337,10.76923076923077,66.8
1,4.38683,1.188231,4.38683,1.188231,17,11,6,3,4.9534,2,0,0,6,3.1985989999999997,11.737556561085974,42.858333333333334
2,5.90182,2.4369110000000003,5.90182,2.4369110000000003,31,16,10,5,6.529,3,0,0,9,3.4649089999999996,10.510222892575834,40.11984126984127
3,7.72643,3.2635190000000005,7.72643,3.2635190000000005,40,18,12,5,8.7051,4,0,0,12,4.462911,9.323843640020112,34.11765873015873
4,10.23218,4.298819000000001,10.23218,4.298819000000001,46,22,16,5,11.1113,5,0,0,15,5.933361,9.546574912016089,29.694126984126985
5,12.4619,5.1215980000000005,11.701799999999999,5.1215980000000005,55,24,18,6,13.559000000000001,6,0,0,18,6.580202,9.325270760013408,26.863161375661377
6,13.60909,5.8830290000000005,12.848989999999999,5.8830290000000005,63,24,20,7,15.213600000000001,7,0,0,21,6.965961,8.850232080011493,26.335090702947845
7,16.19295,6.157602000000001,15.432849999999998,6.157602000000001,73,25,22,7,18.006600000000002,8,0,0,24,9.275248,8.567123801717372,26.241121031746033
8,17.59077,7.035801000000001,16.830669999999998,7.035801000000001,83,29,22,9,19.7814,8,0,1,24,9.794869,8.578184120045073,24.91274250440917
9,20.08074,8.194751,18.560539999999996,8.194751,93,30,24,10,22.1479,9,0,1,27,10.365789,8.220365708040564,24.610357142857143
10,22.132839999999998,9.486701,20.612639999999995,9.486701,104,32,24,10,24.1231,9,1,1,28,11.125938999999999,8.908466433146925,24.10032467532467
11,24.44258,11.320051,22.922379999999997,11.320051,117,44,26,11,25.818,10,1,1,31,11.602329,9.239623642149388,23.33501984126984
12,25.68251,12.895710999999999,24.162309999999998,12.895710999999999,127,55,29,13,26.9051,11,1,1,34,11.266599,10.02000762233908,22.483608058608056
13,26.94976,13.894476,25.42956,13.894476,136,58,32,14,28.4598,12,1,1,37,11.535084,10.211855817382087,22.445959035788228
14,30.384710000000002,14.864431,28.86451,14.864431,151,60,35,15,31.199800000000003,13,1,1,40,14.000079,9.87773209622328,22.208385296147444
15,32.00265,15.821947,30.48245,15.821947,162,60,35,15,33.0634,13,2,1,41,14.660502999999999,9.788498840209325,22.382861215138227
16,34.29399,16.646379,32.77379,16.646379,175,70,36,16,35.5064,13,3,1,42,16.127411,9.939595547087768,22.914961815928418
17,36.19688,17.461852,33.91659,17.461852,179,76,38,16,37.7891,14,3,1,45,16.454738,10.305696448066552,22.064362085413876
18,38.39617,18.938562,36.11588,18.938562,188,81,39,17,39.6532,14,4,1,46,17.177318,10.088368771233329,23.153079870392094
