,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.618173,1.48651,0.618173,1.48651,6,12,1,2,0.6406,l,2021-08-07 19:00:00,0,0,1,0,-0.868337,66.8,10.76923076923077
1,a,0.696005,1.44309,0.696005,1.44309,1,7,0,2,0.7673,l,2021-08-15 13:00:00,0,0,1,0,-0.747085,32.46153846153846,13.2
2,a,1.14502,2.95463,1.14502,2.95463,1,9,1,1,0.3389,d,2021-08-22 13:00:00,0,1,0,1,-1.80961,16.25,7.483870967741935
3,h,0.589287,1.74073,0.589287,1.74073,4,6,1,2,0.4454,l,2021-08-29 11:00:00,0,0,1,0,-1.151443,8.371428571428572,7.53125
4,a,0.86724,0.781252,0.86724,0.781252,3,4,2,0,1.4068,w,2021-09-12 13:00:00,1,0,0,3,0.08598800000000006,16.869565217391305,6.65625
5,h,0.489047,0.249763,0.489047,0.249763,3,7,1,1,1.4924,d,2021-09-19 13:00:00,0,1,0,1,0.239284,14.217391304347826,7.689655172413793
6,a,0.943884,2.47231,0.943884,2.47231,5,16,1,3,0.434,l,2021-09-22 19:00:00,0,0,1,0,-1.5284259999999998,21.9,10.625
7,h,1.25966,1.28496,1.25966,0.524863,5,2,1,1,1.3017,d,2021-09-26 13:00:00,0,1,0,1,0.734797,15.73913043478261,8.916666666666666
8,a,1.64687,1.71042,1.64687,0.95032,9,4,0,2,1.2431999999999999,l,2021-10-03 13:00:00,0,0,1,0,0.69655,11.782608695652174,6.0
9,h,1.42208,0.513333,1.42208,0.513333,5,5,1,0,2.1594999999999995,w,2021-10-17 11:00:00,1,0,0,3,0.908747,17.7,6.033333333333333
10,a,0.675059,1.02175,0.675059,1.02175,3,4,2,1,1.0045000000000002,w,2021-10-24 13:00:00,1,0,0,3,-0.34669099999999997,11.272727272727273,9.2
11,h,1.80006,1.51345,1.80006,1.51345,8,11,2,2,1.5911,d,2021-10-31 14:00:00,0,1,0,1,0.28661000000000003,16.375,6.333333333333333
12,a,0.537488,3.16809,0.537488,3.16809,1,9,0,4,0.1111,l,2021-11-05 20:00:00,0,0,1,0,-2.6306019999999997,26.2,7.735294117647059
13,h,1.19094,1.24032,1.19094,1.24032,2,3,0,1,1.2886,l,2021-11-21 14:00:00,0,0,1,0,-0.04937999999999998,14.555555555555555,10.818181818181818
14,a,0.145868,1.15323,0.145868,1.15323,1,4,0,1,0.4212,l,2021-11-28 19:45:00,0,0,1,0,-1.007362,10.76,10.458333333333334
15,h,1.12178,0.433668,1.12178,0.433668,4,3,2,0,1.9859,w,2021-12-01 18:00:00,1,0,0,3,0.6881120000000001,10.375,13.545454545454545
16,a,0.28995,1.79406,0.28995,1.79406,5,7,1,2,0.2491,l,2021-12-04 18:00:00,0,0,1,0,-1.50411,7.1923076923076925,10.074074074074074
17,h,1.26919,1.13993,1.26919,1.13993,8,4,1,2,1.4128999999999998,l,2021-12-12 14:00:00,0,0,1,0,0.12925999999999993,7.2727272727272725,16.176470588235293
18,h,1.05921,0.661085,1.05921,0.661085,6,1,1,1,1.7201,d,2021-12-22 19:45:00,0,1,0,1,0.39812499999999995,6.36,36.4
