,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.09417,0.438551,1.09417,0.438551,3,9,1,0,2.0082,w,2014-08-31 19:45:00,1,0,0,3,0.6556190000000001,25.416666666666668,9.217391304347826
1,a,0.154651,1.55271,0.154651,1.55271,0,7,0,3,0.2799,l,2014-09-14 14:00:00,0,0,1,0,-1.398059,23.083333333333332,5.173913043478261
2,h,2.03766,2.57707,2.03766,1.81577,2,6,2,2,1.0039,d,2014-09-20 17:00:00,0,1,0,1,0.2218899999999997,14.25,9.941176470588236
3,a,0.0127481,2.23177,0.0127481,1.47047,1,18,0,3,0.0552,l,2014-09-24 19:45:00,0,0,1,0,-1.4577219,25.928571428571427,4.275862068965517
4,h,1.13049,0.876708,1.13049,0.876708,1,5,1,1,1.6178,d,2014-09-28 14:00:00,0,1,0,1,0.25378199999999995,11.454545454545455,7.695652173913044
5,a,2.08506,0.836953,1.32376,0.836953,7,6,1,1,2.3524,d,2014-10-05 14:00:00,0,1,0,1,0.4868070000000001,13.636363636363637,17.0
6,a,1.13078,0.995603,0.369483,0.995603,2,6,1,2,1.5423,l,2014-10-19 14:00:00,0,0,1,0,-0.62612,10.333333333333334,5.805555555555555
7,h,0.645724,2.06734,0.645724,1.30604,3,4,0,1,0.3537,l,2014-10-26 17:00:00,0,0,1,0,-0.6603160000000001,10.935483870967742,5.653846153846154
8,a,0.167116,2.93622,0.167116,2.93622,2,10,0,2,0.0388,l,2014-10-29 19:45:00,0,0,1,0,-2.769104,25.333333333333332,7.764705882352941
9,h,0.901371,0.654003,0.901371,0.654003,7,5,1,1,1.5777,d,2014-11-03 18:00:00,0,1,0,1,0.24736800000000003,18.357142857142858,6.0
10,a,0.834337,1.26794,0.834337,1.26794,8,4,1,2,0.982,l,2014-11-09 14:00:00,0,0,1,0,-0.43360300000000007,12.4375,12.411764705882353
11,h,1.01428,1.41176,1.01428,1.41176,1,13,1,1,1.0072,d,2014-11-23 14:00:00,0,1,0,1,-0.39747999999999983,9.272727272727273,6.75
12,h,1.06464,2.71452,0.303342,1.95322,4,4,0,3,0.2194,l,2014-11-30 14:00:00,0,0,1,0,-1.649878,7.580645161290323,7.16
13,a,0.43169,3.60693,0.43169,3.60693,6,9,2,3,0.0463,l,2014-12-07 14:00:00,0,0,1,0,-3.17524,7.09375,5.0
14,h,0.145477,2.02539,0.145477,2.02539,1,6,1,4,0.1102,l,2014-12-14 17:00:00,0,0,1,0,-1.8799129999999997,16.0,6.92
15,a,0.953614,1.75755,0.953614,0.996253,4,3,1,1,0.6958,d,2014-12-20 17:00:00,0,1,0,1,-0.042639000000000093,13.117647058823529,9.043478260869565
16,h,0.47022,1.78119,0.47022,1.78119,3,7,1,4,0.3994,l,2015-01-06 17:00:00,0,0,1,0,-1.31097,14.652173913043478,8.545454545454545
17,a,1.80994,1.87858,1.80994,0.978137,5,7,1,2,1.3140999999999998,l,2015-01-11 14:00:00,0,0,1,0,0.8318030000000001,5.542857142857143,12.28
18,h,2.67702,1.53741,1.15442,1.53741,7,8,2,3,2.2432000000000003,l,2015-01-18 14:00:00,0,0,1,0,-0.38298999999999994,5.882352941176471,8.565217391304348
19,a,0.764594,1.0013,0.764594,1.0013,6,12,2,1,1.1432,w,2015-01-25 14:00:00,1,0,0,3,-0.23670600000000008,5.928571428571429,4.6923076923076925
20,h,0.973154,0.282267,0.973154,0.282267,6,5,2,1,2.0141999999999998,w,2015-02-01 14:00:00,1,0,0,3,0.690887,7.515151515151516,6.157894736842105
21,a,0.625894,1.46461,0.625894,1.46461,3,7,0,2,0.6649,l,2015-02-08 14:00:00,0,0,1,0,-0.838716,8.424242424242424,9.31578947368421
22,h,1.06157,2.24449,1.06157,1.48319,6,7,2,2,0.5324,d,2015-02-15 19:45:00,0,1,0,1,-0.4216200000000001,17.27777777777778,5.777777777777778
23,a,0.494932,1.25473,0.494932,0.493431,9,7,0,2,0.5882000000000001,l,2015-02-22 14:00:00,0,0,1,0,0.0015009999999999746,7.9411764705882355,6.241379310344827
24,h,1.26469,0.378987,1.26469,0.378987,10,5,1,0,2.1689,w,2015-03-01 14:00:00,1,0,0,3,0.8857030000000001,4.782608695652174,13.4
25,h,0.0514277,0.275999,0.0514277,0.275999,6,3,0,0,0.8281,d,2015-03-08 11:30:00,0,1,0,1,-0.2245713,7.486486486486487,5.576923076923077
26,a,0.306265,1.24118,0.306265,1.24118,4,11,1,1,0.53,d,2015-03-15 19:45:00,0,1,0,1,-0.9349149999999999,12.096774193548388,5.3076923076923075
27,h,0.231981,1.02786,0.231981,1.02786,5,6,0,1,0.5136000000000001,l,2015-03-22 19:45:00,0,0,1,0,-0.795879,6.571428571428571,10.0
28,a,1.06234,1.4245,1.06234,1.4245,8,2,3,3,1.0435,d,2015-04-04 14:00:00,0,1,0,1,-0.36216000000000004,5.291666666666667,13.277777777777779
29,h,0.476356,1.81431,0.476356,1.81431,4,4,0,1,0.3808,l,2015-04-12 11:30:00,0,0,1,0,-1.337954,5.454545454545454,13.583333333333334
30,a,0.169192,1.20484,0.169192,1.20484,3,9,0,0,0.4212,d,2015-04-18 17:00:00,0,1,0,1,-1.035648,9.083333333333334,5.64
31,a,1.24615,3.40707,1.24615,2.64577,5,8,1,3,0.2645,l,2015-04-26 14:00:00,0,0,1,0,-1.39962,5.620689655172414,7.095238095238095
32,h,2.63369,1.41317,1.87239,1.41317,5,2,2,2,2.2884,d,2015-04-29 19:45:00,0,1,0,1,0.45921999999999996,4.3,4.885714285714286
