,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.09417,0.438551,1.09417,0.438551,3,9,1,0,2.0082,1,0,0,3,0.6556190000000001,25.416666666666668,9.217391304347826
1,1.2488210000000002,1.9912610000000002,1.2488210000000002,1.9912610000000002,3,16,1,3,2.2881,1,0,1,3,-0.7424399999999999,24.25,7.195652173913043
2,3.286481,4.568331000000001,3.286481,3.8070310000000003,5,22,3,5,3.292,1,1,1,4,-0.5205500000000002,20.916666666666668,8.11082693947144
3,3.2992291000000002,6.800101000000001,3.2992291000000002,5.277501,6,40,3,8,3.3472,1,1,2,4,-1.9782719000000002,22.169642857142858,7.152085721844959
4,4.4297191,7.676809,4.4297191,6.154209,7,45,4,9,4.965,1,2,2,5,-1.7244899000000002,20.026623376623377,7.260799012258576
5,6.5147791,8.513762,5.7534791,6.991162,14,51,5,10,7.317399999999999,1,3,2,6,-1.2376829000000003,18.96158008658009,8.883999176882147
6,7.6455591,9.509364999999999,6.1229621,7.986765,16,57,6,12,8.8597,1,3,3,6,-1.8638029000000003,17.728973407544835,8.444221516692634
7,8.2912831,11.576704999999999,6.7686861,9.292805,19,61,6,13,9.2134,1,3,4,6,-2.5241189000000004,16.8797872154727,8.095424596336825
8,8.4583991,14.512925,6.9358021,12.229025,21,71,6,15,9.2522,1,3,5,6,-5.2932229,17.819070117457215,8.058678072560838
9,9.359770099999999,15.166927999999999,7.8371731,12.883028,28,76,7,16,10.8299,1,4,5,7,-5.0458549,17.87287739142578,7.852810265304754
10,10.194107099999998,16.434867999999998,8.6715101,14.150967999999999,36,80,8,18,11.8119,1,4,6,7,-5.4794579,17.378752174023436,8.267260668993627
11,11.208387099999998,17.846628,9.6857901,15.562727999999998,37,93,9,19,12.819099999999999,1,5,6,8,-5.8769379,16.703250098915422,8.140822279910823
12,12.273027099999998,20.561148,9.9891321,17.515947999999998,41,97,9,22,13.038499999999999,1,5,7,8,-7.5268159,16.00151125755965,8.065374412225376
13,12.704717099999998,24.168078,10.4208221,21.122878,47,106,11,25,13.0848,1,5,8,8,-10.7020559,15.365242596305388,7.846419097066421
14,12.850194099999998,26.193468000000003,10.5662991,23.148268,48,112,12,29,13.195,1,5,9,8,-12.5819689,15.407559756551695,7.784657823928659
15,13.803808099999998,27.951018,11.5199131,24.144521,52,115,13,30,13.8908,1,6,9,9,-12.624607899999999,15.264440212943684,7.863334101237466
16,14.274028099999997,29.732208,11.9901331,25.925711,55,122,14,34,14.2902,1,6,10,9,-13.935577899999998,15.228424548243671,7.903458833250235
