,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.68925,1.68654,0.68925,1.68654,6,5,0,2,0.5842999999999999,0,0,1,0,-0.9972899999999999,15.941176470588236,12.08695652173913
1,1.282296,3.05975,1.282296,3.05975,13,12,0,3,1.169,0,0,2,0,-1.777454,13.939338235294118,10.422788605697152
2,3.859366,5.09741,3.098066,5.09741,19,14,2,5,2.9118000000000004,0,1,2,1,-1.9993439999999998,12.606617647058824,11.698525737131433
3,5.893426,5.68005,5.132126,5.68005,27,18,4,7,5.375,0,2,2,2,-0.5479239999999996,11.874606092436975,10.011699180897356
4,7.567446,6.517372,6.806146,6.517372,30,23,5,8,7.5004,0,3,2,3,0.2887740000000004,10.761223335488042,9.093359344717886
5,9.561316,6.837337,8.800016,6.837337,35,26,8,8,10.0714,1,3,2,6,1.9626790000000005,9.730186112906702,9.114836490968608
6,11.135655999999999,7.474934999999999,10.374355999999999,7.474934999999999,41,28,9,9,12.334700000000002,1,4,2,7,2.8994210000000007,9.61345145081444,9.000216992258807
7,11.592184999999999,8.974734999999999,10.830884999999999,8.213439,47,35,9,13,12.790000000000001,1,4,3,7,2.6174460000000006,9.962906383098998,9.323465730295421
8,13.432025,12.280164999999998,12.670725,10.757569,51,40,10,16,13.327900000000001,1,4,4,7,1.9131560000000005,9.75827368733379,9.509747315818153
9,14.202688,13.792994999999998,13.441388,12.270399,55,48,10,18,14.104700000000001,1,4,5,7,1.1709890000000005,10.086150022304114,9.430772584236337
10,14.685063,14.163873999999998,13.923763,12.641278,55,55,12,19,15.466000000000001,2,4,5,10,1.2824850000000005,9.706660448083953,9.260702349305761
11,15.531699999999999,14.971314999999999,14.770399999999999,13.448719,60,65,14,19,16.8672,3,4,5,13,1.3216810000000005,9.677533982172196,9.213977153530282
12,16.813679999999998,15.652016999999999,16.05238,14.129421,66,66,14,19,18.7517,3,5,5,14,1.9229590000000005,9.456185214312796,9.582132757104874
13,18.771359999999998,17.015887,18.01006,15.493291000000001,69,75,16,21,20.6234,3,6,5,15,2.516769000000001,9.822096796749099,9.344899671970055
14,19.819869999999998,17.462681,19.05857,15.940085000000002,74,81,16,21,22.4881,3,7,5,16,3.118485000000001,9.659244366621,9.349976535943982
15,21.101499999999998,19.125691,20.3402,17.603095000000003,77,92,17,22,23.5449,3,8,5,17,2.737105000000001,9.868041593707186,9.165224214568696
16,22.498839999999998,20.069192,21.73754,18.546596000000005,87,94,17,22,25.2614,3,9,5,18,3.190944000000001,9.678156794077351,9.207541342218502
17,22.825226999999998,21.058835000000002,22.063927,19.536239000000005,90,104,17,23,25.937299999999997,3,9,6,18,2.527688000000001,9.70108747723467,9.161961088439336
18,23.577237999999998,22.015671,22.815938,20.493075000000005,99,107,17,23,27.016199999999998,3,10,6,19,2.322863000000001,9.489846031064424,9.085767647694409
19,25.360087999999998,22.727601,23.837488,21.205005000000003,114,107,18,25,29.252699999999997,3,10,7,19,2.6324830000000006,9.251892191049665,9.473145931976356
20,26.432627999999998,23.437104,24.148725,21.914508000000005,117,121,19,26,31.0342,3,11,7,20,2.2342170000000006,9.327198912110791,9.531360514925721
21,27.897237999999998,24.062998,25.613335,22.540402000000004,124,124,21,26,33.1109,4,11,7,23,3.072933000000001,9.326680301273221,9.481036965349208
22,28.969098,24.968574,26.685195,23.445978000000004,128,127,22,27,34.5131,4,12,7,24,3.239217000000001,9.233672462087428,9.653962894391997
23,31.140888,25.255259,28.856985,23.732663000000002,137,130,25,27,37.244,5,12,7,27,5.124322000000001,9.199426305578884,9.789757918719866
24,32.326198,26.414219,30.042295000000003,24.891623000000003,143,137,25,27,38.6439,5,13,7,28,5.150672000000001,9.031449253355728,9.728537972341442
25,33.503568,27.329593,31.219665000000003,25.806997000000003,151,147,26,28,40.3123,5,14,7,29,5.412668000000001,8.945303769252302,9.677970861999398
26,34.174392000000005,28.306549999999998,31.890489000000002,26.783954,161,152,27,29,41.3654,5,15,7,30,5.106535000000001,8.79633240457914,9.763971941184606
