,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.79022,0.520545,1.79022,0.520545,6,3,2,1,2.3868,w,2014-08-31 19:45:00,1,0,0,3,1.2696749999999999,9.727272727272727,12.28
1,h,2.2055,0.667533,1.4442,0.667533,13,6,0,1,2.4786,l,2014-09-14 14:00:00,0,0,1,0,0.7766669999999999,3.892857142857143,13.68
2,a,0.436016,0.693168,0.436016,0.693168,6,0,0,1,0.9548000000000001,l,2014-09-21 17:00:00,0,0,1,0,-0.257152,8.09375,14.631578947368421
3,h,1.53135,1.11014,1.53135,1.11014,10,2,3,3,1.6905999999999999,d,2014-09-24 19:45:00,0,1,0,1,0.4212100000000001,13.0,27.692307692307693
4,a,1.39971,0.759409,1.39971,0.759409,7,9,1,0,1.9636,w,2014-09-28 11:30:00,1,0,0,3,0.640301,12.952380952380953,6.457142857142857
5,h,3.28365,0.414036,3.28365,0.414036,6,6,2,1,2.8960999999999997,w,2014-10-05 19:45:00,1,0,0,3,2.8696140000000003,9.88888888888889,23.272727272727273
6,a,1.09733,1.55031,1.09733,1.55031,4,6,2,2,0.9635,d,2014-10-19 19:45:00,0,1,0,1,-0.45298000000000016,10.44,9.08695652173913
7,h,4.61346,0.796178,3.85216,0.796178,18,5,6,2,2.9516,w,2014-10-26 17:00:00,1,0,0,3,3.055982,6.851851851851852,23.583333333333332
8,a,2.55253,0.756052,1.79123,0.756052,9,0,1,1,2.7264,d,2014-10-29 19:45:00,0,1,0,1,1.0351780000000002,6.611111111111111,13.961538461538462
9,h,2.64717,0.670975,2.64717,0.670975,9,4,2,0,2.6475,w,2014-11-01 14:00:00,1,0,0,3,1.9761950000000001,15.16,9.521739130434783
10,a,2.33933,0.640726,2.33933,0.640726,5,6,1,0,2.5444000000000004,w,2014-11-09 17:00:00,1,0,0,3,1.698604,15.166666666666666,10.68421052631579
11,h,1.45174,2.70517,1.45174,2.70517,6,7,3,3,0.5315,d,2014-11-23 14:00:00,0,1,0,1,-1.2534299999999998,4.767441860465116,18.25
12,a,0.902433,0.858518,0.902433,0.858518,4,3,1,1,1.3643999999999998,d,2014-12-01 20:00:00,0,1,0,1,0.04391500000000004,6.0,7.821428571428571
