,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.438551,1.09417,0.438551,1.09417,9,3,0,1,0.6858,0,0,1,0,-0.6556190000000001,9.217391304347826,25.416666666666668
1,1.868741,4.87211,1.868741,4.110810000000001,17,5,4,6,0.8541,0,0,2,0,-2.2420690000000003,10.377926421404682,20.002450980392158
2,2.80297,6.22132,2.80297,5.460020000000001,22,8,7,8,1.7463000000000002,1,0,2,3,-2.6570500000000004,8.60909380474598,17.430205415499533
3,3.1376530000000002,7.04673,3.1376530000000002,6.285430000000001,26,21,8,10,2.5562000000000005,1,0,3,3,-3.1477770000000005,10.169783316522448,14.52265406162465
4,4.997823,8.1021,4.236523,7.340800000000001,34,24,10,14,4.588900000000001,1,0,4,3,-3.1042770000000006,9.579304914087524,16.351456582633055
5,6.202453,9.87534,5.441153,9.114040000000001,37,29,11,16,5.475100000000001,1,0,5,3,-3.6728870000000002,9.160531872850713,15.969351073762839
6,6.509111,11.24908,5.747811,10.48778,42,33,11,17,5.926000000000001,1,0,6,3,-4.739969,9.902304630510697,15.148332666399893
7,7.273065,12.89191,6.511765,12.13061,46,37,12,20,6.560900000000001,1,0,7,3,-5.618845,9.81792564260595,14.740085200746964
8,7.967333,14.22613,7.206033,13.464830000000001,52,44,12,21,7.356800000000001,1,0,8,3,-6.258797,9.8937116823164,14.852297956219523
9,9.645123,14.75113,8.883823,13.989830000000001,57,57,14,21,9.770600000000002,2,0,8,6,-5.106007,12.426562736306982,13.759660753190165
10,9.782824,16.87535,9.021524,16.114050000000002,60,64,14,28,9.913200000000002,2,0,9,6,-7.092526,14.00596612391544,13.823934018051665
11,10.590265,17.721987000000002,9.828965,16.960687000000004,70,69,14,30,11.1605,2,0,10,6,-7.131722,13.56380228025582,13.451701421309265
12,12.005165,19.159567000000003,11.243865,18.398267000000004,78,76,15,32,12.510000000000002,2,0,11,6,-7.154402,13.328125181774602,13.131240872417342
13,13.340665,20.936727,12.579365,20.175427000000003,83,80,16,34,13.485700000000001,2,0,12,6,-7.596062,12.938021002124035,12.585131830509981
14,13.574850999999999,21.603175,12.813550999999999,20.841875,87,89,16,34,14.288000000000002,2,1,12,7,-8.028324,12.632243025405858,12.355999585019193
15,13.678493,24.211205,12.917193,22.688615000000002,89,95,16,36,14.337600000000002,2,1,13,7,-9.771422,12.728597401535382,12.160832944288826
16,14.689212999999999,27.036035,13.927913,24.752145000000002,94,109,17,36,14.606300000000003,3,1,13,10,-10.824231999999999,12.921032848503888,11.790409616015152
17,15.155295999999998,29.506275,14.393996,27.222385000000003,105,116,18,39,14.750900000000003,3,1,14,10,-12.828388999999998,12.904586579142562,11.900538374721382
18,16.089091999999997,32.104434999999995,15.327791999999999,29.820545000000003,116,122,18,41,15.034300000000004,3,1,15,10,-14.492752999999997,13.345698563698967,11.757447838252792
19,17.090391999999998,32.869029,16.329092,30.585139,128,128,19,43,16.553700000000003,3,1,16,10,-14.256046999999997,12.913029020129404,11.466004017768723
20,18.472831999999997,34.917629,17.711532,31.872439,133,138,20,46,17.441200000000002,3,1,17,10,-14.160906999999998,12.798122876313718,11.223925395073854
21,19.214847999999996,36.639658999999995,18.453547999999998,33.594469,135,143,20,47,18.049000000000003,3,1,18,10,-15.140920999999999,12.417688719598159,10.878393432671508
22,19.320112999999996,38.05162899999999,18.558812999999997,35.00643899999999,136,159,20,47,18.324400000000004,3,2,18,11,-16.447626,13.021601919080513,10.650637196468399
23,19.876797999999997,38.274044999999994,19.115498,35.228854999999996,138,159,20,47,19.920200000000005,3,3,18,12,-16.113357,12.775087804031108,10.557822185077088
24,20.212072999999997,40.690194999999996,19.450772999999998,36.883705,140,164,21,51,20.005000000000006,3,3,19,12,-17.432932,12.61075095853653,10.44069448285919
25,20.950214999999996,42.399145,20.188914999999998,38.592655,147,175,21,53,20.631100000000007,3,3,20,12,-18.403740000000003,12.769078718872539,10.377590848903067
26,21.493178999999998,43.455794999999995,20.731879,39.649305,151,184,22,54,21.499100000000006,3,4,20,13,-18.917426000000003,13.115321990722576,10.178420817462213
27,22.714388999999997,43.999492999999994,21.953089,40.193003,161,194,23,54,23.450900000000004,4,4,20,16,-18.239914000000002,13.235263498572708,10.088304803045459
28,23.033755999999997,44.91385499999999,22.272456,41.107364999999994,166,202,24,54,24.185000000000006,5,4,20,19,-18.834909000000003,13.354737171035719,9.906214716998798
29,23.629132,47.69753499999999,22.867832,43.89104499999999,172,208,24,56,24.378500000000006,5,4,21,19,-21.023213000000002,13.19554417761523,9.786791873490994
30,24.657632,48.76742499999999,23.896332,44.96093499999999,175,214,26,58,25.682800000000007,5,5,21,20,-21.064603,13.159128774036242,9.71754052273322
31,25.772702,50.569774999999986,24.250103,46.76328499999999,179,222,27,58,26.482100000000006,6,5,21,23,-22.513182,13.112489333180944,9.675586131397807
32,26.184231,52.43995499999998,24.661632,48.63346499999999,185,227,27,62,26.734200000000005,6,5,22,23,-23.971833,13.61531942468883,9.564204733476661
33,27.176215,54.52630499999999,25.653616,50.71981499999999,193,231,27,66,27.300500000000007,6,5,23,23,-25.066199,13.48862450948305,9.727349038701204
34,28.476595,55.979354999999984,26.953996,52.17286499999999,194,241,29,68,28.577600000000007,6,6,23,24,-25.218869,13.474663809212105,9.730377161404979
35,29.645135,57.932254999999984,28.122536,54.12576499999999,198,250,29,71,29.408500000000007,6,6,24,24,-26.003229,13.68808689053516,9.674209277291876
36,30.748745,59.34912499999999,29.226146,54.781334999999984,206,261,31,73,30.46730000000001,6,7,24,25,-25.555189000000002,13.739760217817995,9.733207482152713
37,31.765945,60.73810499999999,30.243346,56.17031499999999,212,269,33,75,31.518400000000007,6,8,24,26,-25.926969000000003,13.86127028727391,9.676831208698934
