,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,2.24014,0.377616,2.24014,0.377616,5,3,2,0,2.6843000000000004,w,2014-08-30 19:45:00,1,0,0,3,1.8625239999999998,8.571428571428571,16.5
1,a,1.37321,0.593046,1.37321,0.593046,7,7,1,0,2.1663,w,2014-09-13 17:00:00,1,0,0,3,0.7801640000000001,8.758620689655173,11.9375
2,h,1.52229,0.493968,1.52229,0.493968,6,4,2,0,2.3291,w,2014-09-21 14:00:00,1,0,0,3,1.028322,11.695652173913043,21.476190476190474
3,a,0.82541,0.334683,0.82541,0.334683,13,4,2,1,1.7921,w,2014-09-24 19:45:00,1,0,0,3,0.49072699999999997,5.8,14.851851851851851
4,h,2.69285,0.353371,2.69285,0.353371,11,2,2,0,2.7913,w,2014-09-27 17:00:00,1,0,0,3,2.339479,4.620689655172414,24.642857142857142
5,a,1.76638,3.04854,1.00508,1.52602,3,4,2,3,0.5287,l,2014-10-05 17:00:00,0,0,1,0,-0.52094,15.4,16.047619047619047
6,h,1.39349,0.324071,0.632193,0.324071,6,1,3,0,2.3891,w,2014-10-18 17:00:00,1,0,0,3,0.308122,7.142857142857143,17.035714285714285
7,a,1.23266,1.22488,1.23266,1.22488,5,4,0,0,1.3159,d,2014-10-25 19:45:00,0,1,0,1,0.00778000000000012,8.05,15.3
8,h,2.93622,0.167116,2.93622,0.167116,10,2,2,0,2.9341,w,2014-10-29 19:45:00,1,0,0,3,2.769104,7.764705882352941,25.333333333333332
9,a,0.670975,2.64717,0.670975,2.64717,4,9,0,2,0.2313,l,2014-11-01 14:00:00,0,0,1,0,-1.9761950000000001,9.521739130434783,15.16
10,h,0.873544,0.502666,0.873544,0.502666,8,2,3,0,1.6847000000000003,w,2014-11-09 19:45:00,1,0,0,3,0.37087800000000004,11.0,18.045454545454547
11,a,0.320212,0.871376,0.320212,0.871376,5,4,2,1,0.7585,w,2014-11-22 17:00:00,1,0,0,3,-0.551164,7.375,6.146341463414634
12,h,1.97997,0.722743,1.97997,0.722743,6,4,4,2,2.3072,w,2014-11-30 19:45:00,1,0,0,3,1.2572269999999999,9.32,8.344827586206897
13,h,2.1508,0.684934,1.3895,0.684934,11,5,2,2,2.4576000000000002,d,2014-12-06 17:00:00,0,1,0,1,0.7045659999999999,3.5185185185185186,18.95
14,a,3.49576,0.293159,2.73447,0.293159,11,2,1,0,2.9379,w,2014-12-14 14:00:00,1,0,0,3,2.441311,4.457142857142857,18.05
15,h,1.05507,0.225749,1.05507,0.225749,12,3,0,0,2.1796,d,2014-12-20 19:45:00,0,1,0,1,0.829321,4.942857142857143,9.26923076923077
16,a,0.896613,0.860799,0.896613,0.860799,8,11,1,0,1.3523,w,2015-01-06 11:30:00,1,0,0,3,0.03581400000000001,5.769230769230769,14.0
17,h,0.633109,1.47703,0.633109,1.47703,1,2,2,2,0.6221,d,2015-01-11 14:00:00,0,1,0,1,-0.843921,8.041666666666666,11.1
18,a,0.908051,1.01386,0.908051,1.01386,4,2,1,1,1.2351,d,2015-01-17 19:45:00,0,1,0,1,-0.10580899999999993,5.625,16.5
19,a,1.25054,1.12394,1.25054,1.12394,3,6,1,1,1.4714,d,2015-01-25 19:45:00,0,1,0,1,0.12660000000000005,6.653846153846154,9.178571428571429
20,h,0.709503,1.07254,0.709503,0.311237,14,3,1,1,0.889,d,2015-01-31 19:45:00,0,1,0,1,0.398266,10.695652173913043,10.833333333333334
21,a,1.20001,1.91512,1.20001,1.91512,7,5,2,1,0.8506,w,2015-02-08 14:00:00,1,0,0,3,-0.7151099999999999,8.206896551724139,13.0
22,h,1.41197,0.105265,1.41197,0.105265,16,1,0,0,2.5143000000000004,d,2015-02-15 14:00:00,0,1,0,1,1.306705,5.64,26.307692307692307
23,a,0.714031,0.676633,0.714031,0.676633,6,4,1,1,1.2906,d,2015-02-22 14:00:00,0,1,0,1,0.03739799999999993,3.68,16.8125
24,h,0.355629,0.63406,0.355629,0.63406,2,4,1,1,0.9959,d,2015-03-02 19:45:00,0,1,0,1,-0.278431,8.192307692307692,12.181818181818182
25,a,0.723373,0.697014,0.723373,0.697014,8,6,0,0,1.3337,d,2015-03-08 14:00:00,0,1,0,1,0.02635900000000002,3.857142857142857,8.851851851851851
26,h,1.81154,1.13556,1.81154,1.13556,8,8,0,2,1.9096,l,2015-03-16 20:00:00,0,0,1,0,0.67598,6.114285714285714,11.038461538461538
27,a,1.02786,0.231981,1.02786,0.231981,6,5,1,0,2.1699,w,2015-03-22 19:45:00,1,0,0,3,0.795879,10.0,6.571428571428571
28,h,1.22732,0.975768,1.22732,0.975768,5,10,1,0,1.5958,w,2015-04-04 11:30:00,1,0,0,3,0.251552,7.071428571428571,10.2
29,a,1.90082,1.13761,1.13952,1.13761,8,7,1,1,1.9798999999999998,d,2015-04-12 14:00:00,0,1,0,1,0.0019100000000000783,7.857142857142857,16.266666666666666
30,h,1.56503,0.919147,0.803736,0.157848,6,2,1,1,1.9452,d,2015-04-19 14:00:00,0,1,0,1,0.645888,8.62962962962963,10.692307692307692
31,a,0.47498,1.31242,0.47498,1.31242,4,7,1,2,0.628,l,2015-04-25 19:45:00,0,0,1,0,-0.83744,8.0,6.485714285714286
32,a,0.801308,0.447829,0.801308,0.447829,7,6,3,0,1.7003,w,2015-04-29 19:45:00,1,0,0,3,0.35347900000000004,9.25925925925926,7.405405405405405
33,h,0.872024,0.442319,0.872024,0.442319,3,11,2,0,1.7489999999999999,w,2015-05-03 11:30:00,1,0,0,3,0.429705,8.142857142857142,6.964285714285714
34,a,1.47723,2.40295,0.715933,2.40295,7,2,1,2,0.6684,l,2015-05-09 19:45:00,0,0,1,0,-1.687017,9.35,15.631578947368421
35,h,2.52509,1.03058,2.52509,1.03058,11,4,2,1,2.4044,w,2015-05-17 19:45:00,1,0,0,3,1.49451,5.2272727272727275,21.615384615384617
36,a,1.32911,1.424,1.32911,1.424,5,5,2,1,1.2846,w,2015-05-25 17:00:00,1,0,0,3,-0.09488999999999992,12.0,4.92
37,h,0.50954,2.88579,0.50954,2.12449,4,4,1,2,0.0863,l,2015-05-31 19:45:00,0,0,1,0,-1.6149500000000003,13.263157894736842,13.73076923076923
