,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.09973,1.31374,0.338427,1.31374,5,5,0,0,1.17,d,2014-08-31 19:45:00,0,1,0,1,-0.9753129999999999,13.38888888888889,8.869565217391305
1,a,0.389513,0.421195,0.389513,0.421195,3,3,0,2,1.2117,l,2014-09-14 11:30:00,0,0,1,0,-0.03168199999999999,10.35,10.714285714285714
2,h,2.62344,1.22043,1.72694,1.22043,11,2,0,1,2.4071,l,2014-09-21 19:45:00,0,0,1,0,0.50651,15.11111111111111,13.11111111111111
3,a,1.296,0.775745,1.296,0.775745,5,8,2,1,1.8097,w,2014-09-24 19:45:00,1,0,0,3,0.520255,16.533333333333335,7.6571428571428575
4,h,1.04433,1.37293,1.04433,1.37293,5,10,1,1,1.0896,d,2014-09-28 14:00:00,0,1,0,1,-0.3286,21.727272727272727,6.3076923076923075
5,a,0.414036,3.28365,0.414036,3.28365,6,6,1,2,0.0638,l,2014-10-05 19:45:00,0,0,1,0,-2.8696140000000003,23.272727272727273,9.88888888888889
6,h,1.39322,0.920075,1.39322,0.920075,7,5,1,0,1.7070999999999998,w,2014-10-19 14:00:00,1,0,0,3,0.4731449999999999,11.863636363636363,8.625
7,a,0.495408,1.17164,0.495408,1.17164,4,9,1,2,0.6596,l,2014-10-26 17:00:00,0,0,1,0,-0.6762319999999999,12.043478260869565,6.818181818181818
8,h,1.33422,0.694268,1.33422,0.694268,7,6,1,0,1.9149000000000003,w,2014-10-29 19:45:00,1,0,0,3,0.639952,15.75,10.5
9,h,1.39976,0.144278,1.39976,0.144278,9,4,0,0,2.5211,d,2014-11-02 14:00:00,0,1,0,1,1.255482,7.428571428571429,15.857142857142858
10,a,0.502666,0.873544,0.502666,0.873544,2,8,0,3,0.9455,l,2014-11-09 19:45:00,0,0,1,0,-0.37087800000000004,18.045454545454547,11.0
11,h,1.65966,1.3656,0.898365,1.3656,3,7,0,1,1.6304,l,2014-11-23 11:30:00,0,0,1,0,-0.46723499999999996,13.555555555555555,7.4324324324324325
12,a,1.0594,1.79946,1.0594,1.03816,4,6,1,2,0.7777999999999999,l,2014-11-30 17:00:00,0,0,1,0,0.021239999999999926,24.6,6.205882352941177
13,h,0.996123,0.265528,0.996123,0.265528,7,1,2,2,1.9904000000000002,d,2014-12-06 19:45:00,0,1,0,1,0.730595,16.454545454545453,19.764705882352942
14,a,0.446794,1.04851,0.446794,1.04851,6,5,0,0,0.7976,d,2014-12-15 18:00:00,0,1,0,1,-0.601716,9.421052631578947,7.379310344827586
15,h,1.82211,0.584865,1.82211,0.584865,3,6,2,1,2.4666999999999994,w,2014-12-21 14:00:00,1,0,0,3,1.237245,9.185185185185185,5.121212121212121
16,a,0.240292,0.790719,0.240292,0.790719,1,4,0,0,0.7183,d,2015-01-06 14:00:00,0,1,0,1,-0.550427,11.105263157894736,7.2368421052631575
17,h,2.8576,1.03898,2.8576,0.277679,11,0,1,1,2.559,d,2015-01-10 19:45:00,0,1,0,1,2.579921,5.178571428571429,12.909090909090908
18,a,1.53741,2.67702,1.53741,1.15442,8,7,3,2,0.5602,w,2015-01-18 14:00:00,1,0,0,3,0.38298999999999994,8.565217391304348,5.882352941176471
19,a,1.07197,0.47051,1.07197,0.47051,7,6,1,0,1.969,w,2015-01-25 14:00:00,1,0,0,3,0.6014600000000001,19.625,4.542857142857143
