,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.727137,0.880993,0.727137,0.880993,6,8,0,0,1.1634,0,1,0,1,-0.153856,11.80952380952381,8.32
1,2.831677,2.2678030000000002,2.070387,2.2678030000000002,7,13,2,1,3.1170999999999998,1,1,0,4,-0.19741600000000004,10.988095238095237,8.570714285714285
2,4.0521069999999995,4.891243,3.290817,3.994743,9,24,3,1,3.5385,2,1,0,7,-0.703926,11.695767195767194,10.75084656084656
3,5.878086999999999,6.507943,5.116797,5.611443,17,29,5,3,5.0767,2,2,0,8,-0.49464600000000014,10.840007215007214,10.34438492063492
4,6.231457999999999,9.200793,5.470168,8.304293000000001,19,40,5,5,5.2105999999999995,2,2,1,8,-2.8341250000000002,13.6005772005772,9.199645867542419
5,7.194425999999999,11.215543,6.433136,10.319043,22,48,6,5,5.835799999999999,3,2,1,11,-3.885907,12.521314333814333,8.95669413693051
6,8.721875999999998,13.394533000000001,7.960586,12.498033000000001,26,53,7,8,6.671899999999999,3,2,2,11,-4.537447,12.260505453828435,9.023320249237141
7,9.518053999999998,18.007993,8.756764,16.350193,31,71,9,14,6.701799999999999,3,2,3,11,-7.593429,13.675858938766547,8.751886699563979
8,11.265963999999997,18.896435999999998,9.743374000000001,17.238636,32,75,10,15,8.820599999999999,3,3,3,12,-7.495262,13.401689427051744,8.612788177390204
9,11.919966999999996,19.797807,10.397377,18.140007,37,82,11,16,9.8805,3,4,3,13,-7.74263,12.661520484346571,9.58722364536547
10,14.074626999999996,21.861617,11.764057000000001,20.203817,46,90,13,18,11.3143,3,5,3,14,-8.43976,12.771836803951429,9.523144490439195
11,15.219706999999996,24.709467,12.909137000000001,23.051667000000002,50,96,14,20,11.6625,3,5,4,14,-10.14253,12.649183736955477,9.127697264384077
12,15.883196999999996,26.183837,13.572627,24.526037000000002,52,102,15,22,12.2345,3,5,5,14,-10.95341,12.5607849879589,8.919363231639894
13,17.456926999999997,29.160707000000002,15.146357,26.741607000000002,57,108,16,25,12.729800000000001,3,5,6,14,-11.59525,12.508306557141962,8.731670619856091
14,18.284449999999996,29.966700000000003,15.97388,27.547600000000003,61,114,18,26,14.085500000000001,4,5,6,17,-11.57372,12.701086119999164,8.71146400710378
15,19.249344999999995,30.705969000000003,16.938775,28.286869000000003,70,118,18,27,15.585,4,5,7,17,-11.348094,12.567424487499217,8.600033220945507
16,20.192845999999996,32.103309,17.882276,29.684209000000003,72,128,18,27,16.587500000000002,4,6,7,18,-11.801933,12.40961218732958,8.484737149125182
17,22.663085999999996,32.569392,20.352516,30.150292000000004,79,139,21,28,19.3577,5,6,7,21,-9.797775999999999,12.485340803185007,8.71475175195156
18,22.772580999999995,34.029752,20.462011,31.610652000000005,80,152,21,32,19.629900000000003,5,6,8,21,-11.148641,13.626463217052464,8.802991362260746
19,24.995810999999996,34.746805,22.685241,32.32770500000001,88,158,22,32,22.114500000000003,6,6,8,24,-9.642464,13.62923096529075,9.28784179414771
20,25.467676999999995,36.104445,23.157107,33.68534500000001,91,162,23,34,22.668300000000002,6,6,9,24,-10.528238,13.659873646597251,9.093182661093056
21,26.151617999999996,37.708815,23.841048,34.52841800000001,106,166,24,37,23.2585,6,6,10,24,-10.68737,13.327371552943145,9.040245786887526
22,27.223757999999997,39.152765,24.913188,35.97236800000001,112,168,26,42,24.2928,6,6,11,24,-11.05918,12.94683365933692,8.805404182626717
23,27.900390999999996,39.866796,25.589821,36.68639900000001,116,174,27,43,25.6131,6,7,11,25,-11.096578,13.107903090197881,8.59184567501727
24,29.425310999999997,41.169006,27.114741000000002,37.98860900000001,118,189,29,44,27.2093,7,7,11,28,-10.873868,12.96580918881219,8.40497184801658
25,30.977600999999996,43.341546,27.905730000000002,39.39988900000001,125,198,31,46,28.103099999999998,7,8,11,29,-11.494159,12.909431912319413,8.549652417964658
26,32.710570999999995,43.939374,29.6387,39.99771700000001,127,206,33,46,30.4776,8,8,11,32,-10.359017,12.944532317683242,8.393094204157126
27,32.850683,45.663164,29.778812,41.72150700000001,128,220,33,48,30.7172,8,8,12,32,-11.942695,13.079971952953954,8.375483696865802
