,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.380583,1.03572,0.380583,1.03572,4,9,0,1,0.7313000000000001,l,2015-08-23 22:45:00,0,0,1,0,-0.655137,20.125,4.46875
1,h,3.15546,0.836519,2.39416,0.836519,9,6,2,0,2.7476,w,2015-08-30 22:45:00,1,0,0,3,1.5576409999999998,5.133333333333334,7.586206896551724
2,a,1.32444,1.26217,0.563138,0.500873,2,3,2,2,1.3754999999999997,d,2015-09-13 17:00:00,0,1,0,1,0.062265000000000015,10.37037037037037,5.645161290322581
3,h,0.921773,0.753904,0.921773,0.753904,7,2,1,1,1.4809,d,2015-09-20 17:00:00,0,1,0,1,0.16786899999999993,7.0476190476190474,7.6521739130434785
4,a,0.690699,0.719009,0.690699,0.719009,1,4,1,0,1.271,w,2015-09-24 22:45:00,1,0,0,3,-0.028310000000000057,6.4523809523809526,7.085714285714285
5,h,2.02949,0.78253,2.02949,0.78253,12,5,2,1,2.2932000000000006,w,2015-09-28 23:00:00,1,0,0,3,1.24696,5.72972972972973,4.222222222222222
6,a,0.479182,3.24131,0.479182,2.48001,4,13,0,3,0.0781,l,2015-10-04 22:45:00,0,0,1,0,-2.0008280000000003,17.45,9.15
7,h,2.23861,1.03029,1.47731,1.03029,1,2,3,0,2.3238000000000003,w,2015-10-18 17:00:00,1,0,0,3,0.44702,5.514285714285714,16.473684210526315
8,a,0.112853,3.13825,0.112853,2.37696,1,12,0,2,0.0194,l,2015-10-25 18:00:00,0,0,1,0,-2.264107,16.321428571428573,7.041666666666667
9,h,0.40769,0.189085,0.40769,0.189085,4,4,2,1,1.4617,w,2015-10-28 23:45:00,1,0,0,3,0.218605,5.897435897435898,9.782608695652174
10,a,1.25378,1.37773,1.25378,1.37773,4,5,0,3,1.242,l,2015-11-01 18:00:00,0,0,1,0,-0.12395,6.0,10.307692307692308
11,a,1.2934,0.444823,1.2934,0.444823,5,4,0,0,2.2331999999999996,d,2015-11-07 23:45:00,0,1,0,1,0.8485770000000001,3.8260869565217392,15.2
12,h,0.896778,1.55139,0.896778,1.55139,9,7,0,1,0.8364999999999999,l,2015-11-22 18:00:00,0,0,1,0,-0.6546120000000001,5.7407407407407405,9.033333333333333
13,a,1.34272,0.900985,0.581425,0.900985,1,8,2,0,1.8576,w,2015-11-29 18:00:00,1,0,0,3,-0.31956000000000007,8.518518518518519,5.068965517241379
14,h,1.51762,0.845303,1.51762,0.845303,3,9,3,0,1.9387,w,2015-12-06 18:00:00,1,0,0,3,0.6723169999999999,9.178571428571429,5.921052631578948
15,a,0.108307,1.55883,0.108307,0.797535,1,5,0,1,0.1653,l,2015-12-13 18:00:00,0,0,1,0,-0.689228,9.296296296296296,7.428571428571429
16,h,0.799558,3.81906,0.799558,2.29646,9,5,1,3,0.07780000000000001,l,2015-12-20 18:00:00,0,0,1,0,-1.4969020000000002,10.935483870967742,9.16
17,a,1.10135,1.91362,1.10135,1.91362,4,2,1,2,0.7194999999999999,l,2016-01-06 15:30:00,0,0,1,0,-0.81227,4.62962962962963,14.647058823529411
18,h,0.664628,1.29873,0.664628,1.29873,6,2,0,2,0.7043,l,2016-01-10 18:00:00,0,0,1,0,-0.6341019999999999,7.151515151515151,6.657894736842105
19,h,1.68736,0.718571,1.68736,0.718571,8,7,1,1,2.1622000000000003,d,2016-01-16 18:00:00,0,1,0,1,0.968789,7.166666666666667,6.92
20,a,0.975734,0.800838,0.975734,0.800838,5,3,0,0,1.4925000000000002,d,2016-01-23 21:00:00,0,1,0,1,0.17489599999999994,7.478260869565218,5.303030303030303
21,h,1.13065,0.907407,0.230943,0.907407,6,2,1,1,1.5402,d,2016-01-30 21:00:00,0,1,0,1,-0.676464,6.7631578947368425,6.514285714285714
22,a,1.36097,1.54232,1.36097,1.54232,7,4,1,2,1.1984,l,2016-02-03 23:45:00,0,0,1,0,-0.1813499999999999,5.733333333333333,5.594594594594595
23,h,0.983654,0.588857,0.983654,0.588857,3,6,0,0,1.7054,d,2016-02-07 21:00:00,0,1,0,1,0.39479700000000006,8.848484848484848,5.714285714285714
24,a,0.22159,0.923922,0.22159,0.923922,3,4,0,0,0.5819,d,2016-02-14 18:00:00,0,1,0,1,-0.702332,8.3,9.904761904761905
25,h,2.03351,1.94407,2.03351,1.94407,6,3,2,3,1.4582000000000002,l,2016-02-21 18:00:00,0,0,1,0,0.08944000000000019,7.970588235294118,7.518518518518518
26,a,0.947109,1.43845,0.947109,0.677153,2,2,1,1,0.89,d,2016-02-28 18:00:00,0,1,0,1,0.269956,3.814814814814815,7.958333333333333
27,h,0.65994,1.16757,0.65994,1.16757,1,7,0,2,0.7734000000000001,l,2016-03-06 18:00:00,0,0,1,0,-0.50763,7.578947368421052,6.0
28,a,0.776464,1.4421,0.776464,1.4421,6,3,0,2,0.7441,l,2016-03-13 23:45:00,0,0,1,0,-0.6656359999999999,5.761904761904762,8.318181818181818
29,h,3.91595,0.377709,3.15469,0.377709,5,7,2,0,2.9763,w,2016-03-20 15:30:00,1,0,0,3,2.776981,10.083333333333334,11.0
30,h,1.34093,1.52411,1.34093,0.762815,7,7,2,1,1.1766999999999999,w,2016-04-03 17:00:00,1,0,0,3,0.5781149999999999,9.52,6.323529411764706
31,a,0.99328,0.873952,0.99328,0.873952,7,3,1,2,1.4107999999999998,l,2016-04-10 17:00:00,0,0,1,0,0.1193280000000001,8.444444444444445,19.705882352941178
32,h,2.49058,2.10816,2.49058,2.10816,7,18,3,3,1.6901,d,2016-04-17 14:30:00,0,1,0,1,0.3824200000000002,11.76,7.222222222222222
33,a,2.25362,2.64762,1.49232,1.88632,1,8,2,2,1.0897,d,2016-04-20 22:45:00,0,1,0,1,-0.3939999999999999,6.032258064516129,8.653846153846153
34,h,0.939437,0.347217,0.939437,0.347217,2,8,1,0,1.9728999999999997,w,2016-04-24 17:00:00,1,0,0,3,0.59222,6.875,5.758620689655173
35,a,0.172012,2.52982,0.172012,2.52982,2,11,1,2,0.09559999999999999,l,2016-05-02 23:00:00,0,0,1,0,-2.357808,16.08,9.15625
36,h,1.12089,0.271001,0.35959,0.271001,5,2,1,1,2.3335999999999997,d,2016-05-08 17:00:00,0,1,0,1,0.08858900000000003,11.058823529411764,14.23076923076923
37,a,1.35357,2.55677,1.35357,2.55677,6,11,2,1,0.5740000000000001,w,2016-05-15 20:00:00,1,0,0,3,-1.2032000000000003,8.37037037037037,8.153846153846153
