,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.375662,1.54404,0.375662,1.54404,3,3,1,2,0.43629999999999997,l,2015-08-22 22:45:00,0,0,1,0,-1.1683780000000001,18.333333333333332,7.967741935483871
1,h,0.153057,0.760634,0.153057,0.760634,3,1,0,1,0.5722,l,2015-08-29 20:00:00,0,0,1,0,-0.607577,10.25925925925926,6.0
2,a,0.262969,1.29105,0.262969,1.29105,3,3,0,2,0.4215,l,2015-09-14 22:45:00,0,0,1,0,-1.028081,13.375,10.227272727272727
3,h,1.20228,1.47246,1.20228,1.47246,3,7,1,0,1.1199,w,2015-09-20 17:00:00,1,0,0,3,-0.2701800000000001,6.314285714285714,6.206896551724138
4,a,0.311562,1.64826,0.311562,1.64826,2,10,0,2,0.3358,l,2015-09-23 22:45:00,0,0,1,0,-1.3366980000000002,23.055555555555557,4.588235294117647
5,h,1.61378,1.75506,1.61378,1.75506,11,7,1,2,1.2349,l,2015-09-27 17:00:00,0,0,1,0,-0.14128000000000007,5.894736842105263,7.333333333333333
6,a,0.139356,3.4019,0.139356,2.6406,0,6,1,3,0.0206,l,2015-10-04 20:00:00,0,0,1,0,-2.5012440000000002,17.48148148148148,10.789473684210526
7,h,1.7239,1.66538,1.7239,1.66538,12,3,0,1,1.4065,l,2015-10-18 14:30:00,0,0,1,0,0.058519999999999905,6.2368421052631575,18.375
8,a,1.96954,0.820122,1.96954,0.820122,1,1,2,1,2.3432999999999997,w,2015-10-24 20:00:00,1,0,0,3,1.149418,10.4,16.526315789473685
9,h,0.662582,1.26761,0.662582,1.26761,5,5,0,1,0.7709,l,2015-10-27 23:45:00,0,0,1,0,-0.6050279999999999,13.035714285714286,10.590909090909092
10,h,1.37773,1.25378,1.37773,1.25378,5,4,3,0,1.4514,w,2015-11-01 18:00:00,1,0,0,3,0.12395,10.307692307692308,6.0
