,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,2.67392,1.40755,1.91262,0.646247,2,2,2,5,2.2500999999999998,l,2015-08-23 22:45:00,0,0,1,0,1.266373,18.6,7.615384615384615
1,h,0.866071,3.03344,0.866071,2.27214,3,5,1,2,0.1261,l,2015-08-30 22:45:00,0,0,1,0,-1.4060689999999998,13.807692307692308,4.705882352941177
2,a,0.912214,1.31893,0.912214,1.31893,6,8,2,2,0.9543,d,2015-09-13 17:00:00,0,1,0,1,-0.40671599999999997,10.80952380952381,4.310344827586207
3,h,1.49722,0.418407,1.49722,0.418407,3,5,0,1,2.2910999999999997,l,2015-09-20 20:00:00,0,0,1,0,1.078813,9.1,7.043478260869565
4,h,0.362323,1.16585,0.362323,1.16585,3,7,0,0,0.6194,d,2015-09-23 22:45:00,0,1,0,1,-0.8035270000000001,43.0,4.84
5,a,1.51645,3.46661,0.602456,3.46661,9,11,1,5,0.2645,l,2015-09-26 20:00:00,0,0,1,0,-2.864154,18.2,6.37037037037037
6,h,0.880132,1.21414,0.880132,0.452838,0,13,2,1,0.9908,w,2015-10-03 20:00:00,1,0,0,3,0.427294,21.6,9.043478260869565
7,a,1.03029,2.23861,1.03029,1.47731,2,1,0,3,0.486,l,2015-10-18 17:00:00,0,0,1,0,-0.44702,16.473684210526315,5.514285714285714
8,h,0.820122,1.96954,0.820122,1.96954,1,1,1,2,0.4431,l,2015-10-24 20:00:00,0,0,1,0,-1.149418,16.526315789473685,10.4
9,a,0.640609,1.00468,0.640609,1.00468,1,3,1,2,0.9265999999999999,l,2015-10-28 23:45:00,0,0,1,0,-0.36407100000000003,5.72,4.821428571428571
10,h,1.24528,0.525153,1.24528,0.525153,5,7,0,0,2.0277000000000003,d,2015-11-01 18:00:00,0,1,0,1,0.720127,8.785714285714286,4.035714285714286
11,a,0.271335,1.37733,0.271335,1.37733,4,5,0,1,0.36819999999999997,l,2015-11-08 18:00:00,0,0,1,0,-1.105995,7.575,6.172413793103448
12,h,0.949266,0.535478,0.949266,0.535478,7,0,1,2,1.6855,l,2015-11-22 18:00:00,0,0,1,0,0.41378800000000004,5.636363636363637,7.478260869565218
13,a,2.06166,0.666263,2.06166,0.666263,9,5,2,1,2.4151,w,2015-11-29 18:00:00,1,0,0,3,1.3953969999999998,3.8863636363636362,5.222222222222222
14,h,0.413865,0.859272,0.413865,0.859272,3,3,0,0,0.8867,d,2015-12-06 23:45:00,0,1,0,1,-0.44540700000000005,7.333333333333333,3.5161290322580645
15,a,1.39607,1.76158,1.39607,1.76158,1,5,0,3,1.0804,l,2015-12-13 18:00:00,0,0,1,0,-0.36551,15.290322580645162,6.56
16,h,1.00082,1.66604,1.00082,1.66604,4,2,2,3,0.7692,l,2015-12-20 15:30:00,0,0,1,0,-0.6652199999999999,11.085714285714285,5.7407407407407405
17,a,0.194449,0.445881,0.194449,0.445881,2,1,0,0,0.9239999999999999,d,2016-01-06 18:00:00,0,1,0,1,-0.251432,8.375,4.517241379310345
18,h,1.49909,0.326424,1.49909,0.326424,4,1,2,1,2.3783,w,2016-01-09 18:00:00,1,0,0,3,1.172666,8.342857142857143,9.058823529411764
19,h,1.3392,2.30542,0.577901,2.30542,3,9,2,1,0.6418,w,2016-01-17 18:00:00,1,0,0,3,-1.7275189999999998,10.033333333333333,4.586206896551724
20,a,0.685858,2.22439,0.685858,2.22439,3,11,1,1,0.3582,d,2016-01-24 18:00:00,0,1,0,1,-1.538532,8.85,6.0
21,h,1.18567,0.981895,0.424374,0.981895,7,4,1,1,1.5269000000000001,d,2016-01-30 18:00:00,0,1,0,1,-0.5575209999999999,4.674418604651163,7.434782608695652
22,a,0.959221,0.630181,0.959221,0.630181,2,4,1,2,1.6932,l,2016-02-03 23:45:00,0,0,1,0,0.32904,7.589743589743589,6.631578947368421
23,a,0.0810378,2.27124,0.0810378,1.50994,0,13,0,1,0.0702,l,2016-02-07 18:00:00,0,0,1,0,-1.4289022,18.65,4.166666666666667
24,h,0.873983,2.28532,0.873983,2.28532,1,14,1,3,0.3763,l,2016-02-12 23:45:00,0,0,1,0,-1.411337,13.379310344827585,5.333333333333333
25,a,0.299053,1.23939,0.299053,0.478093,3,6,0,0,0.40449999999999997,d,2016-02-21 18:00:00,0,1,0,1,-0.17903999999999998,7.870967741935484,6.0
26,h,1.43845,0.947109,0.677153,0.947109,2,2,1,1,1.8005,d,2016-02-28 18:00:00,0,1,0,1,-0.269956,7.958333333333333,3.814814814814815
27,a,0.285025,1.16209,0.285025,1.16209,3,5,0,0,0.544,d,2016-03-06 18:00:00,0,1,0,1,-0.8770650000000001,14.0,3.097560975609756
28,h,1.78367,1.27464,1.02241,1.27464,3,4,2,1,1.8094000000000001,w,2016-03-13 18:00:00,1,0,0,3,-0.25222999999999995,6.59375,6.826086956521739
29,a,1.2492,0.68967,1.2492,0.68967,5,5,2,1,1.8618999999999997,w,2016-03-20 18:00:00,1,0,0,3,0.5595300000000001,9.266666666666667,3.935483870967742
30,h,1.39986,1.80569,1.39986,1.80569,2,8,1,3,1.0681,l,2016-04-02 20:00:00,0,0,1,0,-0.4058299999999999,11.357142857142858,9.55
31,a,0.721378,1.22666,0.721378,1.22666,5,12,0,1,0.917,l,2016-04-09 20:00:00,0,0,1,0,-0.5052820000000001,14.714285714285714,5.541666666666667
32,h,3.16479,1.37647,3.16479,1.37647,10,12,4,1,2.4364,w,2016-04-16 20:00:00,1,0,0,3,1.78832,5.294117647058823,7.782608695652174
33,a,0.26311,1.03038,0.26311,1.03038,2,13,0,0,0.6034999999999999,d,2016-04-21 22:45:00,0,1,0,1,-0.7672700000000001,12.733333333333333,2.25
34,h,1.70068,0.696372,1.70068,0.696372,6,3,1,0,2.1859,w,2016-04-25 21:00:00,1,0,0,3,1.004308,6.866666666666666,8.818181818181818
35,a,0.507266,0.97521,0.507266,0.97521,5,10,0,2,0.911,l,2016-05-01 14:30:00,0,0,1,0,-0.467944,14.192307692307692,4.92
36,h,3.44148,1.98265,1.91888,1.98265,13,10,1,3,2.326,l,2016-05-08 17:00:00,0,0,1,0,-0.0637700000000001,4.127659574468085,7.137931034482759
37,a,1.76289,1.29064,1.00159,0.529344,7,7,2,1,1.7709,w,2016-05-15 22:45:00,1,0,0,3,0.47224599999999994,8.758620689655173,16.714285714285715
