,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.82451,0.867178,1.82451,0.867178,13,1,0,1,2.0730999999999997,l,2015-08-23 20:00:00,0,0,1,0,0.9573320000000001,4.066666666666666,9.0
1,a,0.973945,0.970721,0.973945,0.970721,5,3,1,2,1.3939000000000001,l,2015-08-30 20:00:00,0,0,1,0,0.0032240000000000046,11.884615384615385,6.862068965517241
2,h,2.74683,0.635511,1.98553,0.635511,10,2,1,1,2.7472000000000003,d,2015-09-12 22:45:00,0,1,0,1,1.350019,3.2058823529411766,12.851851851851851
3,a,2.17908,0.382614,1.41778,0.382614,3,5,2,0,2.735,w,2015-09-20 17:00:00,1,0,0,3,1.035166,8.6,7.666666666666667
4,h,1.99042,0.512593,1.99042,0.512593,17,2,1,1,2.3992,d,2015-09-23 22:45:00,0,1,0,1,1.477827,4.769230769230769,12.304347826086957
5,a,0.679724,0.704583,0.679724,0.704583,5,3,1,2,1.2696999999999998,l,2015-09-26 22:45:00,0,0,1,0,-0.024858999999999964,11.36,6.8
6,h,3.4019,0.139356,2.6406,0.139356,6,0,3,1,2.963,w,2015-10-04 20:00:00,1,0,0,3,2.5012440000000002,10.789473684210526,17.48148148148148
7,a,0.900473,0.360147,0.900473,0.360147,5,3,0,0,1.8879000000000001,d,2015-10-18 22:45:00,0,1,0,1,0.540326,15.875,10.11111111111111
8,h,3.13825,0.112853,2.37696,0.112853,12,1,2,0,2.9644999999999997,w,2015-10-25 18:00:00,1,0,0,3,2.264107,7.041666666666667,16.321428571428573
9,a,0.552665,0.326576,0.552665,0.326576,6,2,0,1,1.5057,l,2015-10-28 23:45:00,0,0,1,0,0.22608899999999998,3.918918918918919,7.852941176470588
10,h,1.47178,0.753835,1.47178,0.753835,9,6,2,1,1.9914999999999998,w,2015-10-31 21:00:00,1,0,0,3,0.717945,10.0,18.36842105263158
11,a,2.15262,0.478585,2.15262,0.478585,4,2,3,1,2.6772000000000005,w,2015-11-08 18:00:00,1,0,0,3,1.6740350000000002,7.166666666666667,11.6
12,h,1.00993,0.579847,1.00993,0.579847,6,2,1,0,1.714,w,2015-11-21 23:45:00,1,0,0,3,0.430083,6.2368421052631575,10.88
13,a,1.60298,0.458932,1.60298,0.458932,4,4,3,0,2.2898,w,2015-11-29 23:45:00,1,0,0,3,1.1440480000000002,6.625,11.484848484848484
