,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.912546,1.52666,0.912546,1.52666,3,9,1,3,0.9004000000000001,0,0,1,0,-0.6141139999999999,14.15,3.027027027027027
1,2.6762259999999998,4.4517999999999995,2.6762259999999998,3.6905,12,19,3,5,1.5605000000000002,0,1,1,1,-1.014274,10.603571428571428,9.513513513513514
2,3.5922409999999996,6.20686,3.5922409999999996,5.44556,15,24,4,7,2.2478000000000002,0,1,2,1,-1.853319,11.002380952380951,10.355675675675675
3,4.630901,7.22701,4.630901,5.704411,18,28,7,7,3.5086000000000004,1,1,2,4,-1.07351,10.791785714285712,9.149569256756756
4,4.7021191,10.46032,4.7021191,8.937721,19,37,7,11,3.5339000000000005,1,1,3,4,-4.2356019,11.906155844155842,8.67521096096096
5,6.0377491,11.591069999999998,6.0377491,10.068470999999999,23,41,9,12,5.0808,2,1,3,7,-4.0307219,10.926070041070039,7.871009134134134
6,6.6244881,12.845399999999998,6.6244881,11.322800999999998,25,44,11,13,5.8690999999999995,3,1,3,10,-4.6983128999999995,10.630509014794727,8.114711125961126
7,8.0823881,15.461549999999999,8.0823881,13.177651,26,54,13,14,6.414599999999999,4,1,3,13,-5.0952629,11.033838245088244,8.137872235215985
8,9.3826281,17.68159,9.3826281,15.397690999999998,29,61,16,19,7.1511,4,1,4,13,-6.0150629,11.404564036786258,8.525330875747542
9,10.6629981,21.09438,9.9016961,18.049221,35,71,17,23,7.411499999999999,4,1,5,13,-8.1475249,12.064107633107632,8.809639893435946
10,11.3354351,21.795582,10.574133100000001,18.750422999999998,40,75,19,24,8.7026,5,1,5,16,-8.1762899,11.599405207587024,8.626187781911467
11,11.8027451,24.637262,11.0414431,20.830802999999996,41,77,20,29,8.825800000000001,5,1,6,16,-9.789359900000001,12.960565884732551,8.541177183923894
12,12.122293099999998,25.844222,11.3609911,22.037762999999995,49,85,20,30,9.364600000000001,5,1,7,16,-10.6767719,12.548680863296246,8.469962370959335
13,14.177523099999998,26.764595,12.6549211,22.958135999999996,56,90,22,31,11.680600000000002,6,1,7,19,-10.3032149,12.245942575031242,8.341923584093575
14,14.528317099999999,28.197245,13.0057151,24.390785999999995,57,102,23,32,12.139400000000002,6,2,7,20,-11.3850709,12.159705133521223,8.15246201182067
15,14.7435911,32.019175,13.2209891,28.212715999999993,59,113,23,37,12.161900000000003,6,2,8,20,-14.9917269,12.812223562676147,8.23668313608188
16,16.1783811,32.803771,13.8849231,28.997311999999994,65,116,23,39,14.149800000000003,6,2,9,20,-15.1123889,12.468227218653182,8.255632570983638
17,18.3612011,34.232481,16.0677431,29.664725999999995,76,118,27,42,16.1899,7,2,9,23,-13.596982899999999,12.246136164022122,8.57939372444751
18,18.7384801,35.806051,16.445022100000003,31.238295999999995,79,123,27,43,16.634300000000003,7,2,10,23,-14.793273899999999,12.446803920095261,8.441068765907909
19,21.4743201,36.923311,18.419562100000004,32.35555599999999,83,129,31,44,19.097300000000004,8,2,10,26,-13.9359939,12.62779705742383,8.38625670692286
20,21.8432251,39.031090999999996,18.788467100000005,34.46333599999999,88,136,31,45,19.323700000000006,8,2,11,26,-15.6748689,12.576076562625872,8.420977083516275
21,22.774532100000002,40.074850999999995,19.719774100000006,35.50709599999999,93,142,32,46,20.497300000000006,8,3,11,27,-15.7873219,12.396998702341223,8.533154892851394
22,22.9187261,41.830890999999994,19.863968100000005,37.26313599999999,96,145,32,48,20.683300000000006,8,3,12,27,-17.399167900000002,12.222448886638409,8.417296899798359
23,23.3639411,43.51337099999999,20.309183100000006,38.94561599999999,99,149,32,50,21.113500000000005,8,3,13,27,-18.636432900000003,12.245124627472919,8.368659528973428
24,24.215420100000003,44.649840999999995,21.160662100000007,40.08208599999999,105,156,33,51,22.177200000000006,8,4,13,28,-18.921423900000004,12.12053703367835,8.179056004957348
25,25.0297191,45.722300999999995,21.974961100000005,41.15454599999999,107,160,35,52,23.281400000000005,9,4,13,31,-19.179584900000005,12.2261574041779,8.193002568869245
26,25.9827611,48.016470999999996,22.928003100000005,42.68742599999999,111,173,36,57,23.759000000000004,9,4,14,31,-19.759422900000004,12.27245492536355,8.107948833879195
27,27.8572411,50.172290999999994,24.802483100000003,44.843245999999986,116,180,36,58,24.950000000000003,9,4,15,31,-20.040762900000004,12.598438678029138,8.088022089812082
28,27.9962351,51.05826,24.941477100000004,45.72921499999999,120,189,36,58,25.492600000000003,9,5,15,32,-20.787737900000003,12.459412056947674,8.03623535901
29,29.5887851,52.53346,26.534027100000003,47.20441499999999,126,195,39,59,26.914500000000004,10,5,15,35,-20.670387900000005,12.322303449921213,8.022681834697321
30,31.1190151,54.34607,27.303002100000004,49.01702499999999,130,203,41,62,28.061700000000002,10,5,16,35,-21.714022900000003,12.174003338633433,8.003516982886808
31,33.9698151,55.741229999999995,30.153802100000004,50.41218499999999,138,212,45,62,30.392500000000002,11,5,16,38,-20.258382900000004,12.057454623190027,8.194196550855805
32,35.0576551,58.331979999999994,31.241642100000004,52.18011499999999,143,218,46,64,30.779100000000003,11,5,17,38,-20.938472900000004,12.020625854704207,8.344675443254115
33,36.4487751,59.456019999999995,31.871466100000003,53.30415499999999,151,231,47,64,32.3915,12,5,17,41,-21.432688900000006,11.867267788768883,8.371539827750436
34,37.0366461,62.15335999999999,32.459337100000006,56.001494999999984,153,240,48,67,32.624,12,5,18,41,-23.542157900000007,12.847683514284578,8.41806726124328
35,39.5814361,63.919349999999994,35.004127100000005,57.00618499999999,165,245,51,69,34.573,13,5,18,44,-22.002057900000008,12.79273578381532,8.380178005488025
36,40.0881701,65.87279,35.51086110000001,58.19832499999999,172,258,53,75,34.8784,13,5,19,44,-22.687463900000008,12.677181880990862,8.315098119453813
37,42.4249501,68.31559,37.847641100000004,59.11852399999999,177,267,55,76,36.1688,14,5,19,47,-21.270882900000007,12.713377925673926,8.242377751519005
