,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.778083,1.01715,0.778083,1.01715,4,4,2,0,1.1109,w,2016-08-21 22:45:00,1,0,0,3,-0.23906700000000003,11.17142857142857,6.68
1,a,0.795506,0.763552,0.795506,0.763552,10,4,0,1,1.4087999999999998,l,2016-08-28 22:45:00,0,0,1,0,0.03195400000000004,14.916666666666666,11.5
2,h,2.00749,0.74614,2.00749,0.74614,2,3,1,1,2.3567000000000005,d,2016-09-11 17:00:00,0,1,0,1,1.2613500000000002,10.24,16.88888888888889
3,a,2.50145,0.753743,2.50145,0.753743,10,3,2,1,2.5793999999999997,w,2016-09-18 14:30:00,1,0,0,3,1.7477070000000001,5.074074074074074,10.777777777777779
4,h,0.195009,0.435427,0.195009,0.435427,4,1,2,1,0.9057999999999999,w,2016-09-21 22:45:00,1,0,0,3,-0.24041800000000002,11.35,8.772727272727273
5,a,0.41855,0.644091,0.41855,0.644091,4,12,0,2,1.0589,l,2016-09-24 22:45:00,0,0,1,0,-0.225541,16.666666666666668,16.272727272727273
6,a,1.81437,0.518031,1.81437,0.518031,6,4,2,0,2.3819,w,2016-10-01 20:00:00,1,0,0,3,1.2963390000000001,11.275862068965518,13.052631578947368
7,h,0.253892,1.59791,0.253892,1.59791,7,1,1,3,0.2679,l,2016-10-16 22:45:00,0,0,1,0,-1.344018,17.470588235294116,10.15
8,a,1.014,0.445783,1.014,0.445783,3,2,0,0,1.8919,d,2016-10-23 17:00:00,0,1,0,1,0.568217,5.846153846153846,6.21875
9,h,1.00976,0.201128,1.00976,0.201128,8,2,1,1,2.1605,d,2016-10-26 22:45:00,0,1,0,1,0.808632,8.321428571428571,10.25
10,a,0.659158,1.72351,0.659158,0.962214,6,1,0,2,0.48109999999999997,l,2016-10-30 18:00:00,0,0,1,0,-0.303056,4.56,13.791666666666666
11,h,1.10586,2.13748,0.344563,2.13748,3,3,1,2,0.6486,l,2016-11-06 18:00:00,0,0,1,0,-1.792917,15.285714285714286,7.869565217391305
12,h,1.20696,0.319548,1.20696,0.319548,8,8,1,0,2.1756,w,2016-11-19 18:00:00,1,0,0,3,0.8874120000000001,7.615384615384615,7.606060606060606
13,a,0.902262,1.0585,0.902262,1.0585,6,9,1,2,1.2118,l,2016-11-26 21:00:00,0,0,1,0,-0.156238,11.95,10.481481481481481
14,h,1.0191,0.493735,0.257805,0.493735,1,5,0,0,1.9768,d,2016-12-05 22:00:00,0,1,0,1,-0.23592999999999997,9.454545454545455,7.814814814814815
15,a,1.10723,0.695367,1.10723,0.695367,4,3,2,0,1.7312999999999998,w,2016-12-11 18:00:00,1,0,0,3,0.411863,13.619047619047619,8.227272727272727
16,h,2.6292,0.800999,1.8679,0.800999,3,9,2,1,2.5989,w,2016-12-18 18:00:00,1,0,0,3,1.0669009999999999,17.333333333333332,5.333333333333333
17,a,0.786071,3.16305,0.786071,2.40175,0,13,1,3,0.1488,l,2016-12-22 19:45:00,0,0,1,0,-1.6156789999999999,21.428571428571427,5.433333333333334
18,h,0.758192,4.06123,0.758192,4.06123,1,13,1,4,0.0499,l,2017-01-08 18:00:00,0,0,1,0,-3.303038,11.583333333333334,19.3125
