,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.778083,1.01715,0.778083,1.01715,4,4,2,0,1.1109,1,0,0,3,-0.23906700000000003,11.17142857142857,6.68
1,1.5735890000000001,1.780702,1.5735890000000001,1.780702,14,8,2,1,2.5197,1,0,1,3,-0.207113,13.044047619047618,9.09
2,3.5810790000000003,2.5268420000000003,3.5810790000000003,2.5268420000000003,16,11,3,2,4.8764,1,1,1,4,1.054237,12.109365079365078,11.68962962962963
3,6.082529000000001,3.2805850000000003,6.082529000000001,3.2805850000000003,26,14,5,3,7.4558,2,1,1,7,2.801944,10.350542328042328,11.461666666666668
4,6.277538000000001,3.716012,6.277538000000001,3.716012,30,15,7,4,8.3616,3,1,1,10,2.561526,10.550433862433863,10.923878787878788
5,6.6960880000000005,4.3601030000000005,6.6960880000000005,4.3601030000000005,34,27,7,6,9.420499999999999,3,1,2,10,2.335985,11.569805996472665,11.815353535353537
6,8.510458,4.878134,8.510458,4.878134,40,31,9,6,11.802399999999999,4,1,2,13,3.632324,11.527814006828788,11.992107541581229
7,8.76435,6.476044,8.76435,6.476044,47,32,10,9,12.0703,4,1,3,13,2.2883060000000004,12.270660785386953,11.761844098883575
8,9.77835,6.9218269999999995,9.77835,6.9218269999999995,50,34,10,9,13.9622,4,2,3,14,2.856523,11.556826681027719,11.145944754563178
9,10.78811,7.122954999999999,10.78811,7.122954999999999,58,36,11,10,16.1227,4,3,3,15,3.6651550000000004,11.233286870067804,11.05635027910686
10,11.447268,8.846464999999998,11.447268,8.085168999999999,64,37,11,12,16.6038,4,3,4,15,3.3620990000000006,10.626624427334367,11.30501540524866
11,12.553128,10.983944999999999,11.791831,10.222648999999999,67,40,12,14,17.252399999999998,4,3,5,15,1.5691820000000005,11.014881915532692,11.018727889593881
12,13.760088,11.303492999999998,12.998791,10.542196999999998,75,48,13,14,19.427999999999997,5,3,5,18,2.456594000000001,10.75338212321361,10.756215021629782
13,14.66235,12.361992999999998,13.901053000000001,11.600696999999998,81,57,14,16,20.639799999999997,5,3,6,18,2.3003560000000007,10.83885482869835,10.736591197333476
14,15.68145,12.855727999999997,14.158858,12.094431999999998,82,62,14,16,22.6166,5,4,6,19,2.064426000000001,10.74656753708816,10.541806105165564
15,16.78868,13.551094999999997,15.266088,12.789798999999997,86,65,16,16,24.3479,6,4,6,22,2.476289000000001,10.926097542210625,10.397147769047262
16,19.41788,14.352093999999997,17.133988,13.590797999999996,89,74,18,17,26.9468,7,4,6,25,3.543190000000001,11.302993765217844,10.099276331652325
17,20.203951,17.515144,17.920059,15.992547999999996,89,87,19,20,27.0956,7,4,7,25,1.927511000000001,11.865525857626375,9.840057276190159
18,20.962143,21.576374,18.678251,20.053777999999994,90,100,20,24,27.145500000000002,7,4,8,25,-1.3755269999999988,11.85067361950569,10.338606893232782
19,21.301987,24.534194,19.018095,23.011597999999992,92,115,21,27,27.2447,7,4,9,25,-3.9935029999999987,12.025786997353935,10.055009881904477
20,22.839707,25.839603999999998,20.555815,23.555708999999993,102,118,21,30,28.773500000000002,7,4,10,25,-2.9998939999999985,11.867151637691578,10.100009411337597
21,23.480888,27.924643999999997,21.196996,25.640748999999992,104,132,22,30,29.218200000000003,8,4,10,28,-4.443752999999998,12.240073316497806,9.907817841358382
22,23.686108,28.748552999999998,21.402216,26.464657999999993,105,134,22,30,29.843400000000003,8,5,10,29,-5.062441999999998,11.965421299392549,9.96674566976614
23,26.522378,30.757272999999998,23.477186,28.473377999999993,109,137,25,31,31.811500000000002,9,5,10,32,-4.996191999999998,11.890107692619614,10.386990915982025
24,27.480349,32.031303,24.435157,29.747407999999993,114,145,26,34,32.8827,9,5,11,32,-5.312250999999998,12.155303384914827,10.256511279342744
25,29.734199,32.77705,26.689007,30.493154999999994,122,152,28,34,35.3232,10,5,11,35,-3.8041479999999983,12.077651856124398,10.447050319206081
26,31.281519,37.34514,27.475028000000002,33.538644999999995,122,164,29,37,35.4068,10,5,12,35,-6.063616999999999,12.057800552811148,10.398746868230194
27,33.656459,37.872106,29.849968,34.065611,125,169,33,37,38.1765,11,5,12,38,-4.215642999999999,12.031926723544084,10.388474162618797
28,34.840419,40.676936000000005,31.033928,36.870441,127,178,34,41,38.6008,11,5,13,38,-5.836512999999999,11.97283207163504,10.379057281679689
29,35.863158999999996,41.492594000000004,32.056668,37.686099,128,182,35,43,40.1189,11,5,14,38,-5.629430999999999,12.064646760156297,10.529579933693874
30,36.311187,43.566984000000005,32.504696,39.760489,128,196,35,45,40.408199999999994,11,5,15,38,-7.255793,12.231532194928521,10.597980580994072
31,37.706346999999994,46.417784000000005,33.899856,42.611289,137,204,35,49,40.91289999999999,11,5,16,38,-8.711433,12.290086287521214,10.530682576726896
32,38.68102999999999,47.644694,34.874539,43.838198999999996,143,217,36,52,42.080499999999994,11,5,17,38,-8.963659999999999,12.318485876604594,10.468425240347004
33,39.07272299999999,49.133304,35.266231999999995,44.565506,143,225,38,53,42.48609999999999,12,5,17,41,-9.299273999999999,12.39000099788093,10.343536916284512
34,39.94765199999999,50.399964000000004,35.379861999999996,45.832166,147,227,39,54,43.452999999999996,12,6,17,42,-10.452303999999998,12.266953350322426,10.39315014724781
35,40.16577899999999,51.528284000000006,35.597989,46.960486,150,234,40,55,43.9002,12,7,17,43,-11.362496999999998,12.36333914907078,10.247844925439876
36,42.013389,53.563174000000004,37.445599,48.995376,155,243,43,60,45.1396,12,7,18,43,-11.549776999999997,12.75476657331627,10.264312437107524
37,42.739706,55.00594400000001,38.171916,50.438146,160,252,43,61,45.8835,12,7,19,43,-12.266229999999997,12.937535874018472,10.170138801544544
