,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.38438,1.73535,0.38438,1.73535,3,9,0,1,0.3808,l,2016-08-21 22:45:00,0,0,1,0,-1.35097,9.185185185185185,12.166666666666666
1,h,1.02444,2.39624,1.02444,2.39624,1,7,1,3,0.4246,l,2016-08-28 22:45:00,0,0,1,0,-1.3718000000000001,9.625,6.846153846153846
2,a,0.521587,0.636904,0.521587,0.636904,4,2,1,2,1.1921,l,2016-09-12 22:45:00,0,0,1,0,-0.115317,10.583333333333334,7.03125
3,h,1.13821,0.612635,1.13821,0.612635,2,6,1,1,1.8442,d,2016-09-18 17:00:00,0,1,0,1,0.5255749999999999,12.515151515151516,3.3823529411764706
4,a,1.20964,2.21659,0.448467,2.21659,4,6,0,4,0.6764,l,2016-09-21 22:45:00,0,0,1,0,-1.7681230000000001,29.625,4.777777777777778
5,h,0.659193,2.1441,0.659193,2.1441,5,4,1,3,0.3156,l,2016-09-26 21:00:00,0,0,1,0,-1.4849069999999998,8.466666666666667,13.9
6,a,1.25433,0.586739,1.25433,0.586739,3,2,1,2,1.9226,l,2016-10-02 17:00:00,0,0,1,0,0.6675909999999999,9.576923076923077,8.857142857142858
7,a,0.634162,2.05142,0.634162,2.05142,1,15,1,2,0.3994,l,2016-10-16 17:00:00,0,0,1,0,-1.417258,11.73076923076923,6.296296296296297
8,h,1.78468,2.32041,1.78468,2.32041,6,5,1,2,0.9520000000000001,l,2016-10-23 17:00:00,0,0,1,0,-0.5357299999999998,9.129032258064516,8.23076923076923
9,a,0.725924,1.41393,0.725924,1.41393,3,3,1,1,0.7639,d,2016-10-26 22:45:00,0,1,0,1,-0.6880059999999999,16.95,4.086956521739131
10,h,1.72351,0.659158,0.962214,0.659158,1,6,2,0,2.3144,w,2016-10-30 18:00:00,1,0,0,3,0.303056,13.791666666666666,4.56
11,a,0.248518,2.49682,0.248518,1.73552,1,4,0,3,0.0987,l,2016-11-06 21:00:00,0,0,1,0,-1.487002,30.545454545454547,2.878787878787879
12,h,1.36886,1.0138,1.36886,1.0138,3,2,0,2,1.6280000000000001,l,2016-11-20 18:00:00,0,0,1,0,0.35505999999999993,24.928571428571427,7.0588235294117645
13,h,0.573257,1.42112,0.573257,1.42112,7,3,1,1,0.593,d,2016-11-27 18:00:00,0,1,0,1,-0.8478629999999999,14.16,6.631578947368421
14,a,0.765682,1.58497,0.765682,0.823796,4,7,1,2,0.6012,l,2016-12-04 15:30:00,0,0,1,0,-0.058114,12.608695652173912,3.066666666666667
15,h,1.27078,1.0284,0.509481,0.267102,1,5,2,1,1.5231,w,2016-12-10 21:00:00,1,0,0,3,0.24237899999999996,15.782608695652174,4.086956521739131
16,a,1.00404,2.19719,1.00404,2.19719,7,5,0,2,0.5849,l,2016-12-18 18:00:00,0,0,1,0,-1.19315,8.454545454545455,7.9
17,a,0.484413,2.08654,0.484413,1.32524,3,8,0,1,0.2439,l,2017-01-08 18:00:00,0,0,1,0,-0.840827,18.105263157894736,3.9310344827586206
18,h,0.977165,1.04914,0.977165,1.04914,8,9,0,1,1.2842,l,2017-01-14 21:00:00,0,0,1,0,-0.07197500000000001,10.217391304347826,15.416666666666666
19,a,1.55254,2.48976,1.55254,1.7285,1,6,2,2,0.6475000000000001,d,2017-01-22 17:00:00,0,1,0,1,-0.1759599999999999,12.545454545454545,5.076923076923077
20,h,2.47879,0.208541,1.71749,0.208541,7,5,4,1,2.8558999999999997,w,2017-01-29 14:00:00,1,0,0,3,1.5089489999999999,10.612903225806452,7.5
21,a,0.384211,0.765782,0.384211,0.765782,3,4,0,1,0.8871,l,2017-02-05 17:00:00,0,0,1,0,-0.38157099999999994,8.882352941176471,6.95
22,h,0.124749,1.84465,0.124749,1.84465,0,14,0,2,0.17409999999999998,l,2017-02-08 20:00:00,0,0,1,0,-1.719901,25.454545454545453,4.894736842105263
23,h,0.45353,2.34892,0.45353,1.58762,2,12,0,2,0.196,l,2017-02-12 11:30:00,0,0,1,0,-1.13409,16.055555555555557,3.6774193548387095
24,a,0.178478,1.87331,0.178478,1.87331,3,3,0,1,0.1974,l,2017-02-18 17:00:00,0,0,1,0,-1.6948320000000001,7.538461538461538,7.130434782608695
25,h,1.07246,0.814299,1.07246,0.814299,4,2,1,2,1.5572,l,2017-02-26 14:00:00,0,0,1,0,0.258161,8.541666666666666,14.866666666666667
26,h,1.25058,0.848716,1.25058,0.848716,5,4,0,0,1.6832,d,2017-03-05 14:00:00,0,1,0,1,0.401864,6.518518518518518,4.48
27,a,0.247221,3.48367,0.247221,1.96107,1,12,0,3,0.0317,l,2017-03-12 14:00:00,0,0,1,0,-1.7138490000000002,46.30769230769231,3.8518518518518516
28,h,0.747159,2.82105,0.747159,2.82105,3,12,0,1,0.2722,l,2017-03-19 14:00:00,0,0,1,0,-2.073891,13.068965517241379,4.181818181818182
29,a,0.815658,1.02274,0.815658,1.02274,4,1,2,1,1.1569,w,2017-04-02 14:00:00,1,0,0,3,-0.207082,14.894736842105264,14.727272727272727
30,h,2.01501,1.90585,1.25371,1.90585,4,5,2,1,1.4409999999999998,w,2017-04-09 14:00:00,1,0,0,3,-0.6521399999999999,13.333333333333334,4.15
31,a,0.471117,2.66452,0.471117,1.90323,2,10,1,1,0.1547,d,2017-04-15 14:00:00,0,1,0,1,-1.432113,18.6,4.25
32,a,1.47185,1.65401,1.47185,1.65401,2,5,2,1,1.2001,w,2017-04-23 14:00:00,1,0,0,3,-0.18215999999999988,14.652173913043478,11.8
33,h,0.522385,2.17357,0.522385,2.17357,6,6,1,1,0.1825,d,2017-04-30 14:00:00,0,1,0,1,-1.651185,10.307692307692308,4.12
34,a,0.468848,0.723682,0.468848,0.723682,4,3,1,0,1.0006,w,2017-05-07 14:00:00,1,0,0,3,-0.25483400000000006,10.25,6.44
35,h,0.905799,1.30692,0.905799,1.30692,8,3,1,0,0.9926999999999999,w,2017-05-14 14:00:00,1,0,0,3,-0.40112100000000006,15.0625,7.529411764705882
36,a,0.261461,1.53587,0.261461,1.53587,1,7,0,3,0.3673,l,2017-05-21 14:00:00,0,0,1,0,-1.2744090000000001,13.62962962962963,6.875
37,h,0.993998,1.09216,0.993998,0.330857,3,5,3,1,1.2005000000000001,w,2017-05-28 19:45:00,1,0,0,3,0.663141,11.52,9.105263157894736
