,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.934821,1.04646,0.934821,1.04646,2,4,0,1,1.2547000000000001,l,2016-08-21 22:45:00,0,0,1,0,-0.11163899999999993,9.777777777777779,4.968253968253968
1,a,1.18302,0.912097,1.18302,0.912097,2,3,0,2,1.5825,l,2016-08-28 22:45:00,0,0,1,0,0.2709229999999999,5.0,8.264705882352942
2,h,0.636904,0.521587,0.636904,0.521587,2,4,2,1,1.3903999999999999,w,2016-09-12 22:45:00,1,0,0,3,0.115317,7.03125,10.583333333333334
3,a,0.184549,0.718392,0.184549,0.718392,4,5,0,0,0.6757,d,2016-09-18 17:00:00,0,1,0,1,-0.5338430000000001,10.35,7.410256410256411
4,h,0.437207,1.89478,0.437207,1.89478,4,5,0,2,0.3306,l,2016-09-21 22:45:00,0,0,1,0,-1.457573,9.576923076923077,10.793103448275861
5,a,1.03563,1.91368,1.03563,1.91368,5,13,0,2,0.7148,l,2016-09-25 17:00:00,0,0,1,0,-0.87805,9.2,9.066666666666666
6,h,0.310516,4.15533,0.310516,4.15533,2,6,0,3,0.0146,l,2016-10-02 14:30:00,0,0,1,0,-3.8448140000000004,8.777777777777779,4.875
7,a,0.0947143,0.287766,0.0947143,0.287766,6,7,0,0,0.8995,d,2016-10-16 17:00:00,0,1,0,1,-0.19305170000000002,6.758620689655173,11.777777777777779
8,h,0.445783,1.014,0.445783,1.014,2,3,0,0,0.7707999999999999,d,2016-10-23 17:00:00,0,1,0,1,-0.568217,6.21875,5.846153846153846
9,a,0.29497,3.89995,0.29497,3.89995,5,7,0,2,0.0161,l,2016-10-26 22:45:00,0,0,1,0,-3.60498,25.071428571428573,5.891891891891892
10,h,0.326558,1.44104,0.326558,1.44104,4,15,0,0,0.4716,d,2016-10-30 18:00:00,0,1,0,1,-1.1144820000000002,10.5,5.166666666666667
11,a,2.50908,2.53565,2.50908,2.53565,9,13,4,0,1.3751,w,2016-11-06 15:30:00,1,0,0,3,-0.026569999999999983,10.64,6.333333333333333
12,h,0.773104,3.89131,0.773104,3.13001,8,4,0,4,0.07819999999999999,l,2016-11-20 18:00:00,0,0,1,0,-2.356906,9.84375,11.791666666666666
13,h,1.52699,0.781264,1.52699,0.781264,11,7,1,4,1.9837000000000002,l,2016-11-26 23:45:00,0,0,1,0,0.7457260000000001,14.586206896551724,10.666666666666666
14,a,1.20881,2.75094,1.20881,1.22834,13,4,0,3,0.3268,l,2016-12-04 18:00:00,0,0,1,0,-0.019530000000000047,6.206896551724138,8.405405405405405
15,a,0.0997513,1.3582,0.0997513,1.3582,0,5,0,0,0.31479999999999997,d,2016-12-11 18:00:00,0,1,0,1,-1.2584487,10.227272727272727,5.413043478260869
16,h,0.784596,1.43479,0.784596,0.663934,3,6,2,0,0.7012,w,2016-12-17 18:00:00,1,0,0,3,0.12066199999999994,8.558823529411764,6.964285714285714
17,a,0.108162,3.38037,0.108162,3.38037,1,13,1,2,0.0242,l,2016-12-20 23:45:00,0,0,1,0,-3.272208,19.125,4.918918918918919
18,h,0.901728,0.516544,0.140509,0.516544,1,10,1,0,1.8437,w,2017-01-07 21:00:00,1,0,0,3,-0.376035,9.863636363636363,8.53125
19,a,1.32527,1.14331,0.478457,1.14331,5,6,0,0,1.5192,d,2017-01-15 18:00:00,0,1,0,1,-0.664853,9.4,6.296296296296297
20,h,0.315683,0.938473,0.315683,0.938473,3,6,1,0,0.6641,w,2017-01-22 17:00:00,1,0,0,3,-0.62279,10.0,7.722222222222222
21,a,0.208541,2.47879,0.208541,1.71749,5,7,1,4,0.0833,l,2017-01-29 14:00:00,0,0,1,0,-1.5089489999999999,7.5,10.612903225806452
22,h,1.95329,1.93049,1.95329,1.16919,3,3,1,1,1.3624,d,2017-02-05 14:00:00,0,1,0,1,0.7841,9.727272727272727,5.862068965517241
23,a,0.435897,3.08595,0.435897,3.08595,4,14,0,2,0.058399999999999994,l,2017-02-12 14:00:00,0,0,1,0,-2.6500529999999998,10.227272727272727,8.088235294117647
24,h,0.271107,1.63167,0.271107,1.63167,2,13,1,2,0.3288,l,2017-02-18 19:45:00,0,0,1,0,-1.360563,12.047619047619047,8.575757575757576
25,a,0.206008,2.36639,0.206008,2.36639,2,14,0,2,0.11679999999999999,l,2017-02-25 19:45:00,0,0,1,0,-2.160382,11.161290322580646,16.05263157894737
26,h,0.396952,0.620617,0.396952,0.620617,8,3,0,2,1.0430000000000001,l,2017-03-05 14:00:00,0,0,1,0,-0.22366499999999995,9.736842105263158,13.304347826086957
27,a,0.526966,2.37494,0.526966,2.37494,5,3,0,4,0.1411,l,2017-03-12 14:00:00,0,0,1,0,-1.847974,10.11111111111111,11.333333333333334
28,h,1.3559,2.03736,0.594602,0.504887,4,5,2,3,0.758,l,2017-03-19 11:30:00,0,0,1,0,0.08971499999999999,11.93939393939394,11.25
29,a,0.50901,1.32527,0.50901,1.32527,5,7,0,2,0.66,l,2017-04-01 19:45:00,0,0,1,0,-0.81626,17.6875,6.787878787878788
30,h,0.957,1.9265,0.957,1.9265,6,12,1,1,0.618,d,2017-04-08 14:00:00,0,1,0,1,-0.9695000000000001,4.470588235294118,11.272727272727273
31,a,2.07354,1.18615,1.31224,1.18615,4,7,2,1,2.1017,w,2017-04-15 14:00:00,1,0,0,3,0.12609000000000004,16.35,7.904761904761905
32,a,1.84101,2.44994,1.84101,1.68864,4,12,2,1,1.0082,w,2017-04-23 14:00:00,1,0,0,3,0.15237000000000012,13.142857142857142,6.076923076923077
33,h,2.32036,1.89742,1.55907,1.89742,8,4,1,3,1.6542000000000001,l,2017-04-30 14:00:00,0,0,1,0,-0.33835000000000015,5.029411764705882,11.833333333333334
34,h,2.15034,0.128693,2.15034,0.128693,7,1,3,1,2.8139,w,2017-05-07 14:00:00,1,0,0,3,2.0216469999999997,7.2272727272727275,6.9655172413793105
35,a,1.76599,2.54479,1.00469,2.54479,5,12,2,3,0.8237000000000001,l,2017-05-14 14:00:00,0,0,1,0,-1.5400999999999998,7.054054054054054,10.869565217391305
36,h,0.782484,1.28253,0.782484,1.28253,10,12,0,1,0.9007000000000001,l,2017-05-21 14:00:00,0,0,1,0,-0.500046,14.142857142857142,8.695652173913043
37,a,1.89886,1.21155,1.89886,1.21155,8,3,1,2,1.8655,l,2017-05-28 19:45:00,0,0,1,0,0.6873100000000001,5.96875,12.375
