,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.80658,1.54669,1.80658,1.54669,3,9,4,3,1.6089000000000002,w,2016-08-21 22:45:00,1,0,0,3,0.2598900000000002,14.043478260869565,11.583333333333334
1,h,0.16672,0.614088,0.16672,0.614088,0,4,0,1,0.7599,l,2016-08-27 20:00:00,0,0,1,0,-0.447368,9.228571428571428,11.137931034482758
2,a,0.74614,2.00749,0.74614,2.00749,3,2,1,1,0.4595,d,2016-09-11 17:00:00,0,1,0,1,-1.2613500000000002,16.88888888888889,10.24
3,h,3.04807,1.21293,3.04807,0.451632,12,1,3,0,2.5391,w,2016-09-17 20:00:00,1,0,0,3,2.596438,7.28,12.9
4,a,0.701969,2.62568,0.701969,1.86438,6,7,0,2,0.2442,l,2016-09-20 22:45:00,0,0,1,0,-1.162411,5.944444444444445,6.576923076923077
5,h,1.91368,1.03563,1.91368,1.03563,13,5,2,0,2.0453,w,2016-09-25 17:00:00,1,0,0,3,0.87805,9.066666666666666,9.2
6,a,1.29748,1.05481,1.29748,1.05481,12,2,3,0,1.5386,w,2016-10-01 22:45:00,1,0,0,3,0.24266999999999994,11.416666666666666,20.533333333333335
7,h,2.91842,1.04123,2.15712,1.04123,14,3,1,1,2.5626,d,2016-10-16 17:00:00,0,1,0,1,1.1158899999999998,5.53125,14.368421052631579
8,a,1.31796,1.66152,1.31796,0.900223,7,3,2,2,1.0633,d,2016-10-23 17:00:00,0,1,0,1,0.417737,10.038461538461538,8.833333333333334
9,h,3.41279,1.28037,2.65153,0.519068,10,6,4,1,2.6268,w,2016-10-26 22:45:00,1,0,0,3,2.1324620000000003,11.368421052631579,18.0
10,h,1.78915,1.2589,1.78915,1.2589,3,3,2,1,1.8394000000000001,w,2016-10-30 18:00:00,1,0,0,3,0.5302500000000001,9.0,12.136363636363637
11,a,0.414383,0.713297,0.414383,0.713297,4,8,1,1,1.0076,d,2016-11-05 23:45:00,0,1,0,1,-0.29891399999999996,16.384615384615383,8.03125
12,h,1.79807,0.644182,1.03677,0.644182,10,5,3,1,2.3249000000000004,w,2016-11-20 18:00:00,1,0,0,3,0.39258799999999994,12.705882352941176,6.75
13,a,1.51663,0.704882,1.51663,0.704882,8,2,1,0,2.0061999999999998,w,2016-11-27 15:30:00,1,0,0,3,0.8117479999999999,7.636363636363637,11.068965517241379
14,h,0.575784,0.995438,0.575784,0.995438,5,2,0,2,0.8920000000000001,l,2016-12-04 18:00:00,0,0,1,0,-0.4196540000000001,6.964285714285714,9.227272727272727
15,a,2.12265,0.524617,2.12265,0.524617,5,1,2,1,2.5462,w,2016-12-10 23:45:00,1,0,0,3,1.598033,8.722222222222221,6.620689655172414
16,h,1.83592,1.55704,1.07462,0.795738,10,4,3,1,1.5609,w,2016-12-18 23:45:00,1,0,0,3,0.27888199999999996,9.290322580645162,6.868421052631579
17,a,0.557926,1.03142,0.557926,1.03142,5,6,0,3,0.9058999999999999,l,2016-12-21 19:45:00,0,0,1,0,-0.47349399999999997,9.818181818181818,4.958333333333333
18,h,2.08654,0.484413,1.32524,0.484413,8,3,1,0,2.6048999999999998,w,2017-01-08 18:00:00,1,0,0,3,0.840827,3.9310344827586206,18.105263157894736
19,h,2.00872,0.372432,1.24743,0.372432,15,2,2,1,2.6485,w,2017-01-15 18:00:00,1,0,0,3,0.874998,4.98,11.333333333333334
20,a,0.21704,1.77194,0.21704,1.77194,6,8,0,2,0.2103,l,2017-01-22 14:30:00,0,0,1,0,-1.5549,13.257142857142858,10.423076923076923
21,h,2.08504,0.641181,2.08504,0.641181,14,2,0,1,2.368,l,2017-01-28 20:00:00,0,0,1,0,1.4438589999999998,5.871794871794871,20.071428571428573
22,a,3.84448,1.82767,3.84448,1.06637,6,2,6,2,2.6048999999999998,w,2017-02-05 14:00:00,1,0,0,3,2.77811,9.193548387096774,15.909090909090908
23,h,2.48954,0.301882,1.72824,0.301882,7,5,1,1,2.8064,d,2017-02-13 19:45:00,0,1,0,1,1.426358,15.523809523809524,8.0
24,a,1.63167,0.271107,1.63167,0.271107,13,2,2,1,2.4798,w,2017-02-18 19:45:00,1,0,0,3,1.360563,8.575757575757576,12.047619047619047
25,h,1.02606,0.613891,0.264764,0.613891,11,1,1,0,1.8367,w,2017-02-26 14:00:00,1,0,0,3,-0.34912699999999997,8.391304347826088,11.08695652173913
26,a,2.01601,0.374856,2.01601,0.374856,10,1,2,0,2.5976,w,2017-03-05 19:45:00,1,0,0,3,1.641154,8.758620689655173,11.379310344827585
27,h,2.17289,0.438121,2.17289,0.438121,9,1,3,1,2.5629,w,2017-03-13 19:45:00,1,0,0,3,1.7347690000000002,7.517241379310345,14.95
28,a,0.885969,0.138994,0.885969,0.138994,9,4,0,0,2.0717000000000003,d,2017-03-19 14:00:00,0,1,0,1,0.746975,6.586206896551724,8.566666666666666
29,a,1.01814,1.31718,1.01814,0.555886,11,6,2,1,1.0562,w,2017-04-01 17:00:00,1,0,0,3,0.46225400000000005,8.23076923076923,12.761904761904763
30,h,1.13869,2.11338,1.13869,2.11338,8,9,0,3,0.6501,l,2017-04-09 19:45:00,0,0,1,0,-0.9746899999999998,21.2,14.409090909090908
