,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.351218,1.67953,0.351218,0.918235,5,8,0,1,0.33120000000000005,l,2016-08-21 22:45:00,0,0,1,0,-0.5670170000000001,10.89655172413793,8.192307692307692
1,a,0.544244,1.94441,0.544244,1.94441,1,7,1,1,0.40249999999999997,d,2016-08-28 20:00:00,0,1,0,1,-1.400166,11.0625,4.357142857142857
2,h,0.58528,1.89333,0.58528,1.89333,0,9,0,3,0.4257,l,2016-09-10 22:45:00,0,0,1,0,-1.30805,46.6,15.727272727272727
3,a,0.612635,1.13821,0.612635,1.13821,6,2,1,1,0.847,d,2016-09-18 17:00:00,0,1,0,1,-0.5255749999999999,3.3823529411764706,12.515151515151516
4,a,1.04637,1.6265,1.04637,1.6265,2,4,1,0,0.8916000000000001,w,2016-09-21 22:45:00,1,0,0,3,-0.58013,8.458333333333334,7.064516129032258
5,h,0.115058,1.22962,0.115058,1.22962,3,9,0,1,0.3428,l,2016-09-24 20:00:00,0,0,1,0,-1.1145619999999998,15.217391304347826,12.95
6,a,0.514686,1.44665,0.514686,1.44665,3,11,1,1,0.6137999999999999,d,2016-10-02 17:00:00,0,1,0,1,-0.931964,16.76923076923077,7.65625
7,h,0.865751,1.20703,0.865751,1.20703,7,7,1,4,1.0529000000000002,l,2016-10-17 22:45:00,0,0,1,0,-0.341279,7.6923076923076925,6.804347826086956
8,a,0.435093,2.48508,0.435093,2.48508,2,10,1,4,0.1829,l,2016-10-23 22:45:00,0,0,1,0,-2.049987,19.42105263157895,5.625
9,h,0.59003,0.990877,0.59003,0.990877,3,7,1,3,0.9419,l,2016-10-27 22:45:00,0,0,1,0,-0.40084699999999995,9.407407407407407,10.407407407407407
10,a,0.701202,0.672437,0.701202,0.672437,4,5,1,2,1.3169,l,2016-11-01 00:00:00,0,0,1,0,0.02876500000000004,6.791666666666667,6.9523809523809526
11,h,1.03556,1.03836,1.03556,1.03836,2,2,1,2,1.3393000000000002,l,2016-11-06 18:00:00,0,0,1,0,-0.0027999999999999137,10.64,11.695652173913043
12,a,1.36701,0.604632,1.36701,0.604632,1,5,1,3,2.0647,l,2016-11-20 18:00:00,0,0,1,0,0.7623780000000001,9.038461538461538,11.125
13,h,0.704882,1.51663,0.704882,1.51663,2,8,0,1,0.7336,l,2016-11-27 15:30:00,0,0,1,0,-0.8117479999999999,11.068965517241379,7.636363636363637
14,a,0.395672,1.89636,0.395672,1.13507,5,7,1,2,0.2928,l,2016-12-04 23:45:00,0,0,1,0,-0.739398,12.863636363636363,4.172413793103448
15,h,0.695367,1.10723,0.695367,1.10723,3,4,0,2,0.9440999999999999,l,2016-12-11 18:00:00,0,0,1,0,-0.411863,8.227272727272727,13.619047619047619
16,a,1.84868,1.49844,1.84868,1.49844,4,5,4,3,1.6723,w,2016-12-18 23:45:00,1,0,0,3,0.3502400000000001,8.147058823529411,7.052631578947368
17,h,0.477089,1.17216,0.477089,0.410861,1,7,1,1,0.6106,d,2016-12-22 23:45:00,0,1,0,1,0.06622800000000001,8.724137931034482,5.592592592592593
18,a,0.516544,0.901728,0.516544,0.140509,10,1,0,1,0.8050999999999999,l,2017-01-07 21:00:00,0,0,1,0,0.376035,8.53125,9.863636363636363
19,a,1.32792,1.48319,1.32792,1.48319,2,6,1,4,1.2481,l,2017-01-15 18:00:00,0,0,1,0,-0.15527000000000002,16.61111111111111,12.375
20,h,0.292892,1.83761,0.292892,1.83761,1,12,0,1,0.25370000000000004,l,2017-01-22 14:00:00,0,0,1,0,-1.544718,8.5,5.785714285714286
21,a,0.143541,1.809,0.143541,1.809,0,10,1,1,0.1918,d,2017-01-29 22:45:00,0,1,0,1,-1.665459,47.142857142857146,5.103448275862069
22,h,0.765782,0.384211,0.765782,0.384211,4,3,1,0,1.6988999999999999,w,2017-02-05 17:00:00,1,0,0,3,0.38157099999999994,6.95,8.882352941176471
23,h,0.744515,2.60419,0.744515,2.60419,4,9,1,3,0.2979,l,2017-02-12 14:00:00,0,0,1,0,-1.859675,16.04,7.481481481481482
24,a,0.557015,1.65089,0.557015,1.65089,3,4,1,4,0.4839,l,2017-02-17 19:45:00,0,0,1,0,-1.093875,15.6,10.916666666666666
25,h,2.10665,1.24,1.34535,1.24,3,4,1,1,2.0425999999999997,d,2017-02-26 11:30:00,0,1,0,1,0.10535000000000005,11.518518518518519,6.375
26,a,0.290489,3.04626,0.290489,3.04626,2,12,1,3,0.0786,l,2017-03-05 14:00:00,0,0,1,0,-2.755771,19.25,6.285714285714286
27,h,0.70853,2.40025,0.70853,2.40025,2,5,0,3,0.32799999999999996,l,2017-03-12 19:45:00,0,0,1,0,-1.6917200000000001,13.458333333333334,15.6875
28,a,0.479825,2.53655,0.479825,2.53655,1,5,1,4,0.1065,l,2017-03-19 17:00:00,0,0,1,0,-2.056725,9.666666666666666,10.416666666666666
29,h,1.4752,1.59255,1.4752,1.59255,6,6,1,3,1.2812,l,2017-04-02 14:00:00,0,0,1,0,-0.11734999999999984,7.62962962962963,8.346153846153847
30,a,0.211395,3.2201,0.211395,3.2201,1,7,0,4,0.0311,l,2017-04-09 14:00:00,0,0,1,0,-3.008705,11.642857142857142,10.636363636363637
31,h,1.2648,0.59328,1.2648,0.59328,2,3,0,0,1.9614999999999998,d,2017-04-15 14:00:00,0,1,0,1,0.6715199999999999,9.157894736842104,13.91304347826087
32,a,0.602485,3.19271,0.602485,2.43141,1,8,2,6,0.1043,l,2017-04-23 14:00:00,0,0,1,0,-1.828925,25.928571428571427,10.72
33,h,0.569668,1.0708,0.569668,1.0708,1,7,2,0,0.8316,w,2017-04-30 14:00:00,1,0,0,3,-0.501132,39.111111111111114,7.785714285714286
34,a,1.26666,0.874929,1.26666,0.11363,2,4,1,1,1.6548,d,2017-05-07 14:00:00,0,1,0,1,1.15303,12.08,8.083333333333334
35,h,0.831425,1.69579,0.831425,1.69579,5,8,1,0,0.675,w,2017-05-14 14:00:00,1,0,0,3,-0.8643649999999999,20.0,8.473684210526315
36,a,0.662548,1.76092,0.662548,1.76092,5,13,0,2,0.5626,l,2017-05-22 19:45:00,0,0,1,0,-1.098372,15.125,11.5
37,h,1.21155,1.89886,1.21155,1.89886,3,8,2,1,0.8785,w,2017-05-28 19:45:00,1,0,0,3,-0.6873100000000001,12.375,5.96875
