,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.08269,1.41716,1.08269,1.41716,2,8,2,2,1.0818,d,2016-08-21 22:45:00,0,1,0,1,-0.33447000000000005,24.307692307692307,8.617647058823529
1,a,1.45854,0.54343,1.45854,0.54343,9,6,1,2,2.2875,l,2016-08-28 22:45:00,0,0,1,0,0.91511,8.454545454545455,11.75
2,h,1.52585,1.70313,1.52585,1.70313,3,8,1,2,1.2731000000000001,l,2016-09-11 22:45:00,0,0,1,0,-0.1772800000000001,13.28,6.228571428571429
3,a,1.21293,3.04807,0.451632,3.04807,1,12,0,3,0.3263,l,2016-09-17 20:00:00,0,0,1,0,-2.596438,12.9,7.28
4,h,0.988465,0.628442,0.988465,0.628442,6,2,0,0,1.6391,d,2016-09-21 22:45:00,0,1,0,1,0.3600230000000001,8.047619047619047,12.090909090909092
5,a,1.09165,0.507435,1.09165,0.507435,5,3,1,1,1.9646000000000001,d,2016-09-25 17:00:00,0,1,0,1,0.584215,7.24,7.53125
6,h,0.518031,1.81437,0.518031,1.81437,4,6,0,2,0.4253,l,2016-10-01 20:00:00,0,0,1,0,-1.2963390000000001,13.052631578947368,11.275862068965518
7,h,1.69154,1.6457,0.930238,1.6457,2,6,1,1,1.4456,d,2016-10-15 20:00:00,0,1,0,1,-0.7154619999999999,31.6,7.285714285714286
8,a,0.694512,2.33345,0.694512,0.810854,10,5,1,3,0.2561,l,2016-10-23 14:30:00,0,0,1,0,-0.11634199999999995,8.72,19.61111111111111
9,h,0.22903,0.665026,0.22903,0.665026,2,1,0,1,0.7813,l,2016-10-26 22:45:00,0,0,1,0,-0.435996,12.56,10.178571428571429
10,a,0.736729,1.74004,0.736729,1.74004,6,4,0,1,0.6098,l,2016-10-30 18:00:00,0,0,1,0,-1.003311,8.703703703703704,9.192307692307692
11,h,2.53565,2.50908,2.53565,2.50908,13,9,0,4,1.3958000000000002,l,2016-11-06 15:30:00,0,0,1,0,0.026569999999999983,6.333333333333333,10.64
12,a,0.895007,1.75422,0.895007,1.75422,5,6,0,3,0.644,l,2016-11-19 23:45:00,0,0,1,0,-0.8592129999999999,17.434782608695652,9.214285714285714
13,a,1.20343,3.03686,1.20343,2.27556,7,10,2,3,0.3336,l,2016-11-27 23:45:00,0,0,1,0,-1.07213,10.030303030303031,7.074074074074074
14,h,1.43265,0.350794,1.43265,0.350794,12,1,1,1,2.3059000000000003,d,2016-12-04 18:00:00,0,1,0,1,1.081856,5.5,10.952380952380953
15,a,1.0284,1.27078,0.267102,0.509481,5,1,1,2,1.071,l,2016-12-10 21:00:00,0,0,1,0,-0.24237899999999996,4.086956521739131,15.782608695652174
16,h,0.26406,3.14833,0.26406,2.38707,1,7,0,3,0.0449,l,2016-12-18 18:00:00,0,0,1,0,-2.12301,22.6,6.615384615384615
17,a,1.17216,0.477089,0.410861,0.477089,7,1,1,1,2.0947,d,2016-12-22 23:45:00,0,1,0,1,-0.06622800000000001,5.592592592592593,8.724137931034482
18,a,1.25032,3.42773,0.489021,3.42773,2,9,1,3,0.2442,l,2017-01-15 18:00:00,0,0,1,0,-2.938709,17.64,8.26086956521739
19,h,2.0633,1.21807,1.302,1.21807,2,4,1,3,2.0316,l,2017-01-22 17:00:00,0,0,1,0,0.08393000000000006,9.68,6.387096774193548
20,a,0.53762,3.12652,0.53762,3.12652,1,8,0,3,0.0726,l,2017-01-28 22:45:00,0,0,1,0,-2.5889,13.090909090909092,6.314285714285714
21,h,0.430614,0.726305,0.430614,0.726305,2,10,1,2,1.0247,l,2017-02-01 22:45:00,0,0,1,0,-0.295691,22.266666666666666,4.44
22,h,1.82767,3.84448,1.06637,3.84448,2,6,2,6,0.2784,l,2017-02-05 14:00:00,0,0,1,0,-2.77811,15.909090909090908,9.193548387096774
23,a,0.862941,2.48777,0.862941,2.48777,6,10,3,5,0.3194,l,2017-02-12 14:00:00,0,0,1,0,-1.6248289999999999,12.857142857142858,6.617647058823529
24,h,2.00611,1.02749,2.00611,1.02749,11,8,5,0,2.1483999999999996,w,2017-02-19 14:00:00,1,0,0,3,0.97862,15.88888888888889,7.56
25,a,0.745747,2.25385,0.745747,2.25385,7,8,0,2,0.3972,l,2017-02-26 14:00:00,0,0,1,0,-1.5081029999999997,15.210526315789474,10.136363636363637
26,a,1.26255,2.58116,1.26255,2.58116,10,6,1,3,0.46399999999999997,l,2017-03-04 17:00:00,0,0,1,0,-1.31861,13.578947368421053,6.076923076923077
27,h,0.517813,1.50196,0.517813,1.50196,8,6,1,3,0.552,l,2017-03-12 14:00:00,0,0,1,0,-0.984147,6.0,9.064516129032258
28,a,0.304392,2.49319,0.304392,2.49319,4,12,0,3,0.14800000000000002,l,2017-03-19 14:00:00,0,0,1,0,-2.188798,8.461538461538462,7.0344827586206895
29,h,0.909616,2.43524,0.909616,2.43524,6,17,1,1,0.4281,d,2017-04-02 14:00:00,0,1,0,1,-1.5256239999999999,12.11111111111111,4.666666666666667
30,a,1.9265,0.957,1.9265,0.957,12,6,1,1,2.1642,d,2017-04-08 14:00:00,0,1,0,1,0.9695000000000001,11.272727272727273,4.470588235294118
31,h,0.17753,2.39296,0.17753,2.39296,7,14,0,2,0.0951,l,2017-04-15 14:00:00,0,0,1,0,-2.21543,8.911111111111111,7.85
32,h,2.35513,2.85441,2.35513,2.85441,8,11,1,4,1.0874,l,2017-04-24 19:45:00,0,0,1,0,-0.49928000000000017,15.782608695652174,10.294117647058824
33,a,1.12404,1.39112,1.12404,0.629824,13,8,0,1,1.0871,l,2017-04-30 14:00:00,0,0,1,0,0.4942159999999999,9.258064516129032,6.806451612903226
34,h,0.723682,0.468848,0.723682,0.468848,3,4,0,1,1.5898,l,2017-05-07 14:00:00,0,0,1,0,0.25483400000000006,6.44,10.25
35,a,0.959527,1.61797,0.959527,1.61797,8,9,1,3,0.8214,l,2017-05-14 14:00:00,0,0,1,0,-0.6584429999999999,8.794117647058824,7.407407407407407
36,h,1.76092,0.662548,1.76092,0.662548,13,5,2,0,2.224,w,2017-05-22 19:45:00,1,0,0,3,1.098372,11.5,15.125
37,a,1.61468,2.34729,1.61468,2.34729,16,4,2,2,0.8895,d,2017-05-28 19:45:00,0,1,0,1,-0.7326100000000002,12.714285714285714,6.310344827586207
