,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.568427,0.314472,0.568427,0.314472,6,4,1,1,1.5245,0,1,0,1,0.25395500000000004,15.0,10.15
1,2.363347,1.11306,2.363347,1.11306,7,15,2,1,3.7466,1,1,0,4,1.2502870000000001,13.289473684210527,9.575
2,2.60588,2.75954,2.60588,2.75954,8,25,2,4,4.0376,1,1,1,4,-0.1536599999999999,17.017543859649123,8.699122807017543
3,2.911381,3.3399859999999997,2.911381,3.3399859999999997,12,28,3,6,5.008100000000001,1,1,2,4,-0.4286049999999999,17.941729323308273,7.871903080872913
4,3.801969,4.407226,3.801969,3.645923,14,33,4,7,6.115900000000001,1,2,2,5,0.15604600000000013,17.02611073137389,8.388431555607422
5,5.618559,4.766559999999999,5.618559,4.005256999999999,21,35,5,7,8.6982,2,2,2,8,1.613302,15.87509227614491,8.772410911724133
6,6.488512,6.27586,6.488512,5.514557,24,41,6,7,9.519,3,2,2,11,0.9739549999999999,15.980848324607724,9.082701416398463
7,8.420382,6.658291,8.420382,5.896988,30,44,8,8,12.1775,4,2,2,14,2.5233939999999997,15.199588437877912,9.119238739348656
8,8.663163,8.610281,8.663163,7.848978000000001,33,53,8,9,12.3899,4,2,3,14,0.8141849999999997,16.365446132814554,8.83675922130137
9,9.550876,11.347611,9.550876,9.825008,37,58,9,11,12.644900000000002,4,2,4,14,-0.27413200000000026,15.899869261468584,9.165083299171233
10,10.119691000000001,12.237514000000001,10.119691000000001,10.714911,44,67,9,12,13.672100000000002,4,2,5,14,-0.5952200000000003,15.412759934668408,9.604621181064758
11,11.073228000000002,14.257904,11.073228000000002,11.974001000000001,53,72,11,15,14.196100000000001,4,2,6,14,-0.9007730000000004,14.595754577793867,10.543124971531583
12,12.326368000000002,15.980824,12.326368000000002,13.696921000000001,61,77,14,17,15.1697,5,2,6,17,-1.3705530000000006,14.478132430784083,10.663739289960777
13,13.558868000000002,16.714887,13.558868000000002,14.430984000000002,66,87,17,17,17.020500000000002,6,2,6,20,-0.8721160000000007,16.58683725715665,10.425853150201675
14,14.766508000000002,17.845647,14.766508000000002,15.561744000000003,74,93,18,18,18.4002,6,3,6,21,-0.7952360000000006,15.806048106679537,10.550549359941318
15,15.957518000000002,18.72808,15.957518000000002,16.444177000000003,79,110,19,20,20.036700000000003,6,3,7,21,-0.48665900000000073,16.543170100012066,10.430912752217711
16,16.211897,19.536341999999998,16.211897,17.252439000000003,79,121,19,23,20.755800000000004,6,3,8,21,-1.0405420000000007,16.3218806823643,10.394671697076364
17,17.584257,20.903261999999998,17.584257,18.619359000000003,83,127,22,25,22.144000000000005,7,3,8,24,-1.0351020000000006,16.192887311121837,10.417617286555028
18,18.744927,22.030862,18.744927,19.746959000000004,88,132,23,27,23.492900000000006,7,3,9,24,-1.0020320000000005,15.881983467679333,10.373370222890188
19,19.706093,24.048541999999998,18.944794,21.764639000000003,91,143,23,30,24.084600000000005,7,3,10,24,-2.8198450000000004,15.6936535250646,10.199529297952576
20,21.934853,24.740095999999998,21.173554000000003,22.456193000000003,95,145,26,30,26.680900000000005,8,3,10,27,-1.2826390000000005,15.373507558885054,10.220980283764359
21,23.034703,26.113556,22.273404000000003,23.068356,97,151,27,33,27.755500000000005,8,3,11,27,-0.7949520000000005,15.841378427420581,10.35812187259758
22,23.434248,26.955495,22.672949000000003,23.910295,104,160,28,35,28.586800000000004,8,3,12,27,-1.2373460000000005,15.72436197405447,10.342551356397685
23,23.929388,29.358745,23.168089000000002,26.313545,108,168,29,37,28.775100000000005,8,3,13,27,-3.1454560000000003,15.544874669579977,10.201141631077697
24,24.980728,32.239685,24.219429,29.194485,110,175,31,38,28.973800000000004,9,3,13,30,-4.975056,15.264132314375727,10.195381680120303
25,26.760828,33.041441,25.999529000000003,29.996241,115,187,33,38,31.304000000000006,10,3,13,33,-3.9967120000000005,15.35578333395856,10.23365454590322
26,28.174378,33.572697,27.413079000000003,30.527497,119,196,33,39,33.636100000000006,10,3,14,33,-3.1144180000000006,15.209609540444944,10.019239356960304
27,28.629974,34.626197,27.868675000000003,31.580997,119,212,33,40,34.446400000000004,10,3,15,33,-3.712322000000001,15.105850193503587,9.880621202586104
28,29.522006,35.639117,28.760707000000004,32.593917,122,222,34,41,35.730500000000006,10,4,15,34,-3.8332100000000007,15.478062255796566,9.768241906690777
29,29.817569000000002,38.103567,29.056270000000005,35.058367,126,237,35,42,35.855000000000004,10,5,15,35,-6.002097000000001,15.392682402825569,9.734300509801084
30,30.492236000000002,38.632362,29.730937000000004,35.587162,134,238,35,43,37.2676,10,5,16,35,-5.856225000000001,15.109047486605391,9.82121247492271
31,31.522216,39.202954,30.760917000000003,36.157754,140,243,37,43,39.0114,11,5,16,38,-5.396837000000001,14.814309107487682,9.688127710081375
32,31.845254,40.547674,31.083955000000003,37.502474,146,261,37,44,39.5217,11,5,17,38,-6.418519000000002,14.76889942161485,9.702123840078908
33,32.382478,41.701234,31.621179,38.656034,151,268,37,44,40.2471,11,6,17,39,-7.034855000000001,14.661317412482386,9.710884903605999
34,32.796697,43.087694,32.035398,40.042494,154,273,38,46,40.766400000000004,11,6,18,39,-8.007096,14.794302328516723,9.8653638223265
