,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.302867,2.0921,0.302867,1.3308,3,18,0,3,0.1951,0,0,1,0,-1.027933,38.18181818181818,4.222222222222222
1,1.0511970000000002,2.3191789999999997,1.0511970000000002,1.557879,8,21,0,3,2.0018000000000002,0,1,1,1,-0.506682,24.555194805194805,6.444444444444445
2,1.3675110000000001,3.5480389999999997,1.3675110000000001,2.786739,11,30,0,4,2.5415,0,1,2,1,-1.419228,19.762987012987015,6.215836526181353
3,2.379741,4.28467,2.379741,3.52337,12,37,0,6,4.1,0,1,3,1,-1.143629,19.286525974025974,6.528544061302682
4,2.713363,7.07026,2.713363,5.5476600000000005,17,43,1,11,4.1865,0,1,4,1,-2.8342970000000003,19.081394692264258,7.9180733442802405
5,4.198313000000001,9.045770000000001,4.198313000000001,6.76187,21,46,3,11,5.178599999999999,1,1,4,4,-2.5635570000000003,17.105463318822363,8.173394453566866
6,4.738057,11.559330000000001,4.738057,9.27543,25,57,4,12,5.2894,1,2,4,5,-4.5373730000000005,16.388016178038217,7.802469971189183
7,5.127106,13.566040000000001,5.127106,11.28214,30,67,6,14,5.563899999999999,1,3,4,6,-6.155034000000001,15.986253286218222,7.457369558123868
8,5.716698,15.853900000000001,5.716698,12.8087,37,72,6,19,5.789999999999999,1,3,5,6,-7.092002000000001,15.942735653815596,7.466379778161387
9,6.152372,18.26357,6.152372,14.45707,39,81,6,20,5.972899999999999,1,3,6,6,-8.304698,17.625385165357113,7.399741800345248
10,7.1373809999999995,19.028395,7.1373809999999995,15.221895,43,87,8,21,7.5222,2,3,6,9,-8.084514,16.89513129510579,7.299230513682846
11,9.157771,19.981932,8.396471,16.175432,48,96,11,23,9.794599999999999,3,3,6,12,-7.778961000000001,17.2260925760692,7.158352608557101
12,9.443381,21.776972,8.682081,17.970472,55,106,11,24,10.0491,3,3,7,12,-9.288391,16.533487164234817,7.834430747979834
13,9.583668000000001,23.915032,8.822368,20.108532,55,122,11,27,10.1701,3,3,8,12,-11.286164000000001,17.819190462027567,7.554590456457466
14,9.958598000000002,25.873562,9.197298,22.067062,62,129,11,30,10.3874,3,3,9,12,-12.869764000000002,17.31170420134067,7.780951092693635
15,10.666530000000002,28.124782,9.90523,23.556982,63,135,12,32,10.6715,3,3,10,12,-13.651752000000002,16.685451855423548,7.906054692878543
16,12.888610000000002,29.122307,12.12731,24.554507,69,141,13,32,12.9868,4,3,10,15,-12.427197000000001,16.729689981575103,7.86501225996412
17,13.373545000000002,32.843317,12.612245,28.275517,73,160,13,36,13.0431,4,3,11,15,-15.663272000000001,16.561132325593878,7.818871732111707
18,13.468026300000002,34.224347,12.7067263,29.656547,73,169,13,37,13.3648,4,3,12,15,-16.9498207,16.6258972909135,7.758229360246179
19,13.975221300000001,36.185957,13.213921299999999,31.618157,76,178,13,38,13.751900000000001,4,3,13,15,-18.4042357,16.66828663689414,7.6578178922338696
20,14.803116300000001,37.220637,14.041816299999999,32.652837,80,184,16,38,14.880700000000001,5,3,13,18,-18.6110207,16.517415844661087,7.922559483286914
21,16.2468763,37.47346700000001,14.724275299999999,32.905667,93,187,17,39,17.3747,5,4,13,19,-18.181391700000002,16.033153140978143,8.680624961319326
22,17.1037703,38.023005000000005,15.581169299999999,33.455205,96,195,18,40,19.0408,5,5,13,20,-17.874035700000004,15.731090582053628,8.56568635591575
23,17.9508723,39.400575,16.4282713,34.832775,100,199,19,41,19.7945,5,6,13,21,-18.404503700000003,15.394080855420443,8.38044942441926
24,20.0939623,40.69985500000001,18.5713613,36.132055,105,201,21,44,21.8476,5,6,14,21,-17.5606937,15.163145207410523,8.246769908980951
25,21.3286023,42.02138500000001,19.8060013,37.453585000000004,113,205,23,47,23.1198,5,6,15,21,-17.647583700000002,14.869244973680688,8.371058022849578
26,24.0497823,42.86245000000001,21.604241299999998,38.294650000000004,117,214,27,48,25.782400000000003,6,6,15,24,-16.690408700000003,14.876266401670728,8.300076075875351
27,24.5252373,45.337860000000006,22.0796963,40.77006,120,220,27,50,25.950900000000004,6,6,16,24,-18.690363700000002,14.610844188912647,8.188338665002252
28,24.7535023,46.924380000000006,22.3079613,42.35658,123,230,27,52,26.249800000000004,6,6,17,24,-20.048618700000002,14.533130349886102,8.139002013022028
29,26.5062723,49.14341,24.0607313,44.57561,124,234,28,56,27.218800000000005,6,6,18,24,-20.514878700000004,14.568137116001008,8.128813057032405
30,27.035067299999998,49.818077,24.5895263,45.250277,125,242,29,56,28.383900000000004,7,6,18,27,-20.660750700000005,14.49911886801941,8.079496506805553
31,27.621162299999998,51.630707,25.1756213,47.062906999999996,128,253,29,57,28.858900000000006,7,6,19,27,-21.887285700000003,14.24763430661961,8.08608482161304
32,28.1354643,52.284525,25.6899233,47.716725,132,262,30,58,30.004200000000004,7,7,19,28,-22.026801700000004,14.409827206419015,8.011850846302451
33,28.6403893,52.978032,26.1948483,48.41023199999999,135,270,32,59,31.092800000000004,8,7,19,31,-22.215383700000004,14.236008759171398,7.959320128811584
34,31.0338693,54.301182,28.5883283,48.972080999999996,141,273,36,60,33.2717,9,7,19,34,-20.383752700000002,14.295431065300335,7.9776252679883966
35,32.0989993,55.1331,29.6534583,49.803999,144,281,37,62,34.843,9,7,20,34,-20.150540700000004,14.038253453404131,8.083319252090169
