,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.973373,0.448836,0.973373,0.448836,11,5,0,0,1.8822999999999999,0,1,0,1,0.524537,9.608695652173912,16.928571428571427
1,2.186603,2.581116,1.425306,1.819816,19,14,2,4,2.5629,0,1,1,1,-0.39451000000000014,17.745524296675192,16.93095238095238
2,2.7147829999999997,4.067256,1.9534859999999998,3.305956,25,16,2,5,3.1111,0,1,2,1,-1.3524700000000003,14.497016197783461,16.92063492063492
3,3.263409,7.1804060000000005,2.502112,6.419106,28,24,4,8,3.1896,0,1,3,1,-3.9169940000000003,13.752072493165183,15.482142857142856
4,3.8299809999999996,8.475866,3.0686839999999997,7.7145660000000005,35,30,5,9,3.9241,0,2,3,2,-4.645882,13.296896089770243,16.493406593406593
5,4.659635,9.090147,3.898338,8.328847,36,36,5,10,5.4681,0,2,4,2,-4.430509000000001,15.036302297030758,15.222766364070713
6,6.168934999999999,9.9601,5.407638,9.1988,42,39,5,11,7.3614,0,2,5,2,-3.791162000000001,14.451751175232713,15.421711828544128
7,8.147965,11.1995,7.386668,9.676897,52,41,8,13,9.279399999999999,1,2,5,5,-2.290229000000001,14.755576395975684,14.837747849976111
8,8.558273,11.924416,7.796976,10.401813,55,47,8,13,10.256799999999998,1,3,5,6,-2.6048370000000007,14.145982437448472,14.109744120613687
9,9.840993,13.117126,9.079696,11.594523,59,54,10,16,11.722999999999999,1,3,6,6,-2.5148270000000004,22.46471752703696,13.963475590905258
10,11.170003,13.451237,10.408706,11.928634,64,58,10,17,14.052299999999999,1,3,7,6,-1.5199280000000004,20.91868260033663,14.854907879843942
11,12.207082999999999,15.136407,11.445786,13.613804,66,64,10,19,14.879299999999999,1,3,8,6,-2.1680180000000004,20.023943898793426,14.457907980766038
12,14.002123,15.422017,13.240826,13.899414,76,71,11,19,17.464499999999997,2,3,8,9,-0.6585880000000004,19.71036116973644,13.978239845493437
13,15.123323,16.710927,13.600726,15.188324,79,75,12,20,18.650999999999996,2,4,8,10,-1.5875980000000003,19.8215258480886,13.392837620504777
14,16.194793,17.381328000000003,14.672196,15.858725,90,81,13,20,20.394399999999997,3,4,8,13,-1.1865290000000004,19.186112296925707,12.992838921994935
15,17.496223,18.755248,15.973626,17.232644999999998,97,94,14,22,21.6925,3,4,9,13,-1.2590190000000003,18.49323027836785,12.701619822703584
16,17.730095000000002,19.745499000000002,16.207498,18.222896,98,103,14,22,22.3125,3,5,9,14,-2.0153980000000002,18.603922614934447,12.371832662264438
17,21.013575000000003,20.606691,18.729718000000002,19.084087999999998,111,107,15,22,25.082,4,5,9,17,-0.3543700000000003,17.939058227236067,12.222387413350758
18,21.079296700000004,21.613251,18.795439700000003,20.090647999999998,112,110,15,22,25.4744,4,6,9,18,-1.2952083,17.47584100656484,11.86481815099395
19,21.779995700000004,22.444695000000003,19.496138700000003,20.922092,116,115,16,22,26.6271,5,6,9,21,-1.4259533000000002,16.997503501691146,11.717577243444252
20,21.869622200000006,23.848855000000004,19.585765200000004,22.326252,119,119,16,23,26.856499999999997,5,6,10,21,-2.7404868000000002,16.895581566236462,11.592137057248495
21,23.290872200000006,24.077926000000005,21.007015200000005,22.555323,132,121,16,24,29.294999999999998,5,6,11,21,-1.5483078000000003,16.445782404134807,11.547039918282653
22,24.116542200000005,25.019156000000006,21.832685200000004,23.496553000000002,134,132,18,25,30.5585,6,6,11,24,-1.6638678000000002,16.465302162307434,11.35977731313993
23,24.694779200000006,25.297971000000008,22.410922200000005,23.775368000000004,142,133,19,25,32.1487,7,6,11,27,-1.3644458000000002,16.27230346110018,11.304856036203544
24,25.742569200000005,26.185524000000008,23.458712200000004,24.662921000000004,143,140,21,25,33.652899999999995,8,6,11,30,-1.2042088000000002,16.41435249912676,11.067061794755402
25,26.544325200000007,27.96562400000001,24.260468200000005,26.443021000000005,155,145,21,27,34.1123,8,6,12,30,-2.1825528000000003,16.213434179563276,11.320138603554401
26,27.477835200000005,28.69271100000001,25.193978200000004,27.170108000000006,160,151,21,28,35.6603,8,6,13,30,-1.9761298000000003,16.647328151748766,11.289763099719053
27,28.489285200000005,30.315971000000008,26.205428200000004,28.793368000000005,163,160,21,29,36.5212,8,6,14,30,-2.5879398,16.856352146329165,11.233959872131686
28,31.180095200000004,30.586005000000007,27.373648200000005,29.063402000000004,171,161,22,30,39.4257,8,7,14,31,-1.6897538,16.49597467250421,11.220145163897259
29,32.180475200000004,31.746455000000008,28.374028200000005,29.462549000000003,172,166,24,31,40.5507,9,7,14,34,-1.0885208,16.309745213723765,11.160029213989572
30,32.4316522,32.519256000000006,28.625205200000003,30.235350000000004,176,173,24,31,41.3079,9,8,14,35,-1.6101448,16.339342875451152,11.082286336118942
31,34.2442822,33.105351000000006,30.437835200000002,30.821445000000004,187,176,25,31,43.6258,10,8,14,38,-0.3836098000000001,16.087810991238467,10.937577791341031
32,35.0588612,34.925551000000006,31.2524142,32.641645000000004,189,186,26,33,44.2446,10,8,15,38,-1.3892308000000002,16.14932117510468,10.87002492897716
33,36.6026612,36.476991000000005,32.7962142,33.431786,200,192,29,34,45.5959,11,8,15,41,-0.6355718000000001,16.191642178605065,10.942475176164107
34,37.7502612,38.037321000000006,33.9438142,34.992116,205,198,30,37,46.6575,11,8,16,41,-1.0483018000000002,16.280809544930634,10.953970959308187
35,40.024211199999996,39.76734100000001,36.2177642,36.722136000000006,212,205,32,40,48.4666,11,8,17,41,-0.5043717999999999,16.297083353867745,10.81636065488296
36,41.10387119999999,41.61975100000001,37.297424199999995,38.574546000000005,216,212,32,41,49.2223,11,8,18,41,-1.2771217999999998,16.210051995031403,10.692945502048286
37,42.208441199999996,42.87156100000001,38.4019942,39.826356000000004,226,219,33,43,50.3793,11,8,19,41,-1.4243617999999998,16.089565862198167,10.708544680565812
