,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.757926,0.625722,0.757926,0.625722,6,2,0,0,1.4277,0,1,0,1,0.132204,6.923076923076923,22.818181818181817
1,2.124346,1.397816,2.124346,1.397816,13,12,2,1,3.3217999999999996,1,1,0,4,0.72653,10.356275303643724,16.543706293706293
2,4.483896,2.603396,3.7225960000000002,2.603396,23,18,6,2,5.5511,2,1,0,7,1.1191999999999998,12.237516869095815,15.529137529137529
3,7.597046,3.152022,6.835746,3.152022,31,21,9,4,8.4226,3,1,0,10,3.6837239999999998,11.969804318488528,14.526163491680734
4,7.879264,5.8021720000000006,7.117964000000001,5.040882,34,29,10,8,8.488299999999999,3,1,1,10,2.077082,18.957661636609004,13.432695499226941
5,10.039004,6.152029000000001,8.516404000000001,5.390739,42,35,13,8,11.192899999999998,4,1,1,13,3.1256649999999997,17.58066005949301,13.08453791602245
6,14.120234,7.872619,11.836334,6.350026,50,39,19,9,13.875799999999998,5,1,1,16,5.486307999999999,16.717946717660677,14.424109422524737
7,15.801574,10.200409,12.756377,7.916525999999999,54,47,21,10,14.734999999999998,6,1,1,19,4.8398509999999995,16.440703377953092,13.741785399881557
8,17.867984,10.837857,14.061617,8.553974,58,50,24,10,17.207399999999996,7,1,1,22,5.507643,16.676458558180528,13.747327762857681
9,20.605314,11.72557,16.037647,9.441687,63,54,26,11,19.829999999999995,8,1,1,25,6.59596,16.220812702362473,13.543562728507396
10,23.529184,12.328676999999999,18.961517,10.044794,74,57,31,12,22.660399999999996,9,1,1,28,8.916723,15.967537239301855,14.119816384204585
11,24.717994,13.895667,19.389026,10.850489,81,60,32,14,23.663699999999995,9,1,2,28,8.538537,15.428575802693366,13.749983200672384
12,26.462034000000003,15.176276999999999,21.133066,11.369800999999999,87,67,33,15,25.409099999999995,9,2,2,29,9.763265,14.96154249918948,13.945685850394417
13,28.597794000000004,16.369056999999998,23.268826,12.562580999999998,94,81,35,16,27.494299999999996,10,2,2,32,10.706245000000001,14.546432320675947,13.495019977963647
14,30.014234000000005,17.436076999999997,24.685266000000002,13.629600999999997,102,89,36,19,29.129699999999996,10,2,3,32,11.055665000000001,14.341887557268565,13.265048949129705
15,31.070394000000004,19.866346999999998,25.741426,15.298570999999997,113,98,39,22,29.573899999999995,10,3,3,33,10.442855000000002,13.96426958493928,13.141712556475765
16,34.79140400000001,20.351281999999998,29.462436,15.783505999999997,132,102,43,22,32.485299999999995,11,3,3,36,13.678930000000001,13.55663506574407,13.174297239854427
17,35.891974000000005,21.099946,30.563006,16.532169999999997,148,108,43,22,34.160399999999996,11,4,3,37,14.030836,13.576215945930006,12.84053998578844
18,38.14014400000001,23.334626,32.811176,18.005599999999998,157,114,48,24,35.55009999999999,12,4,3,40,14.805576,13.490864867436082,12.597052918867245
19,39.302384,23.696703,33.973416,18.367676999999997,167,118,53,25,37.611599999999996,13,4,3,43,15.605739,13.790005834590593,12.638354119077729
20,40.591734,24.484880999999998,35.262766,19.155854999999995,172,124,56,25,39.401199999999996,14,4,3,46,16.106911,13.945027201774591,12.528591224518472
21,41.10992,25.711301,35.780952,20.382274999999996,182,124,57,27,40.06099999999999,14,4,4,46,15.398677,13.816032458836785,12.62907027953048
22,42.05115,26.536970999999998,36.722182,21.207944999999995,193,126,58,29,41.443299999999994,14,4,5,46,15.514237,13.53011800410475,12.814534043120686
23,42.842802999999996,28.574170999999996,37.51383499999999,23.245144999999994,193,133,59,33,41.90509999999999,14,4,6,46,14.26869,13.648181269085235,12.616706235768435
24,44.960803,28.696869999999997,39.631834999999995,23.367843999999995,207,135,61,33,44.66469999999999,15,4,6,49,16.263991,13.288920684988494,12.450609414909128
25,46.348763,29.403942999999998,40.258492,24.074916999999996,210,138,64,33,46.69789999999999,16,4,6,52,16.183575,13.1784493765915,12.768662898951085
26,46.533552,30.429942999999998,40.443281,25.100916999999995,213,141,64,34,47.14929999999999,16,4,7,52,15.342364000000002,13.133774296800047,12.587601310101045
27,47.318595,32.002143,41.228324,25.911816999999996,220,141,66,36,47.70949999999999,16,5,7,53,15.316507000000001,12.889578653924913,12.592714450124907
28,48.331515,32.894175,42.241244,26.803848999999996,230,144,67,37,49.08749999999999,16,6,7,54,15.437395000000002,12.673442204535144,13.051586365637842
29,52.050415,33.150493,45.198844,27.060166999999996,243,147,73,39,52.034299999999995,17,6,7,57,18.138677,12.4257067747288,13.413200153449912
30,53.243975,33.926486,46.392404,27.836159999999996,250,152,75,40,53.73859999999999,18,6,7,60,18.556244,12.424071072318194,13.511308066388478
31,53.874003,34.625243999999995,47.022432,28.534917999999998,256,158,75,40,54.98579999999999,18,7,7,61,18.487514,12.307453466692865,13.321892189313838
32,55.478593000000004,35.952473999999995,48.627022000000004,29.100853999999998,265,163,79,43,56.52909999999999,19,7,7,64,19.526168000000002,12.08868927964513,13.257303825712697
33,58.118903,36.23437499999999,51.267332,29.382755,272,166,83,43,59.42659999999999,20,7,7,67,21.884577,12.039427627404045,13.211036375730435
34,60.938953000000005,36.568540999999996,53.326082,29.716921,287,172,84,43,62.2743,21,7,7,70,23.609161,12.051965720037222,13.143352629656935
35,62.463983000000006,39.524770999999994,54.851112,32.673151,293,185,85,44,62.7619,21,8,7,71,22.177961,12.039027974940403,13.02131505661091
