,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.448836,0.973373,0.448836,0.973373,5,11,0,0,0.772,0,1,0,1,-0.524537,16.928571428571427,9.608695652173912
1,1.272651,2.217163,1.272651,2.217163,8,15,0,3,1.759,0,1,1,1,-0.944512,12.569548872180452,9.60990338164251
2,2.5606109999999997,2.831766,2.5606109999999997,2.831766,17,24,1,5,3.6854999999999998,0,1,2,1,-0.27115500000000003,10.390810359231411,9.033268921095006
3,4.435441,3.907286,4.435441,3.907286,21,30,2,8,5.7659,0,1,3,1,0.5281549999999999,11.007393483709272,9.137451690821255
4,7.064651,6.1660260000000005,5.542051,6.1660260000000005,24,38,3,8,7.4347,1,1,3,4,-0.623975,10.67998886104149,8.479658322353973
5,7.423984999999999,7.982616,5.901384999999999,7.982616,26,45,3,9,7.704000000000001,1,1,4,4,-2.081231,10.682041999585858,8.753048601961645
6,9.144575,12.063846,6.860671999999999,11.302546,30,53,4,15,7.924200000000001,1,1,5,4,-4.441873999999999,12.364827208436228,9.15142261120522
7,10.839985,12.575462,8.556082,11.814162,32,58,4,15,10.2551,1,2,5,5,-3.258079999999999,12.326168251826145,9.402231626909831
8,13.362105,13.057203,10.316902,12.295903,42,63,5,15,13.0153,2,2,5,8,-1.9790009999999991,11.940720985750225,9.531150335030961
9,13.936138999999999,13.966847999999999,10.890936,13.205547999999999,45,64,5,16,13.9793,2,2,6,8,-2.314611999999999,11.369376159902476,10.011368634861197
10,14.279730999999998,16.944257999999998,11.234528,16.182958,46,77,6,19,14.0515,2,2,7,8,-4.948429999999998,11.940539592006202,9.538194360137746
11,14.583080999999998,18.163947999999998,11.537878,17.402648,49,87,6,21,14.581100000000001,2,2,8,8,-5.864769999999998,11.554869626005685,9.423900385681824
12,17.285621,19.274607999999997,13.479118,18.513308,52,91,8,22,17.0527,3,2,8,11,-5.034189999999998,11.657936334936421,9.36453681086349
13,18.440711,21.315027999999998,14.634208,20.553728,62,96,8,24,17.7724,3,2,9,11,-5.919519999999999,11.40041456665149,10.18611751484943
14,18.861131,23.773148,15.054628,23.011848,66,100,8,27,17.9768,3,2,10,11,-7.957219999999999,11.813720262208056,10.093709680526135
15,21.112351,24.48108,16.544548,23.71978,72,101,10,28,20.5256,4,2,10,14,-7.1752319999999985,11.686775789298315,9.918581992159918
16,22.825341,25.58769,17.496315,24.82639,74,107,11,28,22.380100000000002,5,2,10,17,-7.330074999999999,11.864370293042013,9.664547757326982
17,23.881731000000002,26.961689999999997,18.552705,25.439096,76,119,12,28,23.424200000000003,6,2,10,20,-6.886390999999999,12.186720091576715,9.30540621525326
18,24.956011000000004,28.637969999999996,19.626984999999998,27.115375999999998,77,130,13,29,24.326700000000002,6,3,10,21,-7.488390999999999,12.14339989536933,9.031618955285301
19,25.787455000000005,29.338668999999996,20.458429,27.816074999999998,82,134,13,30,25.7935,6,3,11,21,-7.357645999999999,11.982229900600862,8.975492552975583
20,27.193155000000004,30.309919999999995,21.864129,28.787325999999997,88,134,14,31,27.4953,6,4,11,22,-6.923196999999999,11.766486234059192,8.917702658162685
21,28.137693000000006,32.54019999999999,22.808667,31.017605999999997,93,149,14,34,27.9753,6,4,12,22,-8.208938999999999,11.820578757016976,8.88838559518835
22,28.371970000000005,35.203509999999994,23.042944,33.680915999999996,97,155,14,41,28.0623,6,4,13,22,-10.637972,12.157075332798847,9.100399520717245
23,29.514110000000006,35.394693999999994,24.185084,33.872099999999996,110,158,14,41,30.3019,6,5,13,23,-9.687016,12.029840872093148,9.275137775981475
24,32.395050000000005,36.446034,27.066024,34.92344,117,160,15,43,32.9912,6,5,14,23,-7.857416,11.950932951495139,9.245184896521163
25,33.102123000000006,37.833994,27.773097,35.550097,120,163,15,46,33.6858,6,5,15,23,-7.777,12.288204761053018,9.290241887680606
26,35.24380300000001,38.316297,28.392183,36.0324,129,166,16,47,36.3903,6,6,15,24,-7.640217,12.15654285632266,9.209121817766508
