,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.521132,2.0372,0.521132,2.0372,7,11,2,3,0.3767,l,2018-08-25 21:30:00,0,0,1,0,-1.5160679999999997,17.941176470588236,10.023255813953488
1,h,1.69218,0.311589,1.69218,0.311589,9,7,2,1,2.4709999999999996,w,2018-08-31 21:30:00,1,0,0,3,1.380591,15.3,22.0
2,a,2.48751,0.433382,2.48751,0.433382,9,7,1,1,2.7148,d,2018-09-16 18:30:00,0,1,0,1,2.054128,12.578947368421053,22.0625
3,h,2.35124,2.08573,2.35124,2.08573,4,6,2,2,1.5614000000000001,d,2018-09-23 16:00:00,0,1,0,1,0.26551000000000036,24.1,15.272727272727273
4,a,1.52902,1.1773,1.52902,0.415997,7,4,1,1,1.5725,d,2018-09-27 19:00:00,0,1,0,1,1.113023,10.44,9.777777777777779
5,a,1.30599,0.704744,1.30599,0.704744,4,8,4,1,1.8896,w,2018-09-30 18:30:00,1,0,0,3,0.601246,16.285714285714285,9.95
6,h,2.55099,0.412204,2.55099,0.412204,13,3,3,1,2.7359999999999998,w,2018-10-07 13:00:00,1,0,0,3,2.138786,10.157894736842104,32.13333333333333
7,a,0.64662,2.09049,0.64662,2.09049,2,3,0,1,0.4294,l,2018-10-21 18:30:00,0,0,1,0,-1.44387,15.590909090909092,10.88
8,h,2.18318,0.550208,2.18318,0.550208,10,3,3,2,2.6664,w,2018-10-28 16:00:00,1,0,0,3,1.632972,14.038461538461538,17.68421052631579
9,h,1.53546,0.383237,1.53546,0.383237,11,2,2,1,2.2956,w,2018-10-31 18:30:00,1,0,0,3,1.152223,11.789473684210526,11.516129032258064
10,a,0.787543,0.441246,0.787543,0.441246,7,6,1,0,1.6178000000000001,w,2018-11-04 19:30:00,1,0,0,3,0.34629699999999997,8.181818181818182,7.151515151515151
11,h,0.821584,1.53465,0.0602847,1.53465,2,1,0,2,0.7272000000000001,l,2018-11-11 19:30:00,0,0,1,0,-1.4743653,20.22222222222222,10.333333333333334
12,a,0.406628,0.997397,0.406628,0.997397,3,13,1,1,0.7967,d,2018-11-25 17:00:00,0,1,0,1,-0.590769,13.045454545454545,7.564102564102564
13,h,1.35263,1.25109,0.591367,1.25109,4,5,2,1,1.4432999999999998,w,2018-12-02 11:30:00,1,0,0,3,-0.6597230000000001,9.333333333333334,12.173913043478262
14,h,1.32115,1.00064,1.32115,1.00064,6,3,0,0,1.6188,d,2018-12-09 19:30:00,0,1,0,1,0.3205100000000001,7.375,9.290322580645162
15,a,0.666236,0.372931,0.666236,0.372931,5,3,0,0,1.5732,d,2018-12-18 19:30:00,0,1,0,1,0.29330500000000004,7.476190476190476,20.15
16,h,0.71917,0.283973,0.71917,0.283973,4,2,0,1,1.7629000000000001,l,2018-12-22 14:00:00,0,0,1,0,0.435197,12.0,8.030303030303031
17,a,1.66252,0.800634,1.66252,0.800634,20,4,0,0,2.0285,d,2018-12-26 11:30:00,0,1,0,1,0.861886,6.423076923076923,19.785714285714285
18,h,2.15613,0.569172,2.15613,0.569172,16,1,2,1,2.5159,w,2018-12-29 19:30:00,1,0,0,3,1.586958,7.777777777777778,18.352941176470587
19,a,1.55416,1.75495,1.55416,1.75495,5,8,2,0,1.2163,w,2019-01-21 14:00:00,1,0,0,3,-0.20079000000000002,8.263157894736842,10.733333333333333
20,h,1.24826,0.700205,1.24826,0.700205,8,13,0,0,1.8724000000000003,d,2019-01-26 19:30:00,0,1,0,1,0.548055,21.8,15.6
21,a,0.781258,1.7818,0.781258,1.7818,3,7,1,1,0.5528000000000001,d,2019-02-03 19:30:00,0,1,0,1,-1.000542,13.529411764705882,15.782608695652174
22,h,2.38366,1.42003,2.38366,1.42003,5,5,3,0,2.0511999999999997,w,2019-02-10 19:30:00,1,0,0,3,0.96363,9.866666666666667,11.133333333333333
23,a,0.880241,1.01245,0.880241,1.01245,2,7,3,1,1.2281,w,2019-02-16 19:30:00,1,0,0,3,-0.13220900000000002,17.05263157894737,5.690476190476191
24,h,1.3605,0.582587,1.3605,0.582587,7,7,3,0,2.0411,w,2019-02-22 19:30:00,1,0,0,3,0.7779130000000001,11.428571428571429,20.904761904761905
25,h,1.31933,0.833481,1.31933,0.833481,4,4,1,0,1.7827000000000002,w,2019-03-02 17:00:00,1,0,0,3,0.48584899999999986,12.636363636363637,19.46153846153846
26,a,1.70597,0.263355,1.70597,0.263355,4,1,2,1,2.6112,w,2019-03-09 19:30:00,1,0,0,3,1.442615,12.444444444444445,14.206896551724139
27,h,1.06311,2.91239,1.06311,2.15109,1,5,2,3,0.2732,l,2019-03-17 19:30:00,0,0,1,0,-1.08798,12.2,14.409090909090908
28,a,1.03959,2.09999,1.03959,2.09999,6,9,0,1,0.6577000000000001,l,2019-03-30 19:30:00,0,0,1,0,-1.0604,14.1,9.153846153846153
29,h,2.03815,1.37576,2.03815,1.37576,9,3,1,1,1.9037,d,2019-04-02 18:00:00,0,1,0,1,0.6623899999999998,5.186046511627907,13.380952380952381
30,a,1.47352,1.85527,1.47352,1.09397,8,6,1,2,1.0705,l,2019-04-06 17:00:00,0,0,1,0,0.37954999999999983,12.470588235294118,11.73913043478261
31,h,1.52803,1.41453,0.766732,1.41453,7,8,1,0,1.4447,w,2019-04-13 19:30:00,1,0,0,3,-0.6477980000000001,8.185185185185185,13.590909090909092
32,a,0.800929,0.830287,0.800929,0.830287,5,6,1,1,1.3024999999999998,d,2019-04-20 11:30:00,0,1,0,1,-0.029357999999999995,7.7368421052631575,17.333333333333332
33,a,0.604324,1.24216,0.604324,0.480866,12,5,0,2,0.6796,l,2019-04-28 19:30:00,0,0,1,0,0.12345799999999996,4.384615384615385,6.5
34,h,1.25154,1.26196,1.25154,1.26196,5,3,2,1,1.3387,w,2019-05-06 19:30:00,1,0,0,3,-0.010419999999999874,5.628571428571429,8.333333333333334
35,a,0.977718,0.826645,0.977718,0.826645,4,1,1,0,1.4529,w,2019-05-11 19:30:00,1,0,0,3,0.151073,10.95,9.75
36,h,1.67301,1.66205,1.67301,0.900747,6,3,2,0,1.3418,w,2019-05-19 16:00:00,1,0,0,3,0.7722630000000001,10.210526315789474,35.111111111111114
37,a,1.7846,0.433984,1.02334,0.433984,11,1,3,2,2.4876,w,2019-05-26 18:30:00,1,0,0,3,0.589356,15.473684210526315,7.1923076923076925
