,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.348766,2.66879,0.348766,2.66879,5,10,0,4,0.1224,l,2018-08-20 21:30:00,0,0,1,0,-2.320024,23.5,8.5
1,h,1.77944,0.924593,1.77944,0.924593,3,6,0,0,2.0948,d,2018-08-26 21:30:00,0,1,0,1,0.8548469999999999,9.173913043478262,9.766666666666667
2,a,0.491729,2.8529,0.491729,2.8529,1,13,0,1,0.1366,l,2018-09-02 18:30:00,0,0,1,0,-2.361171,18.38888888888889,7.6
3,h,0.413989,2.54241,0.413989,1.78123,3,16,0,5,0.1041,l,2018-09-15 18:30:00,0,0,1,0,-1.3672410000000002,14.0,8.714285714285714
4,h,0.0629851,2.91794,0.0629851,2.91794,1,16,0,2,0.0368,l,2018-09-23 18:30:00,0,0,1,0,-2.8549549,14.705882352941176,7.222222222222222
5,a,0.48896,2.53238,0.48896,2.53238,2,17,0,4,0.137,l,2018-09-26 19:00:00,0,0,1,0,-2.04342,34.0,14.235294117647058
6,h,1.28871,1.08662,0.52741,1.08662,5,7,1,2,1.5432,l,2018-09-30 13:00:00,0,0,1,0,-0.5592099999999999,8.9,11.904761904761905
7,a,1.94032,1.91949,1.94032,1.91949,3,4,2,3,1.3733,l,2018-10-05 18:30:00,0,0,1,0,0.020830000000000126,10.933333333333334,4.303030303030303
8,h,1.04742,1.19042,0.286119,1.19042,3,12,3,3,1.2419,d,2018-10-21 10:30:00,0,1,0,1,-0.904301,7.923076923076923,5.21875
9,a,1.35734,0.725282,1.35734,0.725282,3,13,3,0,1.9181000000000001,w,2018-10-28 13:00:00,1,0,0,3,0.632058,13.333333333333334,6.666666666666667
10,a,0.424829,0.584377,0.424829,0.584377,4,4,0,0,1.0711,d,2018-11-04 14:00:00,0,1,0,1,-0.15954800000000002,13.066666666666666,11.5
11,h,0.687012,2.17002,0.687012,2.17002,3,7,1,1,0.3871,d,2018-11-09 19:30:00,0,1,0,1,-1.483008,16.529411764705884,7.923076923076923
12,a,0.196243,2.90785,0.196243,2.90785,1,19,0,3,0.0693,l,2018-11-24 19:30:00,0,0,1,0,-2.711607,33.92857142857143,8.521739130434783
13,h,1.68906,1.8301,1.68906,1.8301,14,9,1,1,1.2405,d,2018-12-02 14:00:00,0,1,0,1,-0.14104000000000005,24.428571428571427,9.24
14,a,0.26732,2.43939,0.26732,2.43939,0,15,0,4,0.1133,l,2018-12-08 14:00:00,0,0,1,0,-2.1720699999999997,25.75,10.954545454545455
15,h,0.415045,1.17748,0.415045,1.17748,3,6,0,2,0.6815,l,2018-12-16 14:00:00,0,0,1,0,-0.7624350000000001,15.157894736842104,8.842105263157896
16,a,1.22269,0.369281,0.461432,0.369281,3,5,1,1,2.2697000000000003,d,2018-12-22 14:00:00,0,1,0,1,0.09215099999999998,11.04,15.4375
17,h,0.800634,1.66252,0.800634,1.66252,4,20,0,0,0.7213999999999999,d,2018-12-26 11:30:00,0,1,0,1,-0.861886,19.785714285714285,6.423076923076923
18,a,0.631157,1.03445,0.631157,1.03445,1,8,0,1,0.9439,l,2018-12-29 14:00:00,0,0,1,0,-0.4032930000000001,13.380952380952381,7.2
19,h,0.570805,2.5448,0.570805,2.5448,1,15,0,5,0.241,l,2019-01-20 11:30:00,0,0,1,0,-1.973995,23.470588235294116,10.222222222222221
20,a,1.58053,0.817511,1.58053,0.817511,2,10,4,0,2.0382,w,2019-01-27 14:00:00,1,0,0,3,0.763019,13.647058823529411,10.147058823529411
21,h,1.30235,1.17247,1.30235,1.17247,8,8,0,1,1.4785000000000001,l,2019-02-04 18:00:00,0,0,1,0,0.12988,12.947368421052632,9.806451612903226
22,a,1.01039,0.550312,1.01039,0.550312,4,8,1,0,1.8464999999999998,w,2019-02-10 14:00:00,1,0,0,3,0.4600779999999999,13.52,5.3076923076923075
23,a,0.632819,2.08342,0.632819,2.08342,2,8,0,3,0.3531,l,2019-02-15 19:30:00,0,0,1,0,-1.4506009999999998,17.333333333333332,9.636363636363637
24,h,1.66099,2.30167,1.66099,2.30167,6,6,2,3,0.8534999999999999,l,2019-02-23 19:30:00,0,0,1,0,-0.6406800000000001,7.914285714285715,7.407407407407407
25,a,0.160647,0.857275,0.160647,0.857275,1,10,0,0,0.6092,d,2019-03-03 14:00:00,0,1,0,1,-0.696628,11.761904761904763,4.153846153846154
26,h,1.10791,0.878122,1.10791,0.878122,2,6,1,2,1.5594999999999999,l,2019-03-10 14:00:00,0,0,1,0,0.229788,8.625,5.703703703703703
27,a,1.33238,2.33732,1.33238,1.57603,6,11,1,2,0.6472,l,2019-03-17 14:00:00,0,0,1,0,-0.24365000000000014,9.16,11.727272727272727
28,h,1.01961,0.230282,1.01961,0.230282,2,0,0,1,2.0789999999999997,l,2019-03-31 13:00:00,0,0,1,0,0.7893279999999999,3.82,16.8
29,h,1.95659,2.02283,1.19529,1.26153,4,2,3,2,1.2486,w,2019-04-03 20:00:00,1,0,0,3,-0.06624000000000008,7.0,20.307692307692307
30,a,0.733348,1.33491,0.733348,1.33491,1,4,1,0,0.8658,w,2019-04-07 11:30:00,1,0,0,3,-0.601562,10.045454545454545,6.7
31,h,0.789702,3.70567,0.789702,2.94437,3,8,1,3,0.0928,l,2019-04-14 19:30:00,0,0,1,0,-2.154668,14.966666666666667,7.882352941176471
32,a,0.848619,1.648,0.848619,0.8867,4,3,0,1,0.6938,l,2019-04-20 14:00:00,0,0,1,0,-0.03808100000000003,9.72,6.9
33,h,1.34557,2.27846,1.34557,2.27846,8,10,0,2,0.7772,l,2019-04-28 11:30:00,0,0,1,0,-0.93289,9.914285714285715,8.1
34,a,0.624983,2.06277,0.624983,2.06277,2,4,2,2,0.38470000000000004,d,2019-05-05 14:00:00,0,1,0,1,-1.4377870000000001,10.633333333333333,5.181818181818182
35,h,1.64928,2.53456,1.64928,2.53456,10,8,1,3,0.7464999999999999,l,2019-05-12 14:00:00,0,0,1,0,-0.8852799999999998,6.4375,11.333333333333334
36,a,1.66205,1.67301,0.900747,1.67301,3,6,0,2,1.3712,l,2019-05-19 16:00:00,0,0,1,0,-0.7722630000000001,35.111111111111114,10.210526315789474
37,h,0.56103,0.0239835,0.56103,0.0239835,8,1,0,0,1.8502,d,2019-05-25 13:00:00,0,1,0,1,0.5370465,7.606060606060606,9.076923076923077
