,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.348766,2.66879,0.348766,2.66879,5,10,0,4,0.1224,0,0,1,0,-2.320024,23.5,8.5
1,2.128206,3.593383,2.128206,3.593383,8,16,0,4,2.2172,0,1,1,1,-1.4651770000000002,16.336956521739133,9.133333333333333
2,2.619935,6.446283,2.619935,6.446283,9,29,0,5,2.3538,0,1,2,1,-3.8263480000000003,17.020933977455716,8.622222222222222
3,3.033924,8.988693,3.033924,8.227513,12,45,0,10,2.4579,0,1,3,1,-5.193589,16.265700483091788,8.645238095238096
4,3.0969091,11.906633,3.0969091,11.145453,13,61,0,12,2.4947,0,1,4,1,-8.0485439,15.953736857061665,8.36063492063492
5,3.5858691,14.439013,3.5858691,13.677833,15,78,0,16,2.6317,0,1,5,1,-10.0919639,18.96144738088472,9.33974478680361
6,4.8745791,15.525633,4.1132791,14.764453,20,85,1,18,4.1749,0,1,6,1,-10.6511739,17.524097755044046,9.706175803654796
7,6.8148991,17.445123,6.0535991,16.683943,23,89,3,21,5.5482,0,1,7,1,-10.6303439,16.70025220233021,9.030782616076733
8,7.8623191,18.635543,6.3397181,17.874363,26,101,6,24,6.7901,0,2,7,2,-11.5346449,15.7250105046354,8.607223436512651
9,9.2196591,19.360825,7.6970581,18.599645,29,114,9,24,8.7082,1,2,7,5,-10.9025869,15.485842787505195,8.413167759528054
10,9.6444881,19.945202,8.1218871,19.184022,33,118,9,24,9.7793,1,3,7,6,-11.0621349,15.265917685610782,8.69378887229823
11,10.3315001,22.115222,8.8088991,21.354042,36,125,10,25,10.1664,1,4,7,7,-12.5451429,15.371208858868707,8.629562876529787
12,10.5277431,25.023072,9.0051421,24.261892,37,144,10,28,10.2357,1,4,8,7,-15.256749899999999,16.79869828730738,8.621268742214788
13,12.2168031,26.853172,10.6942021,26.091992,51,153,11,29,11.476199999999999,1,5,8,8,-15.3977899,17.343689225969097,8.665463832056588
14,12.4841231,29.292562,10.9615221,28.531382,51,168,11,33,11.5895,1,5,9,8,-17.569859899999997,17.904109944237824,8.818069273555846
15,12.899168099999999,30.470042,11.376567099999999,29.708862,54,174,11,35,12.270999999999999,1,5,10,8,-18.332294899999997,17.73247149377559,8.819571522905974
