,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.20466,1.40451,1.20466,0.643213,7,5,0,1,1.1661000000000001,l,2018-08-19 21:30:00,0,0,1,0,0.561447,8.076923076923077,14.208333333333334
1,h,0.789096,0.921797,0.789096,0.921797,5,6,2,2,1.1959000000000002,d,2018-08-26 21:30:00,0,1,0,1,-0.13270099999999996,9.925925925925926,17.210526315789473
2,a,2.45978,0.494365,2.45978,0.494365,8,1,3,0,2.6839999999999997,w,2018-09-01 16:00:00,1,0,0,3,1.965415,9.352941176470589,33.285714285714285
3,h,1.38542,0.297443,1.38542,0.297443,11,2,0,1,2.2373,l,2018-09-15 13:00:00,0,0,1,0,1.087977,7.944444444444445,20.0
4,a,0.802538,0.399584,0.802538,0.399584,6,7,1,0,1.6872,w,2018-09-22 18:30:00,1,0,0,3,0.402954,12.090909090909092,13.944444444444445
5,h,1.85911,1.78872,1.09789,1.78872,7,11,2,1,1.4151,w,2018-09-25 19:00:00,1,0,0,3,-0.69083,7.689655172413793,5.046511627906977
6,h,1.05314,0.144417,1.05314,0.144417,4,7,2,0,2.2369,w,2018-09-29 18:30:00,1,0,0,3,0.908723,11.592592592592593,17.8125
7,a,1.34105,3.07945,1.34105,2.31816,10,2,2,1,0.3476,w,2018-10-07 18:30:00,1,0,0,3,-0.9771100000000001,8.647058823529411,8.84
8,h,2.09049,0.64662,2.09049,0.64662,3,2,1,0,2.3917,w,2018-10-21 18:30:00,1,0,0,3,1.44387,10.88,15.590909090909092
9,a,1.61907,1.23598,1.61907,1.23598,8,8,3,0,1.6711,w,2018-10-29 18:30:00,1,0,0,3,0.38308999999999993,11.61111111111111,15.172413793103448
10,h,3.36518,0.257795,3.36518,0.257795,5,4,5,0,2.9377,w,2018-11-03 14:00:00,1,0,0,3,3.107385,8.88888888888889,16.863636363636363
11,a,1.32091,4.13272,0.55961,4.13272,7,14,1,4,0.1194,l,2018-11-11 11:30:00,0,0,1,0,-3.57311,9.074074074074074,12.904761904761905
12,h,2.90785,0.196243,2.90785,0.196243,19,1,3,0,2.8845,w,2018-11-24 19:30:00,1,0,0,3,2.711607,8.521739130434783,33.92857142857143
