,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.25963,1.05146,2.25963,0.290159,9,1,3,2,2.269,1,0,0,3,1.969471,6.809523809523809,22.05
1,3.7668,1.36698,3.7668,0.6056790000000001,14,2,5,2,4.6852,2,0,0,6,3.1611209999999996,10.126984126984127,16.42155172413793
2,5.95093,3.27318,5.95093,2.511879,27,6,7,3,6.2317,3,0,0,9,3.439051,8.751322751322752,17.104563894523327
3,8.80163,4.013922,8.80163,3.252621,36,7,9,4,8.9601,4,0,0,12,5.549009,9.65964590964591,14.902496994966569
4,11.71957,4.0769071,11.71957,3.3156061,52,8,11,4,11.890400000000001,5,0,0,15,8.4039639,9.172161172161172,14.86317406656149
5,12.570827,4.4028781,12.570827,3.6415771,61,9,13,4,13.715100000000001,6,0,0,18,8.9292499,8.451159951159951,17.563061722134574
6,15.616137,5.8273981,15.616137,5.0660971,64,13,16,5,16.169,7,0,0,21,10.5500399,8.88385138670853,17.101671952305825
7,18.430537,6.5701951,18.430537,5.808894100000001,82,13,18,5,18.8796,8,0,0,24,12.6216429,8.800713713369964,17.60979629160093
8,20.277377,7.4233871,20.277377,6.662086100000001,88,14,19,6,21.0364,8,1,0,25,13.6152909,8.521781365289431,16.83833744438601
9,21.763097000000002,7.6959631,21.001796000000002,6.934662100000001,94,21,21,7,23.5382,9,1,0,28,14.0671339,8.293927553084812,16.359265604709314
10,23.876267000000002,8.4222751,23.114966000000003,7.660974100000001,106,25,24,8,25.9329,10,1,0,31,15.4539919,8.738281246606029,16.109213790842457
11,25.410917,9.2438591,24.649616,7.721258800000001,107,27,26,8,27.884999999999998,11,1,0,34,16.9283572,8.871202253833303,16.45196449345744
12,27.235137,9.5745621,26.473836000000002,8.0519618,111,28,28,8,30.4482,12,1,0,37,18.4218742,9.109226483644534,16.627454404217126
13,28.974257,10.7335821,27.451656000000003,9.2109818,115,33,31,8,32.2857,13,1,0,40,18.2406742,9.020255760786807,16.204660042011138
14,30.457077,11.7784321,28.934476000000004,10.255831800000001,122,38,32,8,34.031,14,1,0,43,18.6786442,9.213108275285077,15.651016039210397
15,31.807797,12.3885971,29.523900000000005,10.865996800000001,127,41,33,8,36.1137,15,1,0,46,18.6579032,9.027169960460713,15.430180477936219
16,34.086517,12.641608100000001,31.802620000000005,11.119007800000002,133,46,34,8,38.8674,16,1,0,49,20.6836122,9.076373866529869,15.048012998841932
17,35.137507,14.389448100000001,32.85361,12.866847800000002,136,57,36,10,39.695800000000006,16,2,0,50,19.986762199999998,9.426297540611543,14.646168655284871
18,36.556997,15.6230281,33.511802,13.339171800000003,140,58,38,11,41.168400000000005,17,2,0,53,20.172630199999997,9.436755564789882,14.437931103554813
19,40.484507,16.0978061,36.678012,13.813949800000003,151,60,41,11,44.11520000000001,18,2,0,56,22.864062199999996,9.535970418129336,14.638761821104344
20,41.762627,17.848126099999998,37.194868,15.564269800000003,154,66,43,12,45.10980000000001,19,2,0,59,21.630598199999994,9.569271546677799,14.392018060915703
21,43.923917,19.022596099999998,39.356158,16.738739800000005,179,70,46,15,47.17580000000001,19,3,0,60,22.617418199999996,9.546069364074798,14.627445811393558
22,46.033447,19.4605711,41.465688,17.176714800000006,185,75,49,15,49.77200000000001,20,3,0,63,24.288973199999997,9.637711833195292,14.623880973744038
23,48.116867,20.0933901,43.549108,17.809533800000008,193,77,52,15,52.255400000000016,21,3,0,66,25.739574199999996,9.637655658327306,14.736774822060257
24,48.710226999999996,21.3589901,44.142467999999994,19.075133800000007,195,86,53,15,52.93160000000002,22,3,0,69,25.067334199999998,9.570667950512732,14.481096932626123
25,49.296797999999995,23.4137401,44.72903899999999,20.368623800000005,199,91,55,16,53.25940000000002,23,3,0,72,24.3604152,9.745300379766515,14.28676902862402
26,52.03093799999999,23.5134451,46.701888999999994,20.468328800000005,207,94,59,17,56.18370000000002,24,3,0,75,26.2335602,9.844680788981512,14.398061533736712
27,52.34117599999999,24.5646751,47.01212699999999,21.519558800000006,215,103,59,19,56.85490000000002,24,3,1,75,25.4925682,9.751326804759644,14.390647771477408
28,53.68606599999999,24.932385099999998,48.35701699999999,21.887268800000005,220,105,60,19,59.07120000000002,25,3,1,78,26.4697482,9.781740822986324,14.267981756368991
29,56.92836599999999,25.384186099999997,51.59931699999999,22.339069800000004,231,108,62,19,61.93600000000002,26,3,1,81,29.260247200000002,10.08901612888678,14.135592241033235
30,58.78363599999999,26.857706099999998,52.69328699999999,23.812589800000005,237,116,64,20,63.60290000000002,27,3,1,84,28.880697200000004,10.142245622625355,14.08188243439649
31,59.30958599999999,27.841302099999996,53.21923699999999,24.796185800000003,244,120,65,22,64.50780000000002,27,3,2,84,28.423051200000003,10.035948595066461,14.0051048583216
32,60.21022999999999,29.286202099999997,54.11988099999999,26.241085800000004,251,127,67,23,65.39220000000002,28,3,2,87,27.878795200000003,10.060616819458387,14.3160612767563
33,60.79141899999999,30.642532099999997,54.701069999999994,27.597415800000004,256,135,68,24,66.07280000000002,28,4,2,88,27.1036542,10.304508712311687,14.217251290355538
34,62.11391899999999,31.2912701,56.02356999999999,28.246153800000005,267,137,69,25,67.99090000000001,28,5,2,89,27.7774162,10.215808463388496,14.007357474686394
35,63.16348899999999,32.6792401,57.073139999999995,29.634123800000005,278,144,69,27,69.08440000000002,28,5,3,89,27.4390162,10.246850820886964,14.176597544833994
36,64.040005,34.3451201,57.949656,31.300003800000006,285,149,70,28,69.83150000000002,28,6,3,90,26.649652200000002,10.164503501403532,14.038111978188411
37,64.52717999999999,35.032053100000006,58.436831,31.986936800000006,290,158,70,30,70.92990000000002,28,6,4,90,26.449894200000003,10.160174461892913,13.964740610341346
