,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.32688,0.998907,0.565578,0.998907,5,6,1,0,1.6983,w,2019-08-25 19:45:00,1,0,0,3,-0.43332899999999996,14.666666666666666,5.666666666666667
1,a,0.860645,1.9308,0.860645,1.9308,1,6,0,1,0.563,l,2019-08-31 17:00:00,0,0,1,0,-1.0701550000000002,11.333333333333334,5.633333333333334
2,h,1.14311,3.68503,1.14311,3.68503,5,10,3,4,0.1345,l,2019-09-15 13:00:00,0,0,1,0,-2.5419199999999997,14.80952380952381,4.208333333333333
3,a,0.810849,0.505205,0.810849,0.505205,6,3,1,0,1.6722,w,2019-09-21 13:00:00,1,0,0,3,0.305644,8.5,4.342105263157895
4,h,0.686153,1.88191,0.686153,1.88191,4,11,1,2,0.5177,l,2019-09-24 19:00:00,0,0,1,0,-1.195757,20.15,5.785714285714286
5,a,1.14541,2.50124,1.14541,2.50124,5,14,1,2,0.4903,l,2019-09-29 10:30:00,0,0,1,0,-1.35583,18.833333333333332,8.821428571428571
6,h,0.543738,0.82628,0.543738,0.82628,3,7,0,0,1.0858,d,2019-10-21 20:00:00,0,1,0,1,-0.28254199999999996,14.352941176470589,8.681818181818182
7,a,1.16628,1.12256,1.16628,1.12256,4,8,1,3,1.436,l,2019-10-26 19:45:00,0,0,1,0,0.04371999999999998,14.12,4.645161290322581
8,h,1.63039,0.769551,1.63039,0.769551,8,7,1,2,2.1601999999999997,l,2019-10-29 20:00:00,0,0,1,0,0.860839,16.38888888888889,6.75
9,a,0.975463,1.14031,0.975463,1.14031,11,5,1,2,1.1947,l,2019-11-03 14:00:00,0,0,1,0,-0.16484699999999997,11.4,7.833333333333333
10,h,0.59465,3.11135,0.59465,1.58876,4,10,0,4,0.12,l,2019-11-09 14:00:00,0,0,1,0,-0.9941099999999999,9.642857142857142,7.782608695652174
11,a,0.31479,2.51584,0.31479,2.51584,4,14,0,3,0.1204,l,2019-11-24 14:00:00,0,0,1,0,-2.20105,15.8125,7.37037037037037
12,h,1.2071,2.66863,1.2071,2.66863,4,12,0,3,0.5273,l,2019-11-30 14:00:00,0,0,1,0,-1.4615299999999998,11.75,5.148148148148148
13,a,1.91478,1.91592,1.91478,1.15462,4,7,1,0,1.3958,w,2019-12-08 14:00:00,1,0,0,3,0.76016,13.478260869565217,7.7727272727272725
14,h,3.67148,0.90603,3.67148,0.90603,8,4,3,0,2.8543000000000003,w,2019-12-14 14:00:00,1,0,0,3,2.76545,12.0,4.545454545454546
15,h,1.17578,0.702205,1.17578,0.702205,8,5,0,2,1.7240000000000002,l,2019-12-18 19:45:00,0,0,1,0,0.4735750000000001,11.428571428571429,7.25
16,a,1.9905,0.820014,1.9905,0.820014,5,2,1,1,2.3011,d,2019-12-22 14:00:00,0,1,0,1,1.170486,7.6,6.689655172413793
17,h,0.31406,1.75165,0.31406,0.990347,3,20,1,2,0.25529999999999997,l,2020-01-05 11:30:00,0,0,1,0,-0.676287,14.944444444444445,5.428571428571429
18,a,1.00697,3.22026,1.00697,2.45896,2,6,1,5,0.2399,l,2020-01-12 14:00:00,0,0,1,0,-1.45199,15.785714285714286,11.75
19,h,1.36518,3.55238,1.36518,2.79108,8,14,2,2,0.2798,d,2020-01-19 14:00:00,0,1,0,1,-1.4259,13.210526315789474,7.653846153846154
20,h,1.21977,2.15393,1.21977,2.15393,7,12,0,1,0.728,l,2020-01-24 19:45:00,0,0,1,0,-0.9341599999999999,8.26923076923077,8.64
21,a,0.835919,2.17197,0.0746207,2.17197,1,12,1,2,0.4014,l,2020-02-01 14:00:00,0,0,1,0,-2.0973493,13.238095238095237,6.04
22,h,0.712227,2.40665,0.712227,2.40665,2,23,1,1,0.3517,d,2020-02-09 14:00:00,0,1,0,1,-1.694423,10.363636363636363,4.620689655172414
23,a,0.242874,2.89308,0.242874,2.89308,0,14,0,2,0.0857,l,2020-02-16 14:00:00,0,0,1,0,-2.650206,19.625,5.264705882352941
24,h,1.28069,1.42319,1.28069,0.661932,7,4,1,2,1.2197999999999998,l,2020-02-21 19:45:00,0,0,1,0,0.6187580000000001,28.529411764705884,7.190476190476191
25,a,0.469272,2.12473,0.469272,2.12473,2,12,0,3,0.30210000000000004,l,2020-03-09 17:30:00,0,0,1,0,-1.6554579999999999,18.76,6.642857142857143
26,a,1.24254,2.16709,0.481242,2.16709,2,12,1,1,0.7221,d,2020-06-22 17:30:00,0,1,0,1,-1.685848,6.5625,6.217391304347826
27,h,1.49842,2.3274,1.49842,0.804843,7,8,2,2,0.7128,d,2020-06-27 15:15:00,0,1,0,1,0.6935770000000001,15.066666666666666,8.318181818181818
28,a,0.328274,4.23395,0.328274,3.47265,6,21,0,6,0.0083,l,2020-07-01 17:30:00,0,0,1,0,-3.144376,26.076923076923077,5.966666666666667
29,h,1.11957,0.673728,1.11957,0.673728,8,5,2,0,1.7483,w,2020-07-05 17:30:00,1,0,0,3,0.44584199999999996,29.0,5.608695652173913
30,a,1.43951,1.88812,1.43951,1.88812,3,13,1,3,1.0367,l,2020-07-08 19:45:00,0,0,1,0,-0.44860999999999995,11.24,6.193548387096774
31,h,1.42387,3.13472,1.42387,3.13472,3,10,0,3,0.4042,l,2020-07-11 17:30:00,0,0,1,0,-1.7108500000000002,11.576923076923077,7.7727272727272725
32,a,0.867428,2.44363,0.867428,2.44363,1,13,2,6,0.3931,l,2020-07-14 19:45:00,0,0,1,0,-1.5762020000000003,23.61111111111111,7.333333333333333
