,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.94205,1.94511,1.18075,1.18381,2,4,3,4,1.3383,l,2019-08-24 19:45:00,0,0,1,0,-0.0030600000000000627,10.096774193548388,7.533333333333333
1,a,1.80442,2.41153,1.04312,2.41153,3,7,1,2,1.0005,l,2019-09-01 19:45:00,0,0,1,0,-1.36841,9.2,6.038461538461538
2,h,1.47787,0.324648,1.47787,0.324648,6,5,0,0,2.3428999999999998,d,2019-09-14 13:00:00,0,1,0,1,1.153222,13.476190476190476,5.848484848484849
3,a,1.40952,1.44964,1.40952,1.44964,2,7,2,2,1.3573,d,2019-09-22 16:00:00,0,1,0,1,-0.040119999999999933,15.722222222222221,4.648648648648648
4,h,1.94827,0.642879,1.94827,0.642879,3,3,2,1,2.3301999999999996,w,2019-09-25 19:00:00,1,0,0,3,1.305391,6.933333333333334,21.733333333333334
5,a,3.00943,0.593975,1.48683,0.593975,5,3,3,1,2.8242,w,2019-09-29 18:45:00,1,0,0,3,0.8928550000000001,14.272727272727273,9.689655172413794
6,h,1.15966,0.77254,1.15966,0.77254,12,6,1,0,1.6775,w,2019-10-06 11:30:00,1,0,0,3,0.3871199999999999,13.235294117647058,14.5625
7,a,0.82628,0.543738,0.82628,0.543738,7,3,0,0,1.5193,d,2019-10-21 20:00:00,0,1,0,1,0.28254199999999996,8.681818181818182,14.352941176470589
8,h,0.563956,2.00858,0.563956,1.24728,2,5,1,2,0.3209,l,2019-10-27 19:45:00,0,0,1,0,-0.6833239999999999,17.4375,8.166666666666666
9,a,1.15444,0.958797,1.15444,0.958797,5,2,2,1,1.4873,w,2019-10-30 20:00:00,1,0,0,3,0.1956429999999999,7.102564102564102,14.333333333333334
10,h,1.36867,0.703957,1.36867,0.703957,8,0,1,1,1.9199000000000002,d,2019-11-03 17:00:00,0,1,0,1,0.664713,5.821428571428571,10.0
11,a,0.869022,3.21493,0.869022,3.21493,7,6,2,5,0.1595,l,2019-11-10 11:30:00,0,0,1,0,-2.3459079999999997,6.478260869565218,15.35
12,a,0.844664,1.51813,0.844664,1.51813,8,5,0,1,0.8263,l,2019-11-24 14:00:00,0,0,1,0,-0.673466,11.65,5.542857142857143
13,h,1.43717,1.11878,1.43717,1.11878,12,5,0,1,1.5488,l,2019-11-30 19:45:00,0,0,1,0,0.31838999999999995,7.875,9.366666666666667
14,a,1.92326,0.953465,1.92326,0.953465,4,0,1,2,2.1117,l,2019-12-08 14:00:00,0,0,1,0,0.969795,4.184210526315789,6.358974358974359
15,h,0.570393,1.02941,0.570393,1.02941,6,6,1,1,0.8862000000000001,d,2019-12-15 19:45:00,0,1,0,1,-0.4590169999999999,10.5,8.36
16,h,1.40532,1.726,1.40532,1.726,3,10,1,4,1.0976,l,2019-12-20 19:45:00,0,0,1,0,-0.3206800000000001,10.73076923076923,7.083333333333333
17,a,0.389787,0.869633,0.389787,0.869633,4,5,1,1,0.8149,d,2020-01-06 11:30:00,0,1,0,1,-0.479846,11.26086956521739,3.3
18,h,2.0568,1.29075,2.0568,1.29075,4,2,1,0,1.9321000000000002,w,2020-01-12 14:00:00,1,0,0,3,0.7660499999999999,13.08,14.23076923076923
19,a,0.78573,0.580972,0.78573,0.580972,5,4,2,0,1.5262,w,2020-01-18 19:45:00,1,0,0,3,0.204758,39.333333333333336,9.411764705882353
20,h,1.1429,1.57939,1.1429,0.818095,11,2,0,0,0.9628000000000001,d,2020-01-25 17:00:00,0,1,0,1,0.324805,14.65,6.571428571428571
21,a,0.913393,2.91178,0.913393,1.38918,2,7,0,3,0.19190000000000002,l,2020-02-02 11:30:00,0,0,1,0,-0.47578700000000007,19.85,4.958333333333333
22,h,0.427977,1.76133,0.427977,1.76133,2,12,1,2,0.3367,l,2020-02-08 14:00:00,0,0,1,0,-1.333353,12.434782608695652,4.481481481481482
23,a,3.03573,2.02602,1.51313,2.02602,1,9,5,1,2.1075,w,2020-02-16 14:00:00,1,0,0,3,-0.5128899999999998,16.0,7.702702702702703
24,h,2.00153,0.763896,1.24023,0.763896,8,1,1,1,2.3924,d,2020-02-22 19:45:00,0,1,0,1,0.4763339999999999,9.925925925925926,8.19047619047619
25,a,0.330345,0.930884,0.330345,0.930884,7,4,0,0,0.7267,d,2020-03-08 17:00:00,0,1,0,1,-0.600539,14.3125,13.458333333333334
26,h,2.16709,1.24254,2.16709,0.481242,12,2,1,1,2.0436,d,2020-06-22 17:30:00,0,1,0,1,1.685848,6.217391304347826,6.5625
27,a,0.51901,1.64791,0.51901,0.886653,3,1,1,2,0.4213,l,2020-06-27 19:45:00,0,0,1,0,-0.36764300000000005,15.0,7.333333333333333
28,h,1.30578,1.5301,1.30578,0.768802,9,4,1,3,1.1483,l,2020-07-01 19:45:00,0,0,1,0,0.536978,8.727272727272727,10.043478260869565
29,a,2.7301,1.30598,1.20762,0.544725,4,9,2,1,2.4593000000000003,w,2020-07-05 17:30:00,1,0,0,3,0.6628949999999999,13.35,8.73076923076923
30,h,0.505289,0.969869,0.505289,0.969869,14,3,0,0,0.859,d,2020-07-08 17:30:00,0,1,0,1,-0.46458,7.851851851851852,14.5
31,h,1.60925,0.592972,1.60925,0.592972,6,8,1,1,2.2470999999999997,d,2020-07-12 17:30:00,0,1,0,1,1.016278,9.6,6.181818181818182
32,a,2.58765,0.448154,1.82635,0.448154,6,7,3,1,2.7508,w,2020-07-15 19:45:00,1,0,0,3,1.378196,19.6,15.5
33,h,1.29061,0.236748,1.29061,0.236748,6,6,2,0,2.2695999999999996,w,2020-07-19 17:30:00,1,0,0,3,1.053862,19.933333333333334,5.743589743589744
34,a,0.632994,2.59401,0.632994,2.59401,5,8,0,0,0.2288,d,2020-07-22 19:45:00,0,1,0,1,-1.9610159999999999,27.666666666666668,4.742857142857143
