,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.408768,2.14366,0.408768,2.14366,5,11,0,4,0.2782,l,2019-08-26 19:45:00,0,0,1,0,-1.734892,20.75,7.576923076923077
1,h,0.994717,1.824,0.994717,1.824,9,14,0,1,0.7586999999999999,l,2019-09-01 19:45:00,0,0,1,0,-0.8292830000000001,13.75,12.68421052631579
2,a,1.25479,1.5512,1.25479,0.789902,6,4,2,1,1.0872,w,2019-09-16 18:45:00,1,0,0,3,0.4648880000000001,10.392857142857142,6.458333333333333
3,h,1.37591,3.0665,0.614611,2.3052,6,7,1,4,0.2882,l,2019-09-22 13:00:00,0,0,1,0,-1.6905890000000001,21.944444444444443,12.15
4,a,1.89438,0.924939,0.371781,0.924939,3,5,3,1,2.234,w,2019-09-25 19:00:00,1,0,0,3,-0.553158,25.1,10.894736842105264
5,h,0.793718,2.99876,0.793718,2.23746,4,15,0,1,0.2131,l,2019-09-29 13:00:00,0,0,1,0,-1.4437419999999999,20.466666666666665,6.705882352941177
6,a,0.999184,4.39219,0.999184,4.39219,6,12,1,3,0.09390000000000001,l,2019-10-06 14:00:00,0,0,1,0,-3.393006,20.785714285714285,6.40625
7,a,1.29111,1.7835,0.353509,1.7835,3,11,2,2,1.0151000000000001,d,2019-10-20 19:45:00,0,1,0,1,-1.429991,14.043478260869565,6.814814814814815
8,h,1.05543,3.57172,0.294135,2.81042,3,14,1,1,0.13940000000000002,d,2019-10-26 14:00:00,0,1,0,1,-2.5162850000000003,16.61111111111111,5.136363636363637
9,a,1.06001,1.64236,1.06001,1.64236,9,6,1,1,0.9109,d,2019-10-30 20:00:00,0,1,0,1,-0.5823500000000001,10.238095238095237,6.666666666666667
10,h,0.483324,2.17105,0.483324,2.17105,7,7,2,2,0.2455,d,2019-11-03 14:00:00,0,1,0,1,-1.687726,13.307692307692308,9.478260869565217
11,a,2.55559,3.65287,1.79429,2.89157,10,12,2,4,0.7641,l,2019-11-10 14:00:00,0,0,1,0,-1.0972800000000003,14.8125,17.23076923076923
12,h,4.09277,0.959475,3.33147,0.198176,15,0,2,2,2.9203,d,2019-11-25 15:00:00,0,1,0,1,3.133294,7.068965517241379,9.607142857142858
13,a,1.11878,1.43717,1.11878,1.43717,5,12,1,0,1.1468,w,2019-11-30 19:45:00,1,0,0,3,-0.31838999999999995,9.366666666666667,7.875
14,h,0.85727,2.55768,0.85727,1.79638,9,10,2,2,0.3372,d,2019-12-08 11:30:00,0,1,0,1,-0.9391100000000001,6.46875,5.783783783783784
15,a,0.90603,3.67148,0.90603,3.67148,4,8,0,3,0.0943,l,2019-12-14 14:00:00,0,0,1,0,-2.76545,4.545454545454546,12.0
16,h,1.19573,4.46396,1.19573,4.46396,2,6,2,3,0.0996,l,2019-12-22 14:00:00,0,0,1,0,-3.26823,12.15,10.08
17,h,0.752631,0.795554,0.752631,0.795554,6,8,0,1,1.2653,l,2020-01-06 17:00:00,0,0,1,0,-0.04292299999999993,9.214285714285714,11.761904761904763
18,a,0.803732,2.14614,0.803732,2.14614,10,6,0,2,0.43110000000000004,l,2020-01-13 19:45:00,0,0,1,0,-1.3424079999999998,11.0,8.806451612903226
19,h,1.01391,2.1611,1.01391,2.1611,2,12,1,1,0.6018,d,2020-01-19 14:00:00,0,1,0,1,-1.1471899999999997,53.666666666666664,7.0
20,a,0.460325,3.25786,0.460325,2.49668,4,11,0,3,0.0545,l,2020-01-26 14:00:00,0,0,1,0,-2.036355,24.866666666666667,6.0
21,h,2.39622,0.960359,1.63492,0.960359,3,7,4,0,2.3908,w,2020-02-02 17:00:00,1,0,0,3,0.674561,8.766666666666667,8.166666666666666
22,a,1.83334,3.48129,1.83334,3.48129,6,20,3,2,0.4339,w,2020-02-09 14:00:00,1,0,0,3,-1.64795,22.25,6.538461538461538
23,h,1.59786,1.36497,0.83656,1.36497,2,7,2,1,1.5804999999999998,w,2020-02-15 14:00:00,1,0,0,3,-0.52841,12.444444444444445,7.125
24,a,0.580412,3.81118,0.580412,3.81118,7,16,0,4,0.0599,l,2020-02-23 17:00:00,0,0,1,0,-3.230768,19.625,19.0
25,h,0.337033,5.40731,0.337033,5.40731,5,20,2,7,0.0031999999999999997,l,2020-03-01 14:00:00,0,0,1,0,-5.070277,16.904761904761905,6.6
26,h,1.25749,2.5353,0.496194,2.5353,4,10,1,4,0.5004,l,2020-06-22 17:30:00,0,0,1,0,-2.039106,21.0,9.321428571428571
27,a,0.31442,4.35037,0.31442,3.58907,4,11,0,4,0.0141,l,2020-06-26 19:45:00,0,0,1,0,-3.27465,33.0,11.88888888888889
