,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,1.48495,1.70129,1.48495,1.70129,4,5,2,3,1.2173,l,2019-08-25 19:45:00,0,0,1,0,-0.21633999999999998,12.863636363636363,6.066666666666666
1,a,0.850525,3.76497,0.850525,3.76497,6,5,0,1,0.10060000000000001,l,2019-08-30 19:45:00,0,0,1,0,-2.9144449999999997,8.346153846153847,5.153846153846154
2,h,1.10476,1.46024,1.10476,0.698943,8,12,2,1,1.0344,w,2019-09-15 13:00:00,1,0,0,3,0.405817,21.833333333333332,14.058823529411764
3,a,0.923321,2.01353,0.923321,2.01353,7,9,0,3,0.6223,l,2019-09-22 10:30:00,0,0,1,0,-1.0902089999999998,12.826086956521738,11.291666666666666
4,h,0.924939,1.89438,0.924939,0.371781,5,3,1,3,0.5522,l,2019-09-25 19:00:00,0,0,1,0,0.553158,10.894736842105264,25.1
5,a,0.160279,2.36566,0.160279,2.36566,2,8,0,2,0.1148,l,2019-09-28 13:00:00,0,0,1,0,-2.205381,22.0,5.588235294117647
6,h,1.30807,0.238942,1.30807,0.238942,4,0,1,0,2.3404999999999996,w,2019-10-05 14:00:00,1,0,0,3,1.069128,12.055555555555555,10.466666666666667
7,a,0.917756,1.14716,0.917756,1.14716,4,3,0,2,1.1417,l,2019-10-20 14:00:00,0,0,1,0,-0.22940399999999994,9.882352941176471,10.0
8,h,0.470344,0.898916,0.470344,0.898916,2,8,1,1,0.8665,d,2019-10-27 14:00:00,0,1,0,1,-0.42857200000000006,14.681818181818182,7.857142857142857
9,a,0.335973,1.90677,0.335973,1.90677,1,8,0,1,0.22490000000000002,l,2019-10-31 20:00:00,0,0,1,0,-1.570797,7.78125,6.333333333333333
10,h,0.501251,0.857291,0.501251,0.857291,1,3,0,1,0.914,l,2019-11-04 19:45:00,0,0,1,0,-0.35604,7.352941176470588,9.391304347826088
11,a,1.95747,1.60289,1.19617,1.60289,3,10,0,0,1.6578,d,2019-11-10 14:00:00,0,1,0,1,-0.40671999999999997,12.19047619047619,9.75
12,h,2.44472,1.71849,1.68342,1.71849,2,8,1,1,1.9533999999999998,d,2019-11-25 19:45:00,0,1,0,1,-0.03507000000000016,13.636363636363637,8.473684210526315
13,a,1.15284,2.136,1.15284,2.136,4,9,1,2,0.7011999999999999,l,2019-12-01 14:00:00,0,0,1,0,-0.98316,19.8125,8.666666666666666
14,h,1.91592,1.91478,1.15462,1.91478,7,4,0,1,1.3076,l,2019-12-08 14:00:00,0,0,1,0,-0.76016,7.7727272727272725,13.478260869565217
15,a,1.11044,3.697,0.34914,2.93571,1,12,1,3,0.11069999999999999,l,2019-12-15 17:00:00,0,0,1,0,-2.58657,16.26086956521739,9.85
16,a,0.948561,1.24219,0.948561,1.24219,6,9,2,1,1.0912,w,2019-12-21 19:45:00,1,0,0,3,-0.2936289999999999,5.03125,5.571428571428571
17,h,1.60395,2.52979,1.60395,2.52979,4,10,0,2,0.8031,l,2020-01-05 14:00:00,0,0,1,0,-0.9258400000000002,9.842105263157896,8.06060606060606
18,a,1.29075,2.0568,1.29075,2.0568,2,4,0,1,0.8218,l,2020-01-12 14:00:00,0,0,1,0,-0.7660499999999999,14.23076923076923,13.08
19,a,1.21091,2.45221,1.21091,2.45221,4,13,2,1,0.5803,w,2020-01-20 19:45:00,1,0,0,3,-1.2413,10.846153846153847,6.225806451612903
20,h,1.66537,2.38713,0.90407,2.38713,5,6,1,3,0.8732,l,2020-01-25 14:00:00,0,0,1,0,-1.48306,5.857142857142857,8.869565217391305
21,a,0.830374,2.74294,0.830374,2.74294,7,15,1,5,0.2685,l,2020-02-02 14:00:00,0,0,1,0,-1.912566,12.884615384615385,10.607142857142858
