,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.777545,0.633654,0.777545,0.633654,2,3,1,0,1.4322,w,2019-08-25 17:00:00,1,0,0,3,0.143891,19.444444444444443,10.0
1,h,1.69727,1.21449,1.69727,1.21449,5,6,1,3,1.6936,l,2019-09-01 19:45:00,0,0,1,0,0.48278,13.285714285714286,9.96551724137931
2,a,0.250925,1.56746,0.250925,1.56746,2,6,0,1,0.31579999999999997,l,2019-09-14 18:45:00,0,0,1,0,-1.316535,27.642857142857142,9.863636363636363
3,h,0.505205,0.810849,0.505205,0.810849,3,6,0,1,0.9429000000000001,l,2019-09-21 13:00:00,0,0,1,0,-0.305644,4.342105263157895,8.5
4,a,0.814274,0.973188,0.814274,0.973188,3,6,0,0,1.1926,d,2019-09-24 17:00:00,0,1,0,1,-0.158914,10.407407407407407,10.11111111111111
5,h,0.838641,0.759433,0.838641,0.759433,6,7,1,0,1.3883,w,2019-09-29 13:00:00,1,0,0,3,0.07920799999999995,11.608695652173912,4.75
6,a,0.77254,1.15966,0.77254,1.15966,6,12,0,1,0.9962,l,2019-10-06 11:30:00,0,0,1,0,-0.3871199999999999,14.5625,13.235294117647058
7,h,1.87593,0.603538,1.87593,0.603538,8,3,1,0,2.4748,w,2019-10-20 14:00:00,1,0,0,3,1.272392,12.782608695652174,4.055555555555555
8,a,0.477769,5.83297,0.477769,4.31038,2,16,1,7,0.0018,l,2019-10-27 14:00:00,0,0,1,0,-3.8326110000000004,23.818181818181817,6.387096774193548
9,h,0.557164,3.28214,0.557164,2.52084,6,5,0,4,0.0884,l,2019-10-30 20:00:00,0,0,1,0,-1.9636760000000002,8.703703703703704,14.608695652173912
10,a,1.39908,1.48183,1.39908,1.48183,13,5,3,1,1.3055,w,2019-11-03 14:00:00,1,0,0,3,-0.08274999999999988,12.185185185185185,7.6521739130434785
11,h,1.60289,1.95747,1.60289,1.19617,10,3,0,0,1.0863,d,2019-11-10 14:00:00,0,1,0,1,0.40671999999999997,9.75,12.19047619047619
12,a,0.281611,2.13455,0.281611,1.37325,4,5,1,2,0.1526,l,2019-11-24 17:00:00,0,0,1,0,-1.091639,12.894736842105264,13.4375
13,a,0.749962,2.91567,0.749962,1.39307,5,7,0,3,0.1751,l,2019-12-01 14:00:00,0,0,1,0,-0.643108,14.26086956521739,13.958333333333334
