,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.27481,1.36058,1.27481,1.36058,5,2,3,2,1.2491,w,2020-09-26 16:00:00,1,0,0,3,-0.0857699999999999,8.3125,14.428571428571429
1,h,1.2507,4.53244,1.2507,4.53244,2,12,2,5,0.0633,l,2020-09-30 16:00:00,0,0,1,0,-3.28174,21.35,7.32
2,h,0.8907,1.82239,0.8907,1.82239,6,5,1,0,0.6577,w,2020-10-04 13:00:00,1,0,0,3,-0.9316899999999999,8.96,6.083333333333333
3,a,1.55972,4.18819,0.650065,3.42693,4,13,2,5,0.1279,l,2020-10-18 18:45:00,0,0,1,0,-2.776865,12.954545454545455,7.514285714285714
4,h,0.650046,2.26936,0.650046,2.26936,4,11,1,2,0.3498,l,2020-10-25 14:00:00,0,0,1,0,-1.6193139999999997,17.3,6.3076923076923075
5,a,1.60386,2.51742,1.60386,2.51742,5,8,1,3,0.7637,l,2020-11-02 19:45:00,0,0,1,0,-0.9135599999999999,6.121212121212121,7.0
6,h,0.251291,1.45194,0.251291,1.45194,4,4,0,3,0.38,l,2020-11-07 17:00:00,0,0,1,0,-1.200649,14.25,7.814814814814815
7,a,0.565303,1.21172,0.565303,1.21172,5,8,1,0,0.7211000000000001,w,2020-11-22 11:30:00,1,0,0,3,-0.6464169999999999,10.551724137931034,4.857142857142857
8,h,0.439998,1.64625,0.439998,1.64625,3,16,1,1,0.4369,d,2020-11-28 17:00:00,0,1,0,1,-1.206252,29.75,7.538461538461538
9,a,0.340508,0.501198,0.340508,0.501198,3,5,0,0,1.0863,d,2020-12-06 14:00:00,0,1,0,1,-0.16069000000000006,27.25,10.333333333333334
10,a,2.09826,1.08927,2.09826,0.328134,10,5,0,1,2.1288,l,2020-12-11 19:45:00,0,0,1,0,1.7701259999999999,9.62962962962963,13.055555555555555
11,h,1.43093,0.416738,1.43093,0.416738,5,5,1,1,2.2789,d,2020-12-15 19:45:00,0,1,0,1,1.014192,31.3,6.96969696969697
12,h,1.55436,0.245022,0.793146,0.245022,6,3,2,0,2.5631000000000004,w,2020-12-20 14:00:00,1,0,0,3,0.5481240000000001,14.38888888888889,5.516129032258065
13,a,0.338064,2.4683,0.338064,2.4683,3,8,2,0,0.1397,w,2020-12-23 19:45:00,1,0,0,3,-2.130236,16.666666666666668,4.116279069767442
14,h,2.34965,1.53692,1.58835,0.77566,13,5,0,2,1.9915,l,2021-01-03 17:00:00,0,0,1,0,0.8126899999999999,9.8,12.590909090909092
15,a,1.23401,1.16751,1.23401,1.16751,6,9,2,1,1.3852,w,2021-01-06 11:30:00,1,0,0,3,0.0665,12.08,12.357142857142858
16,h,0.945676,4.0811,0.945676,4.0811,1,21,1,4,0.0885,l,2021-01-09 14:00:00,0,0,1,0,-3.1354240000000004,16.8125,4.795454545454546
17,a,2.46021,1.49503,2.46021,1.49503,11,6,1,4,2.009,l,2021-01-17 14:00:00,0,0,1,0,0.9651799999999999,6.586206896551724,12.05
18,h,1.60271,1.4463,0.841408,1.4463,3,3,2,2,1.5418999999999998,d,2021-01-22 19:45:00,0,1,0,1,-0.6048919999999999,25.0,4.483870967741935
19,a,0.0,1.65732,0.0,1.65732,4,10,0,4,0.1375,l,2021-01-30 19:45:00,0,0,1,0,-1.65732,18.1,9.10344827586207
20,h,0.949104,1.70084,0.949104,1.70084,7,4,1,1,0.7579,d,2021-02-07 11:30:00,0,1,0,1,-0.751736,11.75,5.2272727272727275
21,a,0.80004,1.91922,0.80004,1.91922,5,10,1,1,0.5275,d,2021-02-12 19:45:00,0,1,0,1,-1.11918,10.32,7.458333333333333
22,h,0.24834,0.917367,0.24834,0.917367,0,8,0,0,0.6118,d,2021-02-21 19:45:00,0,1,0,1,-0.669027,23.23076923076923,3.8666666666666667
23,a,0.430179,2.34858,0.430179,2.34858,2,5,0,2,0.1366,l,2021-02-28 17:00:00,0,0,1,0,-1.9184010000000002,17.11111111111111,8.692307692307692
24,h,0.345715,1.81493,0.345715,1.81493,8,10,0,3,0.2888,l,2021-03-03 19:45:00,0,0,1,0,-1.469215,13.529411764705882,9.52
25,a,0.319654,1.68194,0.319654,1.68194,5,3,1,1,0.2589,d,2021-03-06 14:00:00,0,1,0,1,-1.362286,15.363636363636363,4.857142857142857
26,h,1.543,2.26928,1.543,2.26928,6,3,1,4,0.8739999999999999,l,2021-03-13 17:00:00,0,0,1,0,-0.7262800000000003,6.7727272727272725,12.32
27,a,0.247326,2.31196,0.247326,2.31196,4,4,1,0,0.1575,w,2021-03-21 14:00:00,1,0,0,3,-2.064634,11.25925925925926,3.103448275862069
28,h,1.38823,1.2091,1.38823,1.2091,3,11,2,2,1.5271,d,2021-04-03 13:00:00,0,1,0,1,0.17913,12.74074074074074,4.96
29,h,0.392283,1.28252,0.392283,1.28252,5,7,0,1,0.5912999999999999,l,2021-04-12 18:45:00,0,0,1,0,-0.8902370000000002,27.333333333333332,4.851851851851852
30,a,1.40017,3.64262,0.638869,2.02167,4,9,3,5,0.18220000000000003,l,2021-04-18 13:00:00,0,0,1,0,-1.3828009999999997,14.26086956521739,11.823529411764707
31,a,1.03972,1.28057,0.278424,1.28057,4,6,2,2,1.1053000000000002,d,2021-04-21 18:45:00,0,1,0,1,-1.002146,14.375,8.75
32,h,2.51862,1.34953,1.75733,1.34953,14,9,2,4,2.2113,l,2021-04-25 10:30:00,0,0,1,0,0.40780000000000016,8.136363636363637,18.153846153846153
33,a,0.742758,3.44683,0.742758,3.44683,6,20,0,2,0.1378,l,2021-05-01 18:45:00,0,0,1,0,-2.704072,19.5625,14.625
34,h,1.11891,1.94848,1.11891,1.94848,8,3,1,3,0.7,l,2021-05-09 13:00:00,0,0,1,0,-0.8295699999999999,6.05,10.529411764705882
35,a,0.183599,1.79069,0.183599,1.79069,6,18,0,2,0.21839999999999998,l,2021-05-12 18:45:00,0,0,1,0,-1.6070909999999998,18.705882352941178,5.64
36,h,1.7951,1.10271,1.7951,1.10271,12,6,1,1,1.8782999999999999,d,2021-05-16 13:00:00,0,1,0,1,0.6923899999999998,10.375,16.0
37,a,0.349447,1.35452,0.349447,1.35452,3,7,1,1,0.4822,d,2021-05-23 18:45:00,0,1,0,1,-1.0050729999999999,24.307692307692307,12.666666666666666
