,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,0.160985,1.54079,0.160985,1.54079,7,7,0,2,0.1611,l,2020-09-20 10:30:00,0,0,1,0,-1.3798050000000002,19.42105263157895,12.173913043478262
1,a,1.2448,2.04715,1.2448,2.04715,3,7,1,4,0.8106,l,2020-09-28 18:45:00,0,0,1,0,-0.8023499999999999,10.571428571428571,7.357142857142857
2,h,1.23442,0.633776,1.23442,0.633776,3,10,1,0,1.9122,w,2020-10-04 13:00:00,1,0,0,3,0.6006440000000001,24.333333333333332,6.818181818181818
3,a,0.96514,1.71631,0.96514,1.71631,3,9,2,3,0.7896000000000001,l,2020-10-18 16:00:00,0,0,1,0,-0.75117,10.88888888888889,11.344827586206897
4,h,3.67014,0.965076,2.90884,0.965076,6,6,2,2,2.7921,d,2020-10-25 14:00:00,0,1,0,1,1.943764,12.909090909090908,8.84
5,a,0.760875,3.0518,0.760875,3.0518,2,10,2,2,0.185,d,2020-10-31 17:00:00,0,1,0,1,-2.290925,28.11111111111111,4.027777777777778
6,h,0.131692,0.814627,0.131692,0.814627,3,3,0,0,0.5567,d,2020-11-07 19:45:00,0,1,0,1,-0.682935,16.5,8.35483870967742
7,a,0.0318982,3.20915,0.0318982,3.20915,1,20,0,3,0.0164,l,2020-11-22 14:00:00,0,0,1,0,-3.1772518,27.375,12.366666666666667
8,a,1.40499,1.58372,1.40499,1.58372,6,3,2,1,1.1981000000000002,w,2020-11-30 19:45:00,1,0,0,3,-0.17873000000000006,8.633333333333333,8.714285714285714
9,h,0.501198,0.340508,0.501198,0.340508,5,3,0,0,1.4214,d,2020-12-06 14:00:00,0,1,0,1,0.16069000000000006,10.333333333333334,27.25
10,a,0.603434,1.8515,0.603434,1.8515,2,8,2,2,0.4529,d,2020-12-13 19:45:00,0,1,0,1,-1.248066,17.11111111111111,7.913043478260869
11,h,0.870374,0.265316,0.870374,0.265316,7,3,0,0,1.9554999999999998,d,2020-12-16 19:45:00,0,1,0,1,0.605058,8.52,13.454545454545455
12,h,0.926619,2.80045,0.926619,2.80045,4,15,0,4,0.254,l,2020-12-19 19:45:00,0,0,1,0,-1.873831,25.294117647058822,7.545454545454546
13,a,1.50226,0.7999,1.50226,0.7999,5,2,1,2,1.9156999999999997,l,2020-12-22 17:30:00,0,0,1,0,0.7023599999999999,5.523809523809524,8.708333333333334
14,h,0.846876,1.67327,0.846876,1.67327,4,5,0,3,0.7252000000000001,l,2021-01-03 14:00:00,0,0,1,0,-0.8263940000000001,6.4324324324324325,16.157894736842106
15,a,0.0467904,2.38532,0.0467904,2.38532,0,11,0,3,0.0644,l,2021-01-06 14:00:00,0,0,1,0,-2.3385296,16.1875,16.17391304347826
16,h,0.38214,3.416,0.38214,3.416,3,11,0,2,0.0456,l,2021-01-10 14:00:00,0,0,1,0,-3.03386,12.083333333333334,15.333333333333334
17,a,0.698377,1.81397,0.698377,1.05267,1,13,1,1,0.49219999999999997,d,2021-01-17 14:00:00,0,1,0,1,-0.35429299999999997,10.666666666666666,7.9523809523809526
18,h,1.05418,2.1892,1.05418,2.1892,6,4,0,2,0.5387,l,2021-01-24 19:45:00,0,0,1,0,-1.1350200000000001,7.709677419354839,10.96
19,a,0.540369,1.05768,0.540369,1.05768,4,2,0,2,0.8274,l,2021-01-31 17:00:00,0,0,1,0,-0.517311,11.56,11.413793103448276
20,h,0.787202,1.45085,0.787202,1.45085,7,3,0,3,0.8122,l,2021-02-07 17:00:00,0,0,1,0,-0.663648,7.147058823529412,12.875
21,a,1.28195,1.25993,0.520654,1.25993,3,8,1,2,1.3659000000000001,l,2021-02-15 19:45:00,0,0,1,0,-0.739276,7.95,5.146341463414634
22,h,2.71894,1.34636,1.95768,1.34636,8,6,2,2,2.3163,d,2021-02-21 11:30:00,0,1,0,1,0.6113200000000001,10.727272727272727,9.791666666666666
23,a,1.22437,1.50261,1.22437,1.50261,4,4,2,2,1.0834,d,2021-02-27 14:00:00,0,1,0,1,-0.27824000000000004,8.461538461538462,5.486486486486487
24,h,0.807935,3.45928,0.807935,3.45928,3,11,1,2,0.1367,l,2021-03-04 19:45:00,0,0,1,0,-2.651345,17.055555555555557,12.10344827586207
25,a,2.66766,1.2552,1.90636,1.2552,4,3,3,3,2.4333,d,2021-03-07 14:00:00,0,1,0,1,0.65116,6.103448275862069,12.48
26,h,2.09688,1.6811,1.33566,1.6811,3,19,2,0,1.7382,w,2021-03-14 14:00:00,1,0,0,3,-0.34543999999999997,11.826086956521738,7.6875
27,h,2.09686,0.896292,2.09686,0.896292,9,0,1,2,2.2887,l,2021-03-19 19:45:00,0,0,1,0,1.200568,6.966666666666667,21.705882352941178
28,a,1.2091,1.38823,1.2091,1.38823,11,3,2,2,1.1353,d,2021-04-03 13:00:00,0,1,0,1,-0.17913,4.96,12.74074074074074
29,h,1.7023,1.0074,1.7023,1.0074,11,6,1,3,1.9595999999999998,l,2021-04-10 16:00:00,0,0,1,0,0.6948999999999999,12.578947368421053,16.7
30,a,1.6174,2.36238,1.6174,2.36238,5,9,3,4,0.8561000000000001,l,2021-04-17 18:45:00,0,0,1,0,-0.74498,13.047619047619047,8.882352941176471
31,a,1.3096,2.49694,1.3096,2.49694,2,5,1,3,0.6248,l,2021-04-21 18:45:00,0,0,1,0,-1.1873399999999998,12.64516129032258,12.666666666666666
32,h,2.13448,2.71958,2.13448,1.95828,5,2,3,4,0.9693,l,2021-04-24 16:00:00,0,0,1,0,0.1761999999999999,7.285714285714286,24.363636363636363
33,a,0.402756,1.35363,0.402756,1.35363,2,7,0,1,0.5034,l,2021-05-03 18:45:00,0,0,1,0,-0.9508740000000001,7.107142857142857,11.31578947368421
34,h,1.05585,3.16517,1.05585,3.16517,3,17,2,5,0.23070000000000002,l,2021-05-09 13:00:00,0,0,1,0,-2.10932,14.619047619047619,15.736842105263158
35,a,0.569751,1.35561,0.569751,1.35561,3,14,0,1,0.6927000000000001,l,2021-05-12 18:45:00,0,0,1,0,-0.785859,14.15,11.714285714285714
36,h,0.998801,2.48538,0.998801,1.72408,8,17,1,3,0.42169999999999996,l,2021-05-16 16:00:00,0,0,1,0,-0.725279,23.529411764705884,9.136363636363637
37,a,0.720234,1.34869,0.720234,1.34869,5,6,0,3,0.8112999999999999,l,2021-05-22 18:45:00,0,0,1,0,-0.6284559999999999,17.36842105263158,26.571428571428573
