,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.606523,2.14288,0.606523,2.14288,1,10,0,3,0.2977,l,2020-09-20 18:45:00,0,0,1,0,-1.5363569999999998,21.65,6.793103448275862
1,h,1.36058,1.27481,1.36058,1.27481,2,5,2,3,1.43,l,2020-09-26 16:00:00,0,0,1,0,0.0857699999999999,14.428571428571429,8.3125
2,a,2.18148,2.02799,1.42022,2.02799,6,5,2,1,1.4843000000000002,w,2020-10-02 18:45:00,1,0,0,3,-0.6077699999999999,12.478260869565217,8.210526315789474
3,h,1.83414,0.454609,1.83414,0.454609,8,8,3,0,2.4888999999999997,w,2020-10-17 16:00:00,1,0,0,3,1.379531,14.4,12.652173913043478
4,a,2.49916,2.09742,1.7379,1.33612,3,12,3,1,1.7012,w,2020-10-24 13:00:00,1,0,0,3,0.40178,10.133333333333333,7.269230769230769
5,h,0.858208,1.18373,0.858208,1.18373,7,5,1,1,1.0462,d,2020-11-01 19:45:00,0,1,0,1,-0.325522,7.484848484848484,13.041666666666666
6,a,0.134345,1.89967,0.134345,1.13837,4,5,0,2,0.133,l,2020-11-07 14:00:00,0,0,1,0,-1.0040250000000002,8.295454545454545,9.407407407407407
7,h,0.817944,1.73409,0.817944,1.73409,2,4,1,2,0.6336999999999999,l,2020-11-22 14:00:00,0,0,1,0,-0.9161459999999999,9.714285714285714,8.272727272727273
8,a,1.38058,1.63863,1.38058,1.63863,9,5,2,2,1.178,d,2020-11-30 17:30:00,0,1,0,1,-0.2580500000000001,12.037037037037036,10.444444444444445
9,h,0.986547,2.66831,0.986547,1.90701,3,12,1,2,0.3559,l,2020-12-06 19:45:00,0,0,1,0,-0.9204630000000001,17.05263157894737,4.961538461538462
10,a,0.713804,1.51835,0.713804,1.51835,2,8,1,2,0.7179,l,2020-12-13 14:00:00,0,0,1,0,-0.8045460000000001,20.80952380952381,11.333333333333334
11,a,0.779474,1.49333,0.779474,0.732072,10,5,2,1,0.6634,w,2020-12-16 19:45:00,1,0,0,3,0.047402000000000055,7.657894736842105,6.666666666666667
12,h,2.48022,1.04297,2.48022,0.281673,3,4,3,1,2.5535000000000005,w,2020-12-19 17:00:00,1,0,0,3,2.198547,7.808510638297872,9.947368421052632
13,h,1.6455,2.16381,1.6455,2.16381,9,9,2,3,0.9977,l,2020-12-23 19:45:00,0,0,1,0,-0.5183099999999998,8.176470588235293,11.6875
14,a,0.229603,2.40692,0.229603,2.40692,3,8,0,1,0.1404,l,2021-01-03 14:00:00,0,0,1,0,-2.177317,13.607142857142858,4.645161290322581
15,h,1.3375,2.49173,0.576203,1.64717,4,7,2,1,0.578,w,2021-01-06 14:00:00,1,0,0,3,-1.070967,25.454545454545453,7.714285714285714
16,a,0.433748,1.71534,0.433748,0.954044,9,3,1,2,0.33219999999999994,l,2021-01-11 19:45:00,0,0,1,0,-0.520296,12.521739130434783,7.826086956521739
17,h,1.50541,2.78281,0.744114,2.78281,7,5,2,1,0.4636,w,2021-01-16 19:45:00,1,0,0,3,-2.038696,8.625,14.61111111111111
18,a,2.1892,1.05418,2.1892,1.05418,4,6,2,0,2.2546999999999997,w,2021-01-24 19:45:00,1,0,0,3,1.1350200000000001,10.96,7.709677419354839
19,h,0.240857,1.63913,0.240857,1.63913,2,9,0,2,0.2457,l,2021-01-30 17:00:00,0,0,1,0,-1.398273,18.695652173913043,8.8
20,a,1.70084,0.949104,1.70084,0.949104,4,7,1,1,1.9966000000000002,d,2021-02-07 11:30:00,0,1,0,1,0.751736,5.2272727272727275,11.75
21,h,1.37373,1.28041,1.37373,1.28041,3,6,2,1,1.4637,w,2021-02-14 14:00:00,1,0,0,3,0.09331999999999985,7.074074074074074,7.0
22,a,1.27226,1.36887,1.27226,1.36887,6,10,0,1,1.2879,l,2021-02-20 14:00:00,0,0,1,0,-0.09661000000000008,9.96875,6.266666666666667
23,h,0.459133,1.37431,0.459133,1.37431,3,12,0,2,0.6393,l,2021-02-28 11:30:00,0,0,1,0,-0.9151769999999999,10.966666666666667,11.5
24,a,0.554452,0.282448,0.554452,0.282448,4,6,1,1,1.5579,d,2021-03-03 19:45:00,0,1,0,1,0.27200399999999997,12.192307692307692,9.34375
25,h,0.52749,0.979884,0.52749,0.979884,4,2,2,2,0.8307,d,2021-03-07 17:00:00,0,1,0,1,-0.45239399999999996,10.75,12.25
26,a,1.56796,2.26652,1.56796,2.26652,9,6,1,3,0.8584,l,2021-03-14 11:30:00,0,0,1,0,-0.6985599999999998,8.423076923076923,10.08695652173913
27,h,0.774348,0.739358,0.774348,0.739358,3,4,1,0,1.3637,w,2021-03-21 14:00:00,1,0,0,3,0.03499000000000008,11.44,5.434782608695652
28,a,1.01539,0.96551,1.01539,0.96551,4,17,1,1,1.4297000000000002,d,2021-04-03 10:30:00,0,1,0,1,0.049880000000000035,13.826086956521738,8.095238095238095
29,h,0.904896,1.89882,0.904896,1.89882,8,11,0,2,0.7035,l,2021-04-11 13:00:00,0,0,1,0,-0.9939239999999999,8.703703703703704,14.0
30,h,1.94443,1.31995,1.18321,1.31995,7,7,3,1,1.8712000000000002,w,2021-04-17 13:00:00,1,0,0,3,-0.13673999999999986,7.863636363636363,14.5
