,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,2.0285,0.95973,2.0285,0.95973,15,4,1,1,2.1256,d,2020-09-20 16:00:00,0,1,0,1,1.0687700000000002,9.263157894736842,18.636363636363637
1,a,2.6497,1.29116,1.8884,1.29116,16,6,4,1,2.2827,w,2020-09-27 10:30:00,1,0,0,3,0.59724,7.2592592592592595,27.9375
2,h,1.85563,1.5945,1.09433,0.833203,4,13,4,1,1.5957,w,2020-10-03 13:00:00,1,0,0,3,0.261127,8.346153846153847,9.741935483870968
3,a,3.23668,1.45422,3.23668,1.45422,10,6,4,3,2.4268,w,2020-10-18 10:30:00,1,0,0,3,1.7824599999999997,7.6,6.290322580645161
4,h,1.69093,2.08517,1.69093,2.08517,13,7,3,3,1.0933,d,2020-10-23 18:45:00,0,1,0,1,-0.39424000000000015,5.0,20.523809523809526
5,a,1.52493,2.14387,0.763631,2.14387,2,9,2,0,0.9415,w,2020-11-01 17:00:00,1,0,0,3,-1.3802390000000002,25.22222222222222,16.178571428571427
6,h,0.0834694,0.0917939,0.0834694,0.0917939,2,2,0,0,1.065,d,2020-11-06 19:45:00,0,1,0,1,-0.008324499999999999,10.8,18.5
7,a,0.51,1.3932,0.51,1.3932,1,6,2,0,0.6165,w,2020-11-22 14:00:00,1,0,0,3,-0.8832,10.470588235294118,6.242424242424242
8,h,0.753035,1.49985,0.753035,1.49985,13,10,0,3,0.7197,l,2020-11-28 14:00:00,0,0,1,0,-0.7468149999999999,7.533333333333333,19.210526315789473
9,a,0.209882,1.27993,0.209882,1.27993,6,3,0,0,0.3651,d,2020-12-06 14:00:00,0,1,0,1,-1.0700479999999999,10.64,29.636363636363637
10,h,1.08927,2.09826,0.328134,2.09826,5,10,1,0,0.6279,w,2020-12-11 19:45:00,1,0,0,3,-1.7701259999999999,13.055555555555555,9.62962962962963
11,a,1.7103,1.71835,1.7103,0.957053,8,9,1,1,1.3685,d,2020-12-16 19:45:00,0,1,0,1,0.7532469999999999,7.052631578947368,14.538461538461538
12,h,1.04718,1.41457,1.04718,1.41457,9,5,1,2,1.0197,l,2020-12-20 14:00:00,0,0,1,0,-0.3673900000000001,8.705882352941176,24.214285714285715
13,a,2.16381,1.6455,2.16381,1.6455,9,9,3,2,1.7818999999999998,w,2020-12-23 19:45:00,1,0,0,3,0.5183099999999998,11.6875,8.176470588235293
14,a,0.499119,3.50279,0.499119,3.50279,5,22,1,5,0.06999999999999999,l,2021-01-03 14:00:00,0,0,1,0,-3.003671,6.730769230769231,9.0
15,h,2.26,1.04966,2.26,1.04966,13,5,2,1,2.3017,w,2021-01-06 14:00:00,1,0,0,3,1.2103399999999997,5.8,17.5
16,a,0.542444,3.03948,0.542444,3.03948,2,21,1,3,0.14579999999999999,l,2021-01-10 19:45:00,0,0,1,0,-2.497036,21.88888888888889,11.0
17,h,1.81397,0.698377,1.05267,0.698377,13,1,1,1,2.3089999999999997,d,2021-01-17 14:00:00,0,1,0,1,0.35429299999999997,7.9523809523809526,10.666666666666666
18,a,0.657277,2.00707,0.657277,2.00707,2,11,1,2,0.3913,l,2021-01-24 17:00:00,0,0,1,0,-1.349793,11.565217391304348,12.884615384615385
19,a,1.89569,0.879547,1.89569,0.879547,10,3,1,1,2.1891,d,2021-01-31 14:00:00,0,1,0,1,1.016143,6.636363636363637,22.176470588235293
20,h,0.974042,1.65222,0.974042,1.65222,7,7,1,2,0.7869999999999999,l,2021-02-06 14:00:00,0,0,1,0,-0.6781780000000001,7.041666666666667,8.866666666666667
21,a,2.7814,0.737979,2.0201,0.737979,13,4,2,1,2.6794,w,2021-02-14 17:00:00,1,0,0,3,1.2821209999999996,5.470588235294118,16.0
22,h,1.75431,0.547118,1.75431,0.547118,28,4,1,1,2.2777000000000003,d,2021-02-20 19:45:00,0,1,0,1,1.207192,3.3703703703703702,23.8
23,h,2.4724,2.54342,0.949804,1.78212,7,7,3,3,1.3107,d,2021-03-03 17:30:00,0,1,0,1,-0.832316,9.26923076923077,21.0
24,a,0.944927,1.7241,0.944927,1.7241,7,8,0,2,0.742,l,2021-03-06 17:00:00,0,0,1,0,-0.779173,4.1875,28.333333333333332
25,h,1.56376,1.47961,1.56376,1.47961,6,9,3,2,1.4633,w,2021-03-13 14:00:00,1,0,0,3,0.08414999999999995,15.473684210526315,6.964285714285714
26,a,1.41405,2.1526,1.41405,2.1526,8,6,2,3,0.7998,l,2021-03-17 14:00:00,0,0,1,0,-0.73855,7.896551724137931,11.52
27,h,3.38116,1.55499,3.38116,0.793688,8,4,2,2,2.54,d,2021-04-03 13:00:00,0,1,0,1,2.587472,11.05,19.857142857142858
28,a,0.868116,1.27678,0.868116,1.27678,8,7,1,2,0.9707999999999999,l,2021-04-07 18:45:00,0,0,1,0,-0.408664,10.619047619047619,31.571428571428573
29,a,1.28252,0.392283,1.28252,0.392283,7,5,1,0,2.1254999999999997,w,2021-04-12 18:45:00,1,0,0,3,0.8902370000000002,4.851851851851852,27.333333333333332
30,h,2.27601,0.777004,0.753408,0.777004,7,6,3,1,2.5517000000000003,w,2021-04-17 16:00:00,1,0,0,3,-0.02359600000000006,7.846153846153846,22.94736842105263
31,a,2.13785,1.11244,2.13785,1.11244,10,9,2,1,2.1012000000000004,w,2021-04-21 16:30:00,1,0,0,3,1.0254099999999997,11.76,7.625
32,h,1.66072,0.986504,1.66072,0.986504,11,10,1,0,1.9274,w,2021-04-24 18:45:00,1,0,0,3,0.6742159999999999,9.26086956521739,28.733333333333334
33,h,1.26321,1.94826,0.501915,1.18696,4,8,1,1,0.7579,d,2021-05-02 13:00:00,0,1,0,1,-0.685045,8.947368421052632,12.724137931034482
34,a,1.91968,0.749499,1.91968,0.749499,4,3,2,1,2.2674,w,2021-05-09 10:30:00,1,0,0,3,1.170181,7.583333333333333,16.434782608695652
35,h,2.23729,1.36904,1.476,1.36904,13,0,1,3,1.984,l,2021-05-12 18:45:00,0,0,1,0,0.10695999999999994,8.222222222222221,20.473684210526315
36,a,2.48538,0.998801,1.72408,0.998801,17,8,3,1,2.4137000000000004,w,2021-05-16 16:00:00,1,0,0,3,0.725279,9.136363636363637,23.529411764705884
37,h,1.9712,0.974681,1.20994,0.974681,5,7,2,0,2.1755,w,2021-05-23 18:45:00,1,0,0,3,0.235259,12.166666666666666,14.56
