,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.29116,2.6497,1.29116,1.8884,6,16,1,4,0.5337,0,0,1,0,-0.59724,27.9375,7.2592592592592595
1,2.104009,4.51618,2.104009,3.75488,6,27,3,4,1.0916,1,0,1,3,-1.6508709999999998,20.44097222222222,10.694847020933977
2,2.256442,7.1659500000000005,2.256442,6.40465,7,38,3,7,1.1279,1,0,2,3,-4.148208,18.507314814814816,9.237424895676414
3,3.182069,8.24957,3.182069,7.48827,9,44,5,9,2.3411999999999997,1,1,2,4,-4.306201000000001,15.833188813813813,8.952262220144409
4,4.147145,11.91971,4.147145,10.39711,15,50,7,11,2.4875999999999996,1,2,2,5,-6.249965,14.43455105105105,9.743627957933708
5,4.693491,14.80142,4.693491,12.51752,19,61,8,15,2.6112999999999995,1,2,3,5,-7.824029,14.541613055363056,10.036356631611424
6,6.145431,15.052711,6.145431,12.768811,23,65,11,15,5.0097,2,2,3,8,-6.62338,13.580641878141877,10.638305684238363
7,6.740329,17.253091,6.740329,14.969190999999999,33,73,11,15,5.3245,2,3,3,9,-8.228862,12.88752592908843,10.377596421076989
8,9.478629,18.698571,8.717329,16.414671,41,81,13,17,7.615599999999999,2,4,3,10,-7.697341999999999,12.004189714745271,10.371355548893831
9,11.208328999999999,19.136467,10.447028999999999,16.852566999999997,47,82,14,19,10.000899999999998,2,4,4,10,-6.405537999999999,11.5109136004136,11.759219994004448
10,12.032366999999999,20.829257,11.271066999999999,18.545356999999996,53,84,15,23,10.630699999999997,2,4,5,10,-7.274289999999999,11.083995528995528,12.229593933943438
11,14.697686999999998,22.440907,13.936386999999998,19.296591999999997,63,88,17,25,12.836599999999997,2,5,5,11,-5.360204999999999,10.966995901579233,11.717127772781486
12,15.477087999999998,23.704217,14.715787999999998,19.798605,66,90,18,27,13.640599999999997,2,5,6,11,-5.082816999999999,11.379791088637242,12.575991247273407
13,16.00753,24.952106999999998,15.246229999999999,20.285197,73,93,19,29,14.265599999999997,2,5,7,11,-5.038966999999999,11.012663153734582,12.849134729611022
14,16.457848,26.498206999999997,15.696547999999998,21.831297,80,100,19,30,14.728499999999997,2,5,8,11,-6.1347489999999985,10.67158905842814,12.5345547331442
15,18.384828,30.511317,16.862227999999998,25.844407,81,119,21,31,15.034699999999997,3,5,8,14,-8.982178999999999,11.034376647038286,12.346145062322687
16,20.100168,30.945065,17.816271999999998,26.278155,84,128,23,32,17.521199999999997,4,5,8,17,-8.461882999999998,10.845653724066725,12.356474125152811
17,20.411113,31.939593,18.127216999999998,27.272683,86,130,23,32,18.167399999999997,4,6,8,18,-9.145465999999999,11.265844678790291,12.082040377459135
18,21.871163,34.534103,19.587266999999997,29.867193,90,136,26,36,18.762999999999998,4,6,9,18,-10.279926,11.43731651273867,11.97883889028824
19,22.687198,35.737123000000004,20.403301999999996,30.30891,92,137,26,37,19.6575,4,6,10,18,-9.905607999999999,11.12656179821285,12.079896945773829
20,24.339418,36.711165,22.055521999999996,31.282952,99,144,28,38,21.6019,5,6,10,21,-9.227429999999998,11.018947744329697,11.839981218197297
21,25.672207999999998,37.233356,23.388311999999996,31.805143,108,144,30,38,23.6973,6,6,10,24,-8.416830999999998,10.923166697127545,11.750663890097417
22,26.526889999999998,39.316116,24.242993999999996,33.887903,115,151,30,41,24.1798,6,6,11,24,-9.644908999999998,10.846072492904609,11.775997344151152
23,28.0295,40.540486,25.745603999999997,35.112273,119,155,32,43,25.8134,6,7,11,25,-9.366668999999998,10.622756409303854,11.637894890708957
24,29.292489999999997,43.157426,26.247291999999998,37.729213,130,171,32,46,26.2328,6,7,12,25,-11.481920999999998,10.666179486265031,11.561179095080599
25,30.974429999999998,43.47708,27.929232,38.048867,133,176,33,47,28.8167,6,8,12,26,-10.119634999999999,10.442755000529562,11.707427451563515
26,32.22038,45.48975,29.175182,40.061537,141,185,34,50,29.6039,6,8,13,26,-10.886354999999998,10.722652963472912,11.75392876680053
27,33.258649999999996,48.44193,30.213452,43.013717,147,193,36,51,29.9248,7,8,13,29,-12.800264999999998,10.653193135412371,11.74485988227194
28,34.196751,50.80706,31.151553,44.617547,147,200,37,53,30.316000000000003,7,8,14,29,-13.465993999999998,10.699634751432635,11.663756339533501
29,35.589090999999996,52.24668,32.543893,46.057167,154,208,40,55,31.650900000000004,8,8,14,32,-13.513274,10.680859047597002,11.651975955801925
30,36.121705,55.37549,33.076507,48.424677,163,211,41,59,31.734900000000003,8,8,15,32,-15.34817,10.624156398418934,11.724134437514408
31,36.1532627,58.25902,33.1080647,51.308207,163,226,42,60,31.7585,8,9,15,33,-18.2001423,11.905432760968342,11.83067190300875
32,37.085675699999996,60.72351,34.0404777,53.772697,171,230,42,62,32.0892,8,9,16,33,-19.7322193,11.826958721959732,11.800275366762925
33,38.26208569999999,62.76473,35.216887699999994,55.813917000000004,177,232,43,63,32.7952,8,10,16,34,-20.5970293,11.730332485039348,11.633040376984184
34,39.533695699999996,65.0857,36.488497699999996,58.134887000000006,180,238,44,67,33.3913,8,10,17,34,-21.6463893,11.761114194258004,11.747810651927493
35,42.292895699999995,66.92213000000001,39.247697699999996,59.971317000000006,188,246,46,69,35.3968,8,11,17,35,-20.7236193,11.847996824664419,11.670159826940088
36,45.024155699999994,67.86273100000001,41.2176577,60.150619000000006,191,251,50,70,38.0176,9,11,17,38,-18.9329613,11.736625903113293,11.506101453239006
37,47.89874569999999,70.58547100000001,44.092247699999994,62.87335900000001,202,260,52,72,39.5221,9,12,17,39,-18.7811113,11.880148279096527,11.441905800960786
