,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.617878,2.35462,0.617878,2.35462,2,9,0,1,0.24819999999999998,0,0,1,0,-1.736742,6.857142857142857,9.470588235294118
1,1.3917920000000001,4.82549,1.3917920000000001,4.82549,5,23,2,5,0.6023999999999999,0,0,2,0,-3.433698,9.288571428571428,10.13529411764706
2,2.633512,6.61685,1.8722100000000002,6.61685,9,26,4,8,1.4079000000000002,0,0,3,0,-4.74464,8.89904761904762,11.979084967320262
3,4.718682,8.307780000000001,3.9573800000000006,8.307780000000001,16,39,7,11,3.076,0,1,3,1,-4.3504000000000005,11.805238095238096,10.234313725490196
4,7.187482,10.063760000000002,5.66492,9.302458000000001,18,48,10,15,5.0054,0,1,4,1,-3.637538,14.129904761904763,9.606055631554948
5,7.631751,11.249480000000002,6.109189000000001,10.488178000000001,21,57,12,16,5.7063999999999995,1,1,4,4,-4.378989000000001,13.518968253968254,9.320361674944438
6,7.867697000000001,11.550272000000001,6.345135000000001,10.78897,23,59,12,16,6.815799999999999,1,2,4,5,-4.443835000000001,12.93530612244898,9.279697762197275
7,9.845957,15.295932,7.562095000000001,13.773330000000001,31,74,14,20,7.195099999999999,1,2,5,5,-6.211235000000001,13.125211038961039,8.913340193085407
8,11.484587000000001,16.676512,9.200725000000002,15.153910000000002,36,83,16,22,8.7448,1,3,5,6,-5.953185000000001,12.827348084014751,9.260417620191143
9,12.826967000000002,19.204871999999998,10.543105000000002,17.682270000000003,38,87,17,24,9.338099999999999,1,3,6,6,-7.139165000000002,13.48578974620151,8.89908174052497
10,13.903277000000001,20.678932,11.619415000000002,19.156330000000004,42,95,19,27,10.336699999999999,1,3,7,6,-7.536915000000002,12.973095573469903,9.054883693732377
11,14.878335000000002,23.724742,12.594473000000002,21.440840000000005,46,108,20,30,10.582099999999999,1,3,8,6,-8.846367000000003,12.975337609014078,8.975310052588013
12,15.983975000000001,25.902051999999998,13.700113000000002,23.618150000000004,49,117,21,31,11.1931,1,4,8,7,-9.918037000000002,12.547526493201325,8.907978510081241
13,16.374179,26.798409999999997,14.090317000000002,24.514508000000003,52,118,22,32,12.0282,1,5,8,8,-10.424191000000002,13.215184375265892,8.860265759361152
14,18.047449,27.645286,15.763587000000003,25.361384,57,122,25,32,14.0563,2,5,8,11,-9.597797000000002,13.41136506603764,8.698410204232571
15,19.411819,27.944823999999997,17.127957000000002,25.660922,61,127,26,33,16.3878,2,6,8,12,-8.532965,13.376279749410287,8.66896411192258
