,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.804449,1.24757,0.804449,1.24757,5,6,1,0,0.9355,1,0,0,3,-0.4431210000000001,7.538461538461538,8.214285714285714
1,3.476139,1.654279,2.714839,1.654279,12,9,5,1,3.7241999999999997,2,0,0,6,1.06056,12.23798076923077,13.080827067669173
2,6.9542090000000005,1.900829,5.342929,1.900829,23,9,7,1,6.7056,3,0,0,9,3.4421,12.380876068376068,11.649844307739045
3,8.003169,3.216009,6.391889,3.216009,27,12,8,2,7.823799999999999,3,1,0,10,3.17588,11.71565705128205,11.737383230804284
4,10.117259,3.797234,8.505979,3.797234,39,14,10,2,10.3667,4,1,0,13,4.708745,10.686811355311354,12.489906584643427
5,11.858279000000001,4.751003,10.246999,4.751003,47,26,12,3,12.3357,5,1,0,16,5.495996000000001,9.751355141771809,13.057378294220399
6,14.367829,7.381963,12.756549,6.620663,53,29,15,5,13.659799999999999,6,1,0,19,6.135886000000001,9.54549652545958,12.334895680760342
7,15.886349000000001,8.965153,13.513774999999999,7.4425550000000005,59,39,18,7,14.9439,7,1,0,22,6.071220000000001,9.134918155429306,11.706826824113575
8,16.795009,9.596160000000001,14.422434999999998,8.073562,66,41,22,9,16.476499999999998,8,1,0,25,6.348873000000001,8.847896597929498,15.072734954767624
9,17.919869,10.084167,15.547294999999998,8.561569,66,49,23,9,18.606199999999998,9,1,0,28,6.985726000000001,9.047317464452338,13.909905903735307
10,19.780879,11.343107,16.647005,9.820509000000001,71,62,25,10,20.4746,10,1,0,31,6.8264960000000015,9.29869769495667,13.57264173066846
11,20.938029,13.690747,17.804155,10.645552000000002,73,69,26,11,20.9908,10,2,0,32,7.158603000000001,9.440472887043613,13.454746147849598
12,22.512219,15.199437,19.378345000000003,12.154242000000002,83,70,29,15,22.3674,10,2,1,32,7.224103000000001,9.436176156087596,13.831530380820443
13,23.392760000000003,16.384327,20.258886000000004,13.339132000000001,96,75,30,18,23.4382,10,2,2,32,6.919754000000001,9.365338176684515,13.6411829726666
14,24.49527,16.741835,21.361396000000003,13.69664,104,77,33,18,25.4469,11,2,2,35,7.6647560000000015,9.14098229823888,13.37558029829835
15,27.0775,16.936093,23.943626000000002,13.890898,112,79,35,18,28.2772,12,2,2,38,10.052728000000002,9.02075786112069,13.784606529654702
16,28.22852,19.220033,25.094646,16.174838,123,84,36,19,28.8683,12,3,2,39,8.919808000000002,9.016076602854074,14.348747322027956
17,28.597606,20.214411000000002,25.463732,17.169216000000002,131,88,36,20,29.573400000000003,12,3,3,39,8.294516000000002,9.01518345825107,14.049678984214141
18,30.562576,21.875271,27.428702,18.068776000000003,137,98,40,22,31.192000000000004,13,3,3,42,9.359926000000002,9.240700118343119,13.62016371603913
19,33.581596,22.736505,28.925122,18.930010000000003,141,100,43,23,33.9453,14,3,3,45,9.995112000000002,9.359915112425963,13.436981617193695
20,37.454516,23.247806,32.036742000000004,19.441311000000002,152,102,46,23,36.912000000000006,15,3,3,48,12.595431000000001,9.378490583262822,13.6145856671686
