,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,3.28935,1.03088,2.52806,1.03088,10,5,2,2,2.7394,d,2021-08-23 16:30:00,0,1,0,1,1.49718,6.703703703703703,10.074074074074074
1,a,0.406709,2.67169,0.406709,1.91039,3,7,1,4,0.1337,l,2021-08-29 18:45:00,0,0,1,0,-1.503681,17.94736842105263,16.9375
2,h,1.83111,1.25494,1.06981,1.25494,6,6,2,3,1.8713,l,2021-09-12 13:00:00,0,0,1,0,-0.18513000000000002,13.352941176470589,17.11111111111111
3,a,1.91594,1.72557,1.91594,1.72557,6,14,2,2,1.5555,d,2021-09-19 16:00:00,0,1,0,1,0.19036999999999993,13.791666666666666,6.555555555555555
4,h,0.754694,1.14537,0.754694,1.14537,11,5,0,2,0.9881,l,2021-09-22 18:45:00,0,0,1,0,-0.390676,13.588235294117647,9.0
5,a,0.153322,2.05833,0.153322,1.29707,4,16,0,2,0.10500000000000001,l,2021-09-26 18:45:00,0,0,1,0,-1.143748,33.42857142857143,10.095238095238095
6,h,0.658426,0.486148,0.658426,0.486148,1,8,1,1,1.5152,d,2021-10-01 18:45:00,0,1,0,1,0.17227799999999993,11.433333333333334,13.8
7,h,1.50713,1.78619,1.50713,1.78619,5,9,3,1,1.1461999999999999,w,2021-10-17 10:30:00,1,0,0,3,-0.27905999999999986,10.714285714285714,5.863636363636363
8,a,0.119909,3.1216,0.119909,2.36031,3,8,0,3,0.0254,l,2021-10-24 13:00:00,0,0,1,0,-2.2404010000000003,19.90909090909091,12.5
9,h,1.31963,2.49703,1.31963,2.49703,1,7,1,2,0.6006,l,2021-10-27 18:45:00,0,0,1,0,-1.1774,13.15,8.9
10,a,0.403517,1.7361,0.403517,1.7361,1,7,0,2,0.31500000000000006,l,2021-11-01 19:45:00,0,0,1,0,-1.332583,21.11111111111111,16.4375
11,h,0.510728,3.54195,0.510728,3.54195,5,15,1,2,0.0711,l,2021-11-06 19:45:00,0,0,1,0,-3.031222,14.05,8.818181818181818
12,a,1.23102,3.47952,0.469726,2.71822,5,7,2,2,0.2121,d,2021-11-21 11:30:00,0,1,0,1,-2.248494,11.827586206896552,10.368421052631579
13,h,1.71881,0.238047,1.71881,0.238047,5,3,1,1,2.6282,d,2021-11-26 19:45:00,0,1,0,1,1.480763,6.28,18.46153846153846
14,a,0.575054,1.16014,0.575054,1.16014,2,7,0,0,0.8170999999999999,d,2021-11-30 19:45:00,0,1,0,1,-0.585086,11.653846153846153,5.666666666666667
15,h,1.20956,1.90192,1.20956,1.90192,3,7,1,1,0.7361,d,2021-12-06 19:45:00,0,1,0,1,-0.6923600000000001,6.125,4.903225806451613
16,a,0.222398,3.63912,0.222398,2.75596,3,12,0,4,0.0187,l,2021-12-12 19:45:00,0,0,1,0,-2.533562,27.125,6.9523809523809526
17,h,0.183657,0.521701,0.183657,0.521701,1,6,0,4,0.8473,l,2021-12-18 19:45:00,0,0,1,0,-0.338044,18.333333333333332,12.346153846153847
18,a,1.13484,2.24385,1.13484,2.24385,0,10,0,2,0.6090000000000001,l,2021-12-21 19:45:00,0,0,1,0,-1.10901,15.363636363636363,9.619047619047619
19,a,2.18965,0.731494,2.18965,0.731494,12,5,2,1,2.4389000000000003,w,2022-01-06 11:30:00,1,0,0,3,1.4581559999999998,11.208333333333334,10.96
