,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.967177,2.20707,0.967177,2.20707,11,12,0,4,0.5689,l,2021-08-21 16:30:00,0,0,1,0,-1.239893,22.625,8.935483870967742
1,h,0.339332,1.15407,0.339332,1.15407,2,15,1,2,0.5820000000000001,l,2021-08-29 16:30:00,0,0,1,0,-0.814738,12.875,6.027027027027027
2,a,1.25494,1.83111,1.25494,1.06981,6,6,3,2,0.8659999999999999,w,2021-09-12 13:00:00,1,0,0,3,0.18513000000000002,17.11111111111111,13.352941176470589
3,h,1.28373,1.12359,0.522469,1.12359,1,12,1,2,1.5241,l,2021-09-18 13:00:00,0,0,1,0,-0.6011210000000001,19.77777777777778,5.9411764705882355
4,a,1.69881,2.2881,0.937512,1.5268,2,10,2,2,0.9032,d,2021-09-21 16:30:00,0,1,0,1,-0.5892879999999999,17.470588235294116,7.346153846153846
5,h,1.43713,2.07264,0.675836,1.31134,3,8,3,3,0.877,d,2021-09-25 18:45:00,0,1,0,1,-0.635504,10.173913043478262,10.476190476190476
6,a,1.58603,0.547267,1.58603,0.547267,5,10,0,1,2.2401,l,2021-10-02 13:00:00,0,0,1,0,1.038763,6.230769230769231,11.526315789473685
7,h,1.38414,2.8217,1.38414,2.8217,5,10,2,2,0.5102,d,2021-10-17 13:00:00,0,1,0,1,-1.43756,9.06060606060606,6.296296296296297
8,a,2.35473,2.2411,2.35473,2.2411,3,7,2,3,1.4515000000000002,l,2021-10-22 16:30:00,0,0,1,0,0.11363000000000012,8.541666666666666,5.25
9,a,1.0654,2.40615,0.3041,2.40615,5,9,1,1,0.3879,d,2021-10-26 16:30:00,0,1,0,1,-2.1020499999999998,7.769230769230769,8.0
10,h,0.720997,0.488128,0.720997,0.488128,9,1,0,0,1.4942000000000002,d,2021-10-31 14:00:00,0,1,0,1,0.232869,4.878787878787879,14.714285714285714
11,a,1.69731,0.745284,0.936011,0.745284,4,5,2,2,2.1633,d,2021-11-05 19:45:00,0,1,0,1,0.1907270000000001,4.739130434782608,12.823529411764707
12,h,0.102684,2.34272,0.102684,2.34272,3,9,0,2,0.0881,l,2021-11-21 19:45:00,0,0,1,0,-2.240036,25.857142857142858,10.826086956521738
13,a,0.602047,0.782758,0.602047,0.782758,3,8,0,0,1.1691,d,2021-11-28 11:30:00,0,1,0,1,-0.18071099999999996,7.909090909090909,8.292682926829269
14,h,0.357508,1.10251,0.357508,1.10251,2,8,0,3,0.6668000000000001,l,2021-12-01 19:45:00,0,0,1,0,-0.7450020000000002,9.657142857142857,6.0
15,a,0.0,3.00541,0.0,3.00541,2,13,0,2,0.0115,l,2021-12-05 19:45:00,0,0,1,0,-3.00541,24.736842105263158,6.357142857142857
16,h,1.01041,2.02929,1.01041,2.02929,4,5,1,3,0.57,l,2021-12-10 19:45:00,0,0,1,0,-1.01888,5.676470588235294,8.25925925925926
17,a,0.172789,2.07083,0.172789,2.07083,4,10,1,3,0.14279999999999998,l,2021-12-17 17:30:00,0,0,1,0,-1.8980409999999999,16.0,13.392857142857142
18,h,0.0227283,1.41779,0.0227283,1.41779,0,14,0,0,0.2099,d,2021-12-21 19:45:00,0,1,0,1,-1.3950617,11.476190476190476,3.5405405405405403
19,a,0.213242,2.1565,0.213242,2.1565,2,9,1,1,0.1482,d,2022-01-06 15:30:00,0,1,0,1,-1.943258,22.27777777777778,6.6
