,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.75414,0.867167,2.75414,0.867167,7,7,3,1,2.6173,1,0,0,3,1.886973,16.0,12.263157894736842
1,4.64093,1.0885660000000001,4.64093,1.0885660000000001,21,7,7,1,5.204700000000001,2,0,0,6,3.552364,10.0,15.881578947368421
2,6.9680599999999995,3.188476,6.9680599999999995,3.188476,29,14,9,2,6.746700000000001,3,0,0,9,3.779584,12.403508771929824,17.92105263157895
3,7.629789,4.209796,7.629789,4.209796,35,19,11,5,7.675800000000001,3,0,1,9,3.419993,11.742631578947368,15.622607655502392
4,9.012789,5.01933,9.012789,5.01933,44,23,12,5,9.5464,4,0,1,12,3.9934589999999996,11.034105263157894,15.786975013290803
5,10.856479,7.503500000000001,10.095179,7.503500000000001,52,28,14,8,10.4837,4,0,2,12,2.591678999999999,11.022248213125406,15.526182881446038
6,12.711579,7.941140000000001,11.950279,7.941140000000001,63,29,16,8,12.9623,5,0,2,15,4.009138999999999,11.161927039821776,15.176288623657044
7,14.168079,9.41088,12.627837,9.41088,64,30,16,9,14.267700000000001,5,0,3,15,3.2169569999999994,11.685436159844054,15.210502545699914
8,15.800479000000001,10.004837,14.260237,10.004837,70,35,16,9,16.4886,5,1,3,16,4.2554,12.048890113098096,14.246637183479287
9,18.297509,11.324467,16.757267,11.324467,77,36,18,10,18.690600000000003,6,1,3,19,5.4328,11.734001101788287,14.136973465131359
10,19.556449,13.185477,18.016206999999998,12.424177,90,41,19,12,19.577700000000004,6,1,4,19,5.59203,11.594546456171171,13.925657695573962
11,22.321779,16.410857,20.781536999999997,14.888257,110,45,21,15,20.698300000000003,6,1,5,19,5.893280000000001,11.182931952639665,13.795887975328766
12,24.664499,16.513541,23.124256999999997,14.990941,119,48,23,15,23.539200000000005,7,1,5,22,8.133316,11.155482337553671,14.723676812391387
13,25.626677,17.311984,24.086434999999998,15.789384,124,58,24,15,25.032300000000006,8,1,5,25,8.297051,12.171848983772366,14.029128468649146
14,26.531797,17.532535,24.991554999999998,16.009935,127,61,24,16,27.028300000000005,8,1,6,25,8.98162,11.859242959566851,14.325225786425477
15,27.062315,19.206605,25.522073,17.684005,132,76,24,19,27.524800000000006,8,1,7,25,7.838068,13.48470694126059,14.203708698583409
16,29.361065000000004,19.815891999999998,27.820822999999997,18.293291999999997,141,79,26,19,30.153400000000005,9,1,7,28,9.527531,13.458868565036704,14.454701612507568
17,31.356225000000002,21.287001999999998,29.815982999999996,19.764401999999997,142,85,30,20,31.938600000000005,10,1,7,31,10.051581,13.664370019025894,13.972650288355913
18,32.808885000000004,22.467821999999998,31.268642999999997,20.945221999999998,150,91,31,21,33.528400000000005,10,2,7,32,10.323421,13.669503426545834,14.054422156835795
19,33.67011900000001,25.486842,32.129877,22.441641999999998,152,95,32,24,33.68880000000001,10,2,8,32,9.688234999999999,13.483854342175064,13.932951048994004
