,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.63711,1.72577,0.875808,1.72577,5,9,2,3,1.2974,l,2021-08-22 16:30:00,0,0,1,0,-0.849962,13.363636363636363,2.608695652173913
1,h,0.221399,1.88679,0.221399,1.88679,0,14,0,4,0.2549,l,2021-08-29 18:45:00,0,0,1,0,-1.665391,19.5,4.0
2,a,0.252452,2.9969,0.252452,2.9969,3,7,0,4,0.0644,l,2021-09-12 13:00:00,0,0,1,0,-2.744448,15.9375,7.904761904761905
3,h,0.792486,1.38299,0.792486,1.38299,3,11,0,1,0.8124,l,2021-09-18 18:45:00,0,0,1,0,-0.5905039999999999,13.272727272727273,6.84
4,h,2.68942,2.06188,2.68942,2.06188,5,7,2,2,1.861,d,2021-09-22 16:30:00,0,1,0,1,0.6275400000000002,9.444444444444445,6.038461538461538
5,a,1.16385,1.60845,1.16385,1.60845,7,8,0,1,0.9973000000000001,l,2021-09-26 13:00:00,0,0,1,0,-0.4445999999999999,10.576923076923077,4.903225806451613
6,h,0.547267,1.58603,0.547267,1.58603,10,5,1,0,0.528,w,2021-10-02 13:00:00,1,0,0,3,-1.038763,11.526315789473685,6.230769230769231
7,a,1.60938,1.67718,1.60938,1.67718,7,9,1,2,1.2865,l,2021-10-16 13:00:00,0,0,1,0,-0.06779999999999986,9.695652173913043,8.25
8,h,1.37213,2.83049,1.37213,2.06919,9,6,2,4,0.4707,l,2021-10-23 13:00:00,0,0,1,0,-0.6970599999999998,8.5,10.115384615384615
9,a,1.52483,0.62413,1.52483,0.62413,13,2,2,1,2.1022,w,2021-10-26 16:30:00,1,0,0,3,0.9007,14.529411764705882,10.153846153846153
10,h,0.405769,1.54055,0.405769,1.54055,2,15,0,1,0.4355,l,2021-10-31 17:00:00,0,0,1,0,-1.134781,11.12,9.210526315789474
11,a,0.239577,1.67971,0.239577,1.67971,3,17,0,3,0.29869999999999997,l,2021-11-07 17:00:00,0,0,1,0,-1.440133,19.545454545454547,10.851851851851851
12,h,0.982098,1.52856,0.982098,1.52856,7,8,0,2,0.8787,l,2021-11-21 14:00:00,0,0,1,0,-0.5464619999999999,12.0625,14.25
13,a,0.238047,1.71881,0.238047,1.71881,3,5,1,1,0.2285,d,2021-11-26 19:45:00,0,1,0,1,-1.480763,18.46153846153846,6.28
14,h,0.461655,2.54436,0.461655,1.78306,1,11,0,2,0.133,l,2021-11-30 19:45:00,0,0,1,0,-1.3214050000000002,32.06666666666667,5.52
15,a,0.194258,2.58223,0.194258,2.58223,2,8,0,2,0.1003,l,2021-12-04 14:00:00,0,0,1,0,-2.387972,19.92,7.217391304347826
16,a,0.924612,2.74247,0.924612,2.74247,8,12,0,4,0.3234,l,2021-12-11 14:00:00,0,0,1,0,-1.817858,14.903225806451612,8.15
17,h,1.09173,3.31333,1.09173,3.31333,5,21,0,5,0.26639999999999997,l,2021-12-17 19:45:00,0,0,1,0,-2.2216,22.529411764705884,8.761904761904763
