,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,1.63711,1.72577,0.875808,1.72577,5,9,2,3,1.2974,0,0,1,0,-0.849962,13.363636363636363,2.608695652173913
1,1.8585090000000002,3.61256,1.097207,3.61256,5,23,2,7,1.5523000000000002,0,0,2,0,-2.515353,16.43181818181818,3.3043478260869565
2,2.110961,6.60946,1.349659,6.60946,8,30,2,11,1.6167000000000002,0,0,3,0,-5.259801,16.267045454545453,4.837819185645273
3,2.903447,7.99245,2.142145,7.99245,11,41,2,12,2.4291,0,0,4,0,-5.8503050000000005,15.518465909090908,5.338364389233955
4,5.592867,10.05433,4.831565,10.05433,16,48,4,14,4.2901,0,1,4,1,-5.222765000000001,14.303661616161616,5.478383819079471
5,6.756717,11.66278,5.995415,11.66278,23,56,4,15,5.2874,0,1,5,1,-5.667365,13.682538526288527,5.382524150308162
6,7.303984,13.248809999999999,6.542682,13.248809999999999,33,61,5,15,5.8154,1,1,5,4,-6.7061280000000005,13.37450670674355,5.503702018945458
7,8.913364,14.925989999999999,8.152062,14.925989999999999,40,70,6,17,7.1019000000000005,1,1,6,4,-6.773928000000001,12.914649890139737,5.846989266577276
8,10.285494,17.75648,9.524192000000001,16.995179999999998,49,76,8,21,7.5726,1,1,7,4,-7.470988,12.424133235679767,6.321255416444758
9,11.810324,18.38061,11.049022,17.61931,62,78,10,22,9.674800000000001,2,1,7,7,-6.570288000000001,12.634661088582378,6.704514490184897
10,12.216092999999999,19.92116,11.454791,19.15986,64,93,10,23,10.1103,2,1,8,7,-7.705069000000001,12.49696462598398,6.932333747058041
11,12.45567,21.60087,11.694368,20.83957,67,110,10,26,10.409,2,1,9,7,-9.145202000000001,13.084338785939858,7.258960255790858
12,13.437768,23.12943,12.676466000000001,22.368129999999997,74,118,10,28,11.287700000000001,2,1,10,7,-9.691664000000001,13.005735802406024,7.796732543806946
13,13.675815,24.84824,12.914513000000001,24.08694,77,123,11,29,11.516200000000001,2,2,10,8,-11.172427,13.395435992344053,7.6883945049635924
14,14.13747,27.3926,13.376168000000002,25.869999999999997,78,134,11,31,11.6492,2,2,11,8,-12.493832000000001,14.640184703965561,7.543834871299353
15,14.331728,29.97483,13.570426000000001,28.452229999999997,80,142,11,33,11.749500000000001,2,2,12,8,-14.881804,14.970173159967715,7.523432148364883
16,15.25634,32.7173,14.495038000000001,31.194699999999997,88,154,11,37,12.0729,2,2,13,8,-16.699662,14.96623508034912,7.560289080814008
17,16.34807,36.03063,15.586768000000001,34.50803,93,175,11,42,12.339300000000001,2,2,14,8,-18.921262,15.386411562813386,7.627045507541272
