,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,1.03088,3.28935,1.03088,2.52806,5,10,2,2,0.1744,d,2021-08-23 16:30:00,0,1,0,1,-1.49718,10.074074074074074,6.703703703703703
1,a,0.735352,2.71713,0.735352,1.95583,1,8,1,6,0.1905,l,2021-08-28 16:30:00,0,0,1,0,-1.220478,53.666666666666664,10.607142857142858
2,h,0.788419,0.78059,0.788419,0.78059,10,3,0,1,1.2952,l,2021-09-12 13:00:00,0,0,1,0,0.007828999999999975,7.7407407407407405,13.05
3,a,0.478482,0.805717,0.478482,0.805717,5,4,2,1,0.9963,w,2021-09-19 13:00:00,1,0,0,3,-0.327235,15.933333333333334,9.538461538461538
4,h,1.03395,2.54565,1.03395,2.54565,2,6,2,3,0.4679,l,2021-09-22 16:30:00,0,0,1,0,-1.5117000000000003,17.41176470588235,7.230769230769231
5,h,0.953769,1.74102,0.953769,1.74102,12,8,1,2,0.7746999999999999,l,2021-09-25 13:00:00,0,0,1,0,-0.787251,15.894736842105264,5.074074074074074
6,a,1.57689,0.690616,1.57689,0.690616,6,4,0,4,2.1532,l,2021-10-03 13:00:00,0,0,1,0,0.8862739999999999,6.46875,11.434782608695652
7,h,1.67718,1.60938,1.67718,1.60938,9,7,2,1,1.4074,w,2021-10-16 13:00:00,1,0,0,3,0.06779999999999986,8.25,9.695652173913043
8,a,1.05608,0.974056,1.05608,0.974056,5,6,1,2,1.3874,l,2021-10-22 18:45:00,0,0,1,0,0.08202399999999987,6.888888888888889,14.782608695652174
9,h,2.40615,1.0654,2.40615,0.3041,9,5,1,1,2.4194999999999998,d,2021-10-26 16:30:00,0,1,0,1,2.1020499999999998,8.0,7.769230769230769
10,a,0.0882599,2.8175,0.0882599,2.0562,1,14,0,3,0.0382,l,2021-10-31 14:00:00,0,0,1,0,-1.9679401,14.647058823529411,14.526315789473685
11,h,0.333765,0.420439,0.333765,0.420439,0,6,1,0,1.1219999999999999,w,2021-11-06 14:00:00,1,0,0,3,-0.08667400000000003,12.526315789473685,7.045454545454546
12,a,0.928225,2.5762,0.928225,1.8149,6,12,2,5,0.3639,l,2021-11-20 14:00:00,0,0,1,0,-0.886675,26.90909090909091,10.115384615384615
13,h,0.638423,2.54608,0.638423,1.78478,6,14,0,1,0.24180000000000001,l,2021-11-28 14:00:00,0,0,1,0,-1.146357,10.518518518518519,7.384615384615385
14,a,0.25153,2.85144,0.25153,2.09014,1,15,0,2,0.0796,l,2021-12-01 17:30:00,0,0,1,0,-1.8386099999999999,38.22222222222222,6.676470588235294
15,h,2.36057,1.4473,2.36057,1.4473,5,10,2,2,2.0918,d,2021-12-05 14:00:00,0,1,0,1,0.91327,20.470588235294116,8.476190476190476
16,a,0.609287,2.29875,0.609287,2.29875,3,9,0,2,0.2451,l,2021-12-13 19:45:00,0,0,1,0,-1.689463,18.470588235294116,13.045454545454545
17,h,1.36967,1.224,1.36967,1.224,5,7,1,1,1.5221,d,2021-12-19 14:00:00,0,1,0,1,0.14566999999999997,16.0,6.208333333333333
18,a,0.355079,1.45364,0.355079,1.45364,3,8,1,0,0.4736,w,2021-12-22 19:45:00,1,0,0,3,-1.0985610000000001,13.208333333333334,6.413793103448276
19,h,1.32415,2.16034,1.32415,2.16034,0,6,1,2,0.7983999999999999,l,2022-01-06 13:30:00,0,0,1,0,-0.8361900000000002,13.444444444444445,11.666666666666666
