,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,2.08573,1.49379,1.32443,1.49379,3,7,2,2,1.8406000000000002,0,1,0,1,-0.16935999999999996,19.055555555555557,11.210526315789474
1,5.10356,2.402716,4.34226,2.402716,12,14,5,2,4.5024999999999995,1,1,0,4,1.939544,24.65277777777778,9.658834586466167
2,5.88415,3.191135,5.12285,3.191135,15,24,6,2,5.836399999999999,2,1,0,7,1.931715,20.785185185185185,9.019469971224359
3,6.127608,6.4938649999999996,5.366308,6.4938649999999996,17,31,6,6,5.856999999999999,2,1,1,7,-1.127557,21.794771241830066,10.389602478418269
4,6.937142000000001,7.876865,6.175842,7.876865,21,40,6,7,6.6697999999999995,2,1,2,7,-1.701023,20.724705882352943,9.951681982734616
5,7.429171,9.015474999999999,6.667871,8.254173,27,45,6,8,7.3107999999999995,2,1,3,7,-1.5863019999999999,19.610094408133623,9.77223498561218
6,10.711091,10.544785,9.949791,9.022183,33,54,9,11,9.8561,2,2,3,8,0.9276080000000002,18.342813840512047,9.082323865218603
7,12.068251,12.040925,11.306951,10.518323,35,64,10,12,11.1589,2,3,3,9,0.7886280000000001,17.924962110448043,9.072033382066277
8,12.735804,12.669957,11.974504,11.147355000000001,35,73,11,13,12.4873,2,4,3,10,0.827149,17.744893856630146,8.969585228503357
9,13.676471,13.513181,12.915170999999999,11.229280000000001,39,78,12,14,13.778599999999999,2,5,3,11,1.685891,17.59214360140191,8.83929337231969
10,13.98029,15.570081,13.21899,13.286180000000002,46,89,12,16,13.9528,2,5,4,11,-0.06719000000000008,17.779221455819922,8.75342459684565
11,15.5714,16.264114,14.8101,13.980213000000001,55,92,15,18,16.0624,3,5,4,14,0.8298869999999999,17.279390501168262,8.539404645873946
12,16.57434,18.199773999999998,15.81304,15.915873000000001,65,97,16,20,16.6627,3,5,5,14,-0.10283300000000006,16.75288220174729,8.381361864256602
13,17.357098,18.801820999999997,16.595798000000002,16.51792,73,100,16,20,18.0991,3,6,5,15,0.07787799999999989,16.14858225353886,8.347628224601909
14,19.399338,20.261030999999996,18.638038,17.97713,76,108,20,24,19.94,3,7,5,16,0.660908,16.338676769969602,8.311632496807936
15,21.486548,22.286260999999996,20.725248,20.00236,89,120,21,27,21.3534,3,7,6,16,0.7228879999999998,15.985778702615733,8.294872857061788
16,23.770488,23.437280999999995,23.009188,21.15338,94,131,22,28,23.5651,3,8,6,17,1.8558079999999997,16.420438778932454,8.332890716680991
17,24.292189,23.620937999999995,23.530889000000002,21.337037,100,132,26,28,25.181,4,8,6,20,2.1938519999999997,16.194089616000312,8.888470862050566
