,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,a,0.60988,2.39159,0.60988,0.868994,5,4,0,2,0.198,l,2021-08-22 18:45:00,0,0,1,0,-0.25911400000000007,16.40909090909091,15.647058823529411
1,a,0.908926,3.01783,0.908926,3.01783,7,9,0,3,0.23820000000000002,l,2021-08-27 16:30:00,0,0,1,0,-2.108904,8.107142857142858,30.25
2,a,2.43118,1.88537,2.43118,1.12407,2,13,2,1,1.7748000000000002,w,2021-09-11 13:00:00,1,0,0,3,1.30711,13.227272727272727,5.5
3,h,0.805717,0.478482,0.805717,0.478482,4,5,1,2,1.6082999999999998,l,2021-09-19 13:00:00,0,0,1,0,0.327235,9.538461538461538,15.933333333333334
4,a,0.581225,2.11409,0.581225,2.11409,2,12,0,2,0.2983,l,2021-09-22 18:45:00,0,0,1,0,-1.5328650000000001,15.5,6.571428571428571
5,h,1.5265,0.8526,0.765196,0.8526,4,4,1,1,1.9818000000000002,d,2021-09-27 18:45:00,0,1,0,1,-0.08740400000000004,13.380952380952381,7.555555555555555
6,a,0.486148,0.658426,0.486148,0.658426,8,1,1,1,1.0667,d,2021-10-01 18:45:00,0,1,0,1,-0.17227799999999993,13.8,11.433333333333334
7,h,0.794394,0.42719,0.794394,0.42719,3,6,1,0,1.7543000000000002,w,2021-10-18 18:45:00,1,0,0,3,0.36720400000000003,18.65,8.92
8,a,0.506648,2.13069,0.506648,2.13069,2,10,1,3,0.326,l,2021-10-23 16:00:00,0,0,1,0,-1.624042,18.80952380952381,10.0
9,h,0.62413,1.52483,0.62413,1.52483,2,13,1,2,0.6508,l,2021-10-26 16:30:00,0,0,1,0,-0.9007,10.153846153846153,14.529411764705882
10,a,0.488128,0.720997,0.488128,0.720997,1,9,0,0,1.0853,d,2021-10-31 14:00:00,0,1,0,1,-0.232869,14.714285714285714,4.878787878787879
11,h,3.22538,2.76533,2.46408,2.76533,4,20,3,2,1.6780000000000002,w,2021-11-07 11:30:00,1,0,0,3,-0.30125,12.368421052631579,6.655172413793103
12,a,1.01889,0.995082,1.01889,0.995082,4,10,1,0,1.3926999999999998,w,2021-11-21 14:00:00,1,0,0,3,0.02380800000000005,29.333333333333332,9.304347826086957
13,h,0.192519,2.60343,0.192519,1.84213,0,17,0,2,0.0864,l,2021-11-27 19:45:00,0,0,1,0,-1.6496110000000002,19.294117647058822,9.40625
14,a,0.520194,2.90312,0.520194,2.90312,3,16,0,4,0.1343,l,2021-11-30 17:30:00,0,0,1,0,-2.382926,26.333333333333332,6.921052631578948
15,h,1.48718,2.08845,1.48718,1.32715,5,13,3,4,0.909,l,2021-12-05 14:00:00,0,0,1,0,0.1600299999999999,16.642857142857142,5.766666666666667
16,h,0.433734,1.53897,0.433734,1.53897,3,7,1,1,0.4948,d,2021-12-11 17:00:00,0,1,0,1,-1.1052359999999999,11.0,9.833333333333334
17,a,0.811355,1.80875,0.811355,1.80875,8,8,1,1,0.6566,d,2021-12-19 17:00:00,0,1,0,1,-0.997395,7.56,9.782608695652174
18,h,0.755959,1.55202,0.755959,1.55202,6,5,1,3,0.6319,l,2021-12-22 15:30:00,0,0,1,0,-0.7960609999999999,12.703703703703704,13.037037037037036
19,h,0.511301,3.87292,0.511301,3.11162,2,11,0,3,0.0195,l,2022-01-09 11:30:00,0,0,1,0,-2.600319,17.166666666666668,9.75
