,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,0.60988,2.39159,0.60988,0.868994,5,4,0,2,0.198,0,0,1,0,-0.25911400000000007,16.40909090909091,15.647058823529411
1,1.518806,5.40942,1.518806,3.886824,12,13,0,5,0.43620000000000003,0,0,2,0,-2.368018,12.258116883116884,22.948529411764707
2,3.949986,7.29479,3.949986,5.0108939999999995,14,26,2,6,2.2110000000000003,1,0,2,3,-1.0609080000000002,12.581168831168831,17.13235294117647
3,4.7557030000000005,7.7732719999999995,4.7557030000000005,5.489375999999999,18,31,3,8,3.8193,1,0,3,3,-0.7336730000000002,11.820492007992009,16.832598039215686
4,5.336928,9.887362,5.336928,7.603465999999999,20,43,3,10,4.1176,1,0,4,3,-2.2665380000000006,12.556393606393607,14.780364145658263
5,6.863428000000001,10.739962,6.102124,8.456066,24,47,4,11,6.099400000000001,1,1,4,4,-2.353942000000001,12.693820068820068,13.576229380641145
6,7.349576000000001,11.398388,6.588272,9.114492,32,48,5,12,7.166100000000001,1,2,4,5,-2.526220000000001,12.851845773274345,13.270101373882886
7,8.143970000000001,11.825578,7.382666,9.541682,35,54,6,12,8.9204,2,2,4,8,-2.1590160000000007,13.57661505161505,12.726338702147526
8,8.650618000000001,13.956268,7.889314000000001,11.672372,37,64,7,15,9.246400000000001,2,2,5,8,-3.7830580000000005,14.158049358049357,12.42341217968669
9,9.274748,15.481098,8.513444,13.197201999999999,39,77,8,17,9.897200000000002,2,2,6,8,-4.683758,13.757629037629036,12.63401213818861
10,9.762876,16.202095,9.001572,13.918199,40,86,8,17,10.982500000000002,2,3,6,9,-4.916627,13.844597826416008,11.928991750970361
11,12.988256,18.967425,11.465651999999999,16.683529,44,106,11,19,12.660500000000003,3,3,6,12,-5.217877,13.721583095267306,11.48950680620559
12,14.007146,19.962507,12.484542,17.678611,48,116,12,19,14.053200000000002,4,3,6,15,-5.194069,14.922486959733924,11.321417653888773
13,14.199665000000001,22.565936999999998,12.677061,19.520741,48,133,12,21,14.139600000000002,4,3,7,15,-6.84368,15.234746294542845,11.18461996432529
14,14.719859000000001,25.469057,13.197255,22.423861000000002,51,149,12,25,14.273900000000001,4,3,8,15,-9.226606,15.974652097128878,10.9003821421422
15,16.207039,27.557507,14.684435,23.751011000000002,56,162,15,29,15.182900000000002,4,3,9,15,-9.066576000000001,16.016414912486894,10.57952492492498
16,16.640773000000003,29.096477,15.118169,25.289981,59,169,16,30,15.677700000000002,4,4,9,16,-10.171812000000001,15.721331682340606,10.535631301890177
17,17.452128000000002,30.905227,15.929524,27.098731,67,177,17,31,16.334300000000002,4,5,9,17,-11.169207,15.267924366655016,10.493796712654735
18,18.208087000000003,32.457247,16.685483,28.650751,73,182,18,34,16.966200000000004,4,5,10,17,-11.965268,15.13296538439442,10.627651466569592
19,18.719388000000002,36.330167,17.196784,31.762370999999998,75,193,18,37,16.985700000000005,4,5,11,17,-14.565587,15.234650448508035,10.583768893241112
