,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_ratio,oppda_ratio
0,h,2.25155,1.86679,1.49026,1.86679,10,4,2,3,1.6755,l,2021-08-21 16:30:00,0,0,1,0,-0.37653000000000003,13.25925925925926,16.0
1,h,0.603998,1.8369,0.603998,1.8369,5,3,1,3,0.46010000000000006,l,2021-08-27 18:45:00,0,0,1,0,-1.232902,10.958333333333334,6.730769230769231
2,a,0.315142,1.25512,0.315142,1.25512,5,6,0,1,0.5026,l,2021-09-13 18:45:00,0,0,1,0,-0.939978,4.34375,8.166666666666666
3,h,1.02132,0.661729,1.02132,0.661729,5,6,3,2,1.7307000000000001,w,2021-09-19 16:00:00,1,0,0,3,0.359591,8.727272727272727,9.76
4,a,2.06188,2.68942,2.06188,2.68942,7,5,2,2,0.9103,d,2021-09-22 16:30:00,0,1,0,1,-0.6275400000000002,6.038461538461538,9.444444444444445
5,a,2.07264,1.43713,1.31134,0.675836,8,3,3,3,1.8598,d,2021-09-25 18:45:00,0,1,0,1,0.635504,10.476190476190476,10.173913043478262
6,h,0.690616,1.57689,0.690616,1.57689,4,6,4,0,0.5895999999999999,w,2021-10-03 13:00:00,1,0,0,3,-0.8862739999999999,11.434782608695652,6.46875
7,a,1.58319,1.51852,0.821892,0.757226,10,6,2,3,1.4014,l,2021-10-16 18:45:00,0,0,1,0,0.064666,7.310344827586207,6.260869565217392
8,h,3.536,1.42458,3.536,1.42458,12,1,4,1,2.5696,w,2021-10-24 13:00:00,1,0,0,3,2.11142,12.4,10.5
9,a,0.843224,0.940667,0.081925,0.940667,5,4,1,1,1.333,d,2021-10-27 16:30:00,0,1,0,1,-0.858742,7.666666666666667,16.217391304347824
10,h,1.57716,1.78968,1.57716,1.78968,9,8,2,1,1.1982,w,2021-10-30 16:00:00,1,0,0,3,-0.21252000000000004,11.148148148148149,12.0
11,a,1.22561,0.800943,1.22561,0.800943,11,10,1,1,1.7674,d,2021-11-07 17:00:00,0,1,0,1,0.4246670000000001,10.037037037037036,6.607142857142857
12,h,1.30231,1.56263,1.30231,1.56263,10,5,2,1,1.0866,w,2021-11-22 17:30:00,1,0,0,3,-0.2603199999999999,11.25,10.31578947368421
13,a,0.697659,0.75047,0.697659,0.75047,6,8,1,3,1.2655,l,2021-11-27 14:00:00,0,0,1,0,-0.05281099999999994,6.842105263157895,10.5
14,h,1.16014,0.575054,1.16014,0.575054,7,2,0,0,1.8665,d,2021-11-30 19:45:00,0,1,0,1,0.585086,5.666666666666667,11.653846153846153
15,a,2.08845,1.48718,1.32715,1.48718,13,5,4,3,1.8237,w,2021-12-05 14:00:00,1,0,0,3,-0.1600299999999999,5.766666666666667,16.642857142857142
16,h,0.996933,1.01933,0.996933,1.01933,10,8,1,2,1.3199999999999998,l,2021-12-12 14:00:00,0,0,1,0,-0.02239700000000011,7.428571428571429,5.5
17,a,0.261412,0.860761,0.261412,0.860761,3,1,0,1,0.6446000000000001,l,2021-12-19 17:00:00,0,0,1,0,-0.599349,12.2,5.7272727272727275
18,h,0.948779,1.28925,0.948779,1.28925,5,11,1,1,1.0836000000000001,d,2021-12-22 17:30:00,0,1,0,1,-0.34047099999999997,11.5,7.6
19,a,2.16034,1.32415,2.16034,1.32415,6,0,2,1,1.9645,w,2022-01-06 13:30:00,1,0,0,3,0.8361900000000002,11.666666666666666,13.444444444444445
